codgeo,libgeo,code_epci,n_gares,n_equipements,n_carreaux,pop_insee,pct_habitat_gare_3,pct_equipements_gare_3
68197,Magstatt-le-Bas,200066058,0,3,17,484,0.0,0.0
68198,Magstatt-le-Haut,200066058,0,1,13,306,0.0,0.0
68199,Malmerspach,246800205,0,5,7,284,100.0,100.0
68200,Manspach,200066033,0,4,19,445,100.0,100.0
68201,Masevaux-Niederbruck,246800676,0,28,87,3316,,
68202,Mertzen,200066033,0,2,10,170,0.0,0.0
68203,Merxheim,246800569,1,11,38,1358,100.0,100.0
68204,Metzeral,246800585,1,4,45,954,99.9,100.0
68205,Meyenheim,246800445,0,5,28,1018,,
68207,Michelbach-le-Bas,200066058,0,4,22,657,0.0,0.0
68208,Michelbach-le-Haut,200066058,0,3,19,542,0.0,0.0
68209,Mittelwihr,246800577,0,7,12,745,,
68210,Mittlach,246800585,0,3,18,226,5.74,0.0
68211,Mitzach,246800205,0,2,25,331,100.0,100.0
68212,Mœrnach,200066041,0,5,27,535,0.0,0.0
68213,Mollau,246800205,0,3,20,329,86.78,100.0
68214,Montreux-Jeune,200066033,0,3,16,357,100.0,100.0
68215,Montreux-Vieux,200066033,1,9,21,907,100.0,100.0
68216,Mooslargue,200066033,0,2,27,396,0.0,0.0
68217,Moosch,246800205,1,15,49,1584,100.0,100.0
68218,Morschwiller-le-Bas,200066009,0,18,50,3688,98.67,100.0
68219,Le Haut Soultzbach,246800676,0,11,48,904,,
68221,Muespach,200066041,0,3,44,906,0.0,0.0
68222,Muespach-le-Haut,200066041,0,2,32,1155,0.0,0.0
68223,Muhlbach-sur-Munster,246800585,1,5,42,739,100.0,100.0
68224,Mulhouse,200066009,2,511,383,93920,93.88,96.28
68225,Munchhouse,200066025,0,11,39,1562,,
68226,Munster,246800585,2,48,78,3562,100.0,100.0
68227,Muntzenheim,246800726,0,19,29,1306,0.0,0.0
68228,Munwiller,246800445,0,1,18,466,,
68229,Murbach,246800569,0,1,20,163,0.0,0.0
68230,Nambsheim,200066025,0,6,17,532,,
68231,Neuf-Brisach,200066025,0,23,13,1616,,
68232,Neuwiller,200066058,0,3,26,458,0.0,0.0
68234,Niederentzen,246800445,0,6,17,695,,
68235,Niederhergheim,246800445,0,8,32,1152,,
68237,Niedermorschwihr,246800726,0,1,13,402,94.77,100.0
68238,Niffer,200066009,0,6,19,1013,0.0,0.0
68239,Oberbruck,246800676,0,7,17,366,,
68240,Illtal,200066041,0,8,63,1260,0.0,0.0
68241,Oberentzen,246800445,0,6,14,578,,
68242,Oberhergheim,246800445,0,10,36,1084,,
68243,Oberlarg,200066041,0,1,13,142,0.0,0.0
68244,Obermorschwihr,246800494,0,2,2,34,0.0,0.0
68245,Obermorschwiller,200066041,0,3,19,418,0.0,0.0
68246,Obersaasheim,200066025,0,6,28,1005,,
68247,Oderen,246800205,1,11,55,1100,99.27,100.0
68248,Oltingue,200066041,0,5,35,637,0.0,0.0
68249,Orbey,246800551,0,24,265,3166,,
68250,Orschwihr,246800569,0,8,19,855,0.0,0.0
68251,Osenbach,246800494,0,3,37,835,0.0,0.0
68252,Ostheim,246800577,0,11,41,1597,,
68253,Ottmarsheim,200066009,0,20,33,1810,86.02,85.0
68254,Petit-Landau,200066009,0,10,25,821,0.0,0.0
68255,Pfaffenheim,246800494,0,7,29,1324,15.72,57.14
68256,Pfastatt,200066009,0,37,67,8574,99.83,97.3
68257,Pfetterhouse,200066033,0,7,37,972,0.0,0.0
68258,Pulversheim,200066009,0,17,40,2455,31.47,58.82
68259,Raedersdorf,200066041,0,2,26,454,0.0,0.0
68260,Raedersheim,246800569,1,5,29,1204,100.0,100.0
68261,Rammersmatt,200036465,0,1,8,208,20.38,0.0
68262,Ranspach,246800205,1,3,24,642,100.0,100.0
68263,Ranspach-le-Bas,200066058,0,7,24,633,0.0,0.0
68264,Ranspach-le-Haut,200066058,0,2,21,632,0.0,0.0
68265,Rantzwiller,200066058,0,5,25,807,0.0,0.0
68266,Réguisheim,246800445,0,13,53,1966,,
68267,Reiningue,200066009,0,12,48,1848,36.64,25.0
68268,Retzwiller,200066033,0,4,23,631,99.52,100.0
68269,Ribeauvillé,246800577,0,39,90,4186,,
68270,Richwiller,200066009,0,19,47,2774,93.08,57.89
68271,Riedisheim,200066009,0,49,86,10303,100.0,100.0
