codgeo,libgeo,code_epci,n_gares,n_equipements,n_carreaux,pop_insee,pct_habitat_gare_3,pct_equipements_gare_3
01001,L'Abergement-Clémenciat,200069193,0,4,72,865,0.0,0.0
01002,L'Abergement-de-Varey,240100883,0,2,26,266,0.0,0.0
01004,Ambérieu-en-Bugey,240100883,1,95,186,14822,98.11,94.74
01005,Ambérieux-en-Dombes,200042497,0,16,64,1986,,
01006,Ambléon,200040350,0,1,8,107,0.0,0.0
01007,Ambronay,240100883,1,14,119,2767,89.9,92.86
01008,Ambutrix,240100883,0,9,24,716,100.0,100.0
01009,Andert-et-Condon,200040350,0,1,37,360,0.0,0.0
01010,Anglefort,200070852,0,9,72,1118,0.0,0.0
01011,Apremont,200042935,0,1,28,405,4.32,0.0
01012,Aranc,240100578,0,4,31,322,,
01013,Arandas,240100883,0,2,13,127,13.39,50.0
01014,Arbent,200042935,0,34,68,3386,47.53,79.41
01015,Arboys en Bugey,200040350,0,3,51,722,0.0,0.0
01016,Arbigny,200071371,0,3,41,472,,
01017,Argis,240100883,0,4,30,412,100.0,100.0
01019,Armix,200040350,0,1,4,21,0.0,0.0
01021,Ars-sur-Formans,200042497,0,8,34,1422,,
01022,Artemare,200040350,0,21,29,948,0.74,9.52
01023,Asnières-sur-Saône,200071371,0,1,5,76,,
01024,Attignat,200071751,0,23,137,3298,0.0,0.0
01025,Bâgé-Dommartin,200071371,0,28,403,4056,,
01026,Bâgé-le-Châtel,200071371,0,9,9,582,,
01027,Balan,240100610,0,25,43,1642,100.0,100.0
01028,Baneins,200069193,0,7,50,585,0.0,0.0
01029,Beaupont,200071751,0,10,86,631,0.0,0.0
01030,Beauregard,200042497,0,8,7,483,,
01031,Bellignat,200042935,1,33,37,2242,100.0,100.0
01032,Béligneux,240100610,1,17,66,2720,100.0,100.0
01033,Valserhône,240100891,1,107,289,14285,79.78,87.85
01034,Belley,200040350,0,84,244,8508,0.0,0.0
01035,Belleydoux,200042935,0,2,49,319,0.0,0.0
01036,Valromey-sur-Séran,200040350,0,7,160,1220,13.85,0.0
01037,Bénonces,240100883,0,2,20,283,0.0,0.0
01038,Bény,200071751,0,7,102,755,0.0,0.0
01040,Béréziat,200071751,0,8,54,501,0.0,0.0
01041,Bettant,240100883,0,4,14,661,100.0,100.0
01042,Bey,200070555,0,3,22,270,0.0,0.0
01043,Beynost,240100800,1,37,85,4728,99.81,100.0
01044,Billiat,240100891,0,5,27,608,0.0,0.0
01045,Birieux,200069193,0,3,26,266,0.0,0.0
01046,Biziat,200070555,0,8,66,776,5.02,0.0
01047,Blyes,240100883,0,11,32,1277,0.0,0.0
01049,La Boisse,240100610,0,25,52,3254,98.74,92.0
01050,Boissey,200071371,0,2,44,352,,
01051,Bolozon,200042935,1,2,11,82,100.0,100.0
01052,Bouligneux,200069193,0,2,41,197,40.1,50.0
01053,Bourg-en-Bresse,200071751,1,298,304,33622,95.05,92.95
01054,Bourg-Saint-Christophe,240100883,0,6,36,1378,7.47,0.0
01056,Boyeux-Saint-Jérôme,200029999,0,1,32,341,0.0,0.0
01057,Boz,200071371,0,4,23,460,,
01058,Brégnier-Cordon,200040350,0,11,45,656,0.0,0.0
01060,Brénod,200042935,0,5,40,548,0.0,0.0
01061,Brens,200040350,0,7,65,1061,0.0,0.0
01062,Bressolles,240100610,0,7,23,988,42.33,85.71
01063,Brion,200042935,1,3,21,510,100.0,100.0
01064,Briord,240100883,0,10,52,1068,0.0,0.0
01065,Buellas,200071751,0,11,78,1787,1.26,0.0
01066,La Burbanche,200040350,0,2,10,84,0.0,0.0
01067,Ceignes,200042935,0,5,15,244,0.0,0.0
01068,Cerdon,200029999,0,8,25,670,0.0,0.0
01069,Certines,200071751,0,5,63,1520,1.12,0.0
01071,Cessy,240100750,0,20,61,3873,0.0,0.0
01072,Ceyzériat,200071751,1,25,80,3167,100.0,100.0
01073,Ceyzérieu,200040350,0,6,70,1004,4.38,0.0
01074,Chalamont,200069193,0,29,110,2404,0.0,0.0
01075,Chaleins,200070118,0,11,77,1408,,
01076,Chaley,240100883,0,1,6,144,0.0,0.0
01077,Challes-la-Montagne,200029999,0,1,18,184,0.0,0.0
01078,Challex,240100750,0,5,54,1340,2.02,0.0
01079,Champagne-en-Valromey,200040350,0,17,47,666,0.0,0.0
01080,Champdor-Corcelles,240100578,0,5,48,629,,
01081,Champfromier,240100891,0,9,47,726,0.0,0.0
01082,Chanay,240100891,0,10,27,482,0.0,0.0
01083,Chaneins,200069193,0,14,69,990,0.0,0.0
01084,Chanoz-Châtenay,200070555,0,7,88,850,0.0,0.0
01085,La Chapelle-du-Châtelard,200069193,0,3,39,356,0.0,0.0
01087,Charix,200042935,0,3,31,274,0.0,0.0
01088,Charnoz-sur-Ain,240100883,0,6,39,914,6.35,0.0
01089,Château-Gaillard,240100883,0,11,57,2246,43.73,0.0
01090,Châtenay,200069193,0,3,50,361,0.0,0.0
01092,Châtillon-la-Palud,200069193,0,8,72,1624,0.0,0.0
01093,Châtillon-sur-Chalaronne,200069193,0,54,184,4720,0.0,0.0
01094,Chavannes-sur-Reyssouze,200071371,0,4,109,724,,
01095,Nivigne et Suran,200071751,0,8,71,765,0.0,0.0
01096,Chaveyriat,200070555,0,12,100,1008,26.72,16.67
01098,Chazey-Bons,200040350,0,16,76,1070,0.09,0.0
01099,Chazey-sur-Ain,240100883,0,9,62,1452,0.0,0.0
01100,Cheignieu-la-Balme,200040350,0,2,8,89,0.0,0.0
01101,Chevillard,200042935,0,1,14,158,0.0,0.0
01102,Chevroux,200071371,0,6,87,978,,
01103,Chevry,240100750,0,7,42,1662,0.0,0.0
01104,Chézery-Forens,240100750,0,6,69,410,0.0,0.0
01105,Civrieux,200042497,0,19,84,1954,,
01106,Cize,200071751,0,4,9,160,91.88,100.0
01107,Cleyzieu,240100883,0,3,11,138,0.0,0.0
01108,Coligny,200071751,0,20,105,1175,0.0,0.0
01109,Collonges,240100750,0,19,60,2139,0.33,0.0
01110,Colomieu,200040350,0,3,10,155,0.0,0.0
01111,Conand,240100883,0,2,21,134,0.0,0.0
01112,Condamine,200042935,0,5,13,436,0.0,0.0
01113,Condeissiat,200069193,0,9,93,814,0.0,0.0
01114,Confort,240100891,0,4,32,580,0.0,0.0
01115,Confrançon,200071751,0,9,116,1302,0.61,0.0
01116,Contrevoz,200040350,0,4,37,468,0.0,0.0
01117,Conzieu,200040350,0,1,11,149,0.0,0.0
01118,Corbonod,200070852,1,6,91,948,89.45,100.0
01121,Corlier,240100578,0,2,8,106,,
01123,Cormoranche-sur-Saône,200070555,0,7,56,1138,0.0,0.0
01124,Cormoz,200071751,0,6,99,708,0.0,0.0
01125,Corveissiat,200071751,0,5,37,632,0.0,0.0
01127,Courmangoux,200071751,0,7,46,474,0.0,0.0
01128,Courtes,200071751,0,1,37,265,0.0,0.0
01129,Crans,200069193,0,3,37,307,0.0,0.0
01130,Bresse Vallons,200071751,0,16,170,2368,0.0,0.0
01133,Cressin-Rochefort,200040350,0,4,24,400,0.0,0.0
01134,Crottet,200070555,1,15,68,1631,100.0,100.0
01135,Crozet,240100750,0,8,73,2022,0.0,0.0
01136,Cruzilles-lès-Mépillat,200070555,0,9,66,971,0.0,0.0
01138,Culoz,200040350,1,32,79,2669,97.12,100.0
01139,Curciat-Dongalon,200071751,0,4,83,446,0.0,0.0
01140,Curtafond,200071751,0,8,72,606,13.86,12.5
01141,Cuzieu,200040350,0,1,32,402,10.32,0.0
01142,Dagneux,240100610,0,42,55,4038,100.0,100.0
01143,Divonne-les-Bains,240100750,0,38,190,9474,0.0,0.0
01145,Dompierre-sur-Veyle,200071751,0,11,107,1237,0.0,0.0
01146,Dompierre-sur-Chalaronne,200069193,0,2,25,402,0.0,0.0
01147,Domsure,200071751,0,6,72,501,0.0,0.0
01148,Dortan,200042935,0,12,72,1823,0.0,0.0
01149,Douvres,240100883,0,5,24,909,0.0,0.0
01150,Drom,200071751,0,4,15,231,0.0,0.0
01151,Druillat,200071751,0,6,90,1180,24.67,16.67
01152,Échallon,200042935,0,7,85,734,0.0,0.0
01153,Échenevex,240100750,0,7,67,2003,0.0,0.0
01155,Évosges,240100578,0,3,10,136,,
01156,Faramans,240100883,0,6,55,857,0.0,0.0
01157,Fareins,200042497,0,23,84,2254,,
01158,Farges,240100750,0,3,35,920,0.0,0.0
01159,Feillens,200071371,0,29,103,3356,,
01160,Ferney-Voltaire,240100750,0,48,47,6606,0.0,0.0
01162,Flaxieu,200040350,0,1,6,52,0.0,0.0
01163,Foissiat,200071751,0,12,231,2011,0.0,0.0
01165,Francheleins,200070118,0,6,76,1432,,
01166,Frans,200042497,0,19,67,2518,,
01167,Garnerans,200070118,0,4,46,716,,
01169,Genouilleux,200070118,0,5,29,694,,
01170,Béard-Géovreissiat,200042935,0,2,27,972,100.0,100.0
01171,Géovreisset,200042935,0,5,18,686,100.0,100.0
01173,Gex,240100750,0,54,153,10325,0.0,0.0
01174,Giron,240100891,0,6,17,157,0.0,0.0
01175,Gorrevod,200071371,0,6,49,753,,
01177,Grand-Corent,200071751,0,2,15,166,100.0,100.0
01179,Grièges,200070555,0,11,75,1915,14.52,0.0
01180,Grilly,240100750,0,5,43,751,0.0,0.0
01181,Groissiat,200042935,0,7,31,1126,100.0,100.0
01183,Guéreins,200070118,0,19,42,1386,,
01184,Hautecourt-Romanèche,200071751,0,7,55,777,0.0,0.0
01185,Plateau d'Hauteville,240100578,0,48,256,3860,,
01187,Haut Valromey,200040350,0,6,121,639,0.0,0.0
01188,Illiat,200070118,0,3,89,639,,
01189,Injoux-Génissiat,240100891,0,8,64,1016,0.0,0.0
01190,Innimond,240100883,0,2,9,86,0.0,0.0
01191,Izenave,200042935,0,1,13,152,0.0,0.0
01192,Izernore,200042935,0,14,69,2202,8.29,7.14
01193,Izieu,200040350,0,3,20,212,0.0,0.0
01194,Jassans-Riottier,200040590,0,30,75,5250,43.04,70.0
01195,Jasseron,200071751,0,10,82,1748,29.61,0.0
01196,Jayat,200071751,0,7,100,1108,0.0,0.0
01197,Journans,200071751,0,2,14,342,0.0,0.0
01198,Joyeux,240100883,0,3,29,222,0.0,0.0
01199,Jujurieux,200029999,0,14,70,1892,0.0,0.0
01200,Labalme,200029999,0,5,9,202,0.0,0.0
01202,Lagnieu,240100883,0,38,168,6945,0.0,0.0
01203,Laiz,200070555,0,11,72,1229,94.3,100.0
01204,Le Poizat-Lalleyriat,200042935,0,7,71,670,0.0,0.0
01206,Lantenay,200042935,0,1,17,276,0.0,0.0
01207,Lapeyrouse,200069193,0,2,31,329,5.17,0.0
01208,Lavours,200040350,0,1,9,130,3.09,0.0
01209,Léaz,240100750,0,3,28,636,0.0,0.0
01210,Lélex,240100750,0,7,28,180,0.0,0.0
01211,Lent,200071751,0,7,103,1468,76.43,85.71
01212,Lescheroux,200071751,0,5,100,675,0.0,0.0
01213,Leyment,240100883,0,16,48,1414,0.0,6.25
01214,Leyssard,200042935,0,2,18,152,0.0,0.0
01215,Surjoux-Lhopital,240100891,0,1,21,88,0.0,0.0
01216,Lhuis,240100883,0,9,75,792,0.0,0.0
01219,Lompnas,240100883,0,1,10,155,0.0,0.0
01224,Loyettes,240100883,0,25,54,3254,0.0,0.0
01225,Lurcy,200070118,0,1,25,346,,
01227,Magnieu,200040350,0,2,41,648,0.0,0.0
01228,Maillat,200042935,0,5,26,528,0.0,0.0
01229,Malafretaz,200071751,0,9,57,1058,0.0,0.0
01230,Mantenay-Montlin,200071751,0,1,43,300,0.0,0.0
01231,Manziat,200071371,0,15,96,2058,,
01232,Marboz,200071751,0,21,238,2142,0.0,0.0
01233,Marchamp,240100883,0,3,20,118,0.0,0.0
01234,Marignieu,200040350,0,2,12,140,0.0,0.0
01235,Marlieux,200069193,1,10,60,1144,96.94,100.0
01236,Marsonnas,200071751,0,6,134,964,0.0,0.0
01237,Martignat,200042935,0,15,44,1650,8.97,13.33
01238,Massieux,200042497,0,16,30,1880,,
01239,Massignieu-de-Rives,200040350,0,3,56,601,0.0,0.0
01240,Matafelon-Granges,200042935,0,3,58,574,14.45,0.0
01241,Meillonnas,200071751,0,10,85,1332,0.0,0.0
01242,Mérignat,200029999,0,1,5,126,0.0,0.0
01243,Messimy-sur-Saône,200070118,0,10,65,1244,,
01244,Meximieux,240100883,1,77,113,7470,100.0,100.0
01245,Bohas-Meyriat-Rignat,200071751,0,5,65,901,0.0,0.0
01246,Mézériat,200070555,1,13,142,2156,97.4,100.0
01247,Mijoux,240100750,0,5,19,142,0.0,0.0
01248,Mionnay,200069193,1,15,71,2250,99.96,100.0
01249,Miribel,240100800,2,81,108,8465,100.0,100.0
01250,Misérieux,200042497,0,10,53,1884,,
01252,Mogneneins,200070118,0,4,42,852,,
01254,Montagnat,200071751,0,21,100,2159,11.51,0.0
01255,Montagnieu,240100883,0,4,27,500,0.0,0.0
01257,Montanges,240100891,0,2,23,348,0.0,0.0
01258,Montceaux,200070118,0,13,77,1122,,
01259,Montcet,200071751,0,3,48,668,9.51,0.0
01260,Le Montellier,240100883,0,3,31,302,0.0,0.0
01261,Monthieux,200069193,0,6,40,673,69.09,16.67
01262,Montluel,240100610,1,46,126,5862,85.04,91.3
01263,Montmerle-sur-Saône,200070118,0,24,57,3326,,
01264,Montracol,200071751,0,6,87,956,0.0,0.0
01265,Montréal-la-Cluse,200042935,0,38,61,3130,100.0,100.0
01266,Montrevel-en-Bresse,200071751,0,28,83,2095,0.0,0.0
01267,Nurieux-Volognat,200042935,1,11,51,944,96.13,100.0
01268,Murs-et-Gélignieux,200040350,0,1,33,246,0.0,0.0
01269,Nantua,200042935,0,23,46,3003,1.57,0.0
01272,Neuville-les-Dames,200069193,0,13,144,1504,0.0,0.0
01273,Neuville-sur-Ain,200029999,0,10,88,1673,2.57,10.0
01274,Les Neyrolles,200042935,0,5,14,591,0.0,0.0
01275,Neyron,240100800,0,9,50,1954,100.0,100.0
01276,Niévroz,240100610,0,10,46,1552,89.79,90.0
01277,Nivollet-Montgriffon,240100883,0,2,14,129,0.0,0.0
01279,Oncieu,240100883,0,2,8,77,53.25,50.0
01280,Ordonnaz,240100883,0,2,13,139,0.0,0.0
01281,Ornex,240100750,0,16,51,3045,0.0,0.0
01282,Outriaz,200042935,0,1,15,250,0.0,0.0
01283,Oyonnax,200042935,1,129,189,20030,98.33,98.45
01284,Ozan,200071371,0,5,37,698,,
01285,Parcieux,200042497,0,6,24,1068,,
01286,Parves et Nattages,200040350,0,6,89,911,0.0,0.0
01288,Péron,240100750,0,20,82,2324,0.0,0.0
01289,Péronnas,200071751,0,61,133,5167,90.58,72.13
01290,Pérouges,240100883,0,5,63,1243,99.52,100.0
01291,Perrex,200070555,0,7,83,796,81.41,100.0
01293,Peyriat,200042935,0,1,12,147,0.0,0.0
01294,Peyrieu,200040350,0,9,58,814,0.0,0.0
01295,Peyzieux-sur-Saône,200070118,0,5,27,600,,
01296,Pirajoux,200071751,0,3,58,332,0.0,0.0
01297,Pizay,240100610,0,4,28,926,0.0,0.0
01298,Plagne,240100891,0,1,10,141,0.0,0.0
01299,Le Plantay,200069193,0,3,53,492,0.0,0.0
01301,Polliat,200071751,1,19,152,2593,92.21,94.74
01302,Pollieu,200040350,0,2,12,154,0.0,0.0
01303,Poncin,200029999,0,16,69,1708,0.0,0.0
01304,Pont-d'Ain,200029999,1,33,81,2730,100.0,100.0
01305,Pont-de-Vaux,200071371,0,24,42,1753,,
01306,Pont-de-Veyle,200070555,0,20,15,973,100.0,100.0
01307,Port,200042935,0,10,14,725,100.0,100.0
01308,Pougny,240100750,1,5,40,662,100.0,100.0
01309,Pouillat,200071751,0,2,10,55,0.0,0.0
01310,Prémeyzel,200040350,0,2,10,117,0.0,0.0
01311,Prémillieu,240100578,0,1,7,53,,
01313,Prévessin-Moëns,240100750,0,26,107,7080,0.0,0.0
01314,Priay,200029999,0,11,67,1727,0.0,0.0
01317,Ramasse,200071751,0,2,19,336,100.0,100.0
01318,Rancé,200042497,0,4,48,733,,
01319,Relevant,200069193,0,3,57,425,0.0,0.0
01320,Replonges,200071371,0,28,126,3919,,
01321,Revonnas,200071751,0,3,31,800,89.37,100.0
01322,Reyrieux,200042497,0,28,131,4613,,
01323,Reyssouze,200071371,0,3,51,828,,
01325,Rignieux-le-Franc,240100883,0,8,51,1005,0.0,0.0
01328,Romans,200069193,0,7,71,476,0.0,0.0
01329,Rossillon,200040350,0,2,12,138,0.0,0.0
01330,Ruffieu,200040350,0,2,16,154,0.0,0.0
01331,Saint-Alban,200029999,0,1,18,160,0.0,0.0
01332,Saint-André-de-Bâgé,200071371,0,2,28,800,,
01333,Saint-André-de-Corcy,200069193,1,35,89,3274,98.4,100.0
01334,Saint-André-d'Huiriat,200070555,0,9,54,552,0.0,0.0
01335,Saint-André-le-Bouchoux,200069193,0,4,30,360,0.0,0.0
01336,Saint-André-sur-Vieux-Jonc,200071751,0,7,106,1122,30.84,28.57
01337,Saint-Bénigne,200071371,0,10,98,1338,,
01338,Groslée-Saint-Benoit,200040350,0,7,104,1084,0.0,0.0
01339,Saint-Bernard,200042497,0,9,46,1515,,
01342,Sainte-Croix,240100610,0,5,45,504,0.0,0.0
01343,Saint-Cyr-sur-Menthon,200070555,0,15,139,1831,0.0,0.0
01344,Saint-Denis-lès-Bourg,200071751,0,27,150,5071,95.26,100.0
01345,Saint-Denis-en-Bugey,240100883,0,10,26,1902,100.0,100.0
01346,Saint-Didier-d'Aussiat,200071751,0,8,91,790,0.0,0.0
01347,Saint-Didier-de-Formans,200042497,0,13,89,1821,,
01348,Saint-Didier-sur-Chalaronne,200070118,0,28,164,2750,,
01349,Saint-Éloi,240100883,0,3,39,560,23.06,0.0
01350,Saint-Étienne-du-Bois,200071751,0,24,228,2476,0.0,0.0
01351,Saint-Étienne-sur-Chalaronne,200070118,0,12,118,1673,,
01352,Saint-Étienne-sur-Reyssouze,200071371,0,3,81,519,,
01353,Sainte-Euphémie,200042497,0,7,39,1431,,
01354,Saint-Genis-Pouilly,240100750,0,60,93,10155,0.0,0.0
01355,Saint-Genis-sur-Menthon,200070555,0,4,64,440,0.0,0.0
01356,Saint-Georges-sur-Renon,200069193,0,4,22,200,0.0,0.0
01357,Saint-Germain-de-Joux,240100891,0,5,33,466,0.0,0.0
01358,Saint-Germain-les-Paroisses,200040350,0,3,35,424,0.0,0.0
01359,Saint-Germain-sur-Renon,200069193,0,2,34,239,90.38,100.0
01360,Saint-Jean-de-Gonville,240100750,0,7,46,1796,0.0,0.0
01361,Saint-Jean-de-Niost,240100883,0,10,66,1858,0.0,0.0
01362,Saint-Jean-de-Thurigneux,200042497,0,4,59,820,,
01363,Saint-Jean-le-Vieux,200029999,0,15,59,1758,0.0,0.0
01364,Saint-Jean-sur-Reyssouze,200071751,0,8,114,697,0.0,0.0
01365,Saint-Jean-sur-Veyle,200070555,0,7,71,992,92.44,100.0
01366,Sainte-Julie,240100883,0,6,37,1082,0.0,0.0
01367,Saint-Julien-sur-Reyssouze,200071751,0,9,46,603,0.0,0.0
01368,Saint-Julien-sur-Veyle,200070555,0,6,76,795,16.16,0.0
01369,Saint-Just,200071751,0,8,27,780,5.26,12.5
01370,Saint-Laurent-sur-Saône,200070308,0,14,2,652,100.0,100.0
01371,Saint-Marcel,200069193,1,7,40,1176,100.0,100.0
01372,Saint-Martin-de-Bavel,200040350,0,2,29,392,97.96,100.0
01373,Saint-Martin-du-Frêne,200042935,0,13,40,994,0.0,0.0
01374,Saint-Martin-du-Mont,200071751,1,12,125,1936,71.42,100.0
01375,Saint-Martin-le-Châtel,200071751,0,5,77,736,0.0,0.0
01376,Saint-Maurice-de-Beynost,240100800,1,23,33,3152,100.0,100.0
01378,Saint-Maurice-de-Gourdans,240100883,0,18,84,2804,0.0,0.0
01379,Saint-Maurice-de-Rémens,240100883,0,5,24,764,0.0,0.0
01380,Saint-Nizier-le-Bouchoux,200071751,0,8,111,550,0.0,0.0
01381,Saint-Nizier-le-Désert,200069193,0,9,79,818,0.55,0.0
01382,Sainte-Olive,200069193,0,2,41,289,0.0,0.0
01383,Saint-Paul-de-Varax,200069193,1,11,68,1434,99.86,100.0
01384,Saint-Rambert-en-Bugey,240100883,1,21,93,2028,98.52,100.0
01385,Saint-Rémy,200071751,0,6,58,826,0.0,0.0
01386,Saint-Sorlin-en-Bugey,240100883,0,6,35,1026,0.0,0.0
01387,Saint-Sulpice,200071751,0,2,24,247,0.0,0.0
01388,Saint-Trivier-de-Courtes,200071751,0,20,94,906,0.0,0.0
01389,Saint-Trivier-sur-Moignans,200069193,0,19,164,1692,0.0,0.0
01390,Saint-Vulbas,240100883,0,13,40,1052,0.0,0.0
01391,Salavre,200071751,0,3,31,300,0.0,0.0
01392,Samognat,200042935,0,5,36,652,0.0,0.0
01393,Sandrans,200069193,0,2,59,552,0.0,0.0
01396,Sault-Brénaz,240100883,0,10,19,641,0.0,0.0
01397,Sauverny,240100750,0,4,20,433,0.0,0.0
01398,Savigneux,200042497,0,13,86,1378,,
01399,Ségny,240100750,0,13,32,1870,0.0,0.0
01400,Seillonnaz,240100883,0,1,13,126,0.0,0.0
01401,Sergy,240100750,0,5,47,1720,0.0,0.0
01402,Sermoyer,200071371,0,5,47,659,,
01403,Serrières-de-Briord,240100883,0,16,33,1278,0.0,0.0
01404,Serrières-sur-Ain,200029999,0,1,21,123,0.0,0.0
01405,Servas,200071751,1,10,67,1192,93.5,100.0
01406,Servignat,200071751,0,1,22,154,0.0,0.0
01407,Seyssel,200070852,0,11,21,564,100.0,100.0
01408,Simandre-sur-Suran,200071751,1,10,44,652,97.24,100.0
01410,Sonthonnax-la-Montagne,200042935,0,3,17,282,0.0,0.0
01411,Souclin,240100883,0,1,14,267,0.0,0.0
01412,Sulignat,200069193,0,5,67,524,0.0,0.0
01415,Talissieu,200040350,0,2,26,379,0.0,0.0
01416,Tenay,240100883,1,8,40,886,100.0,100.0
01418,Thil,240100800,0,7,31,1124,100.0,100.0
01419,Thoiry,240100750,0,32,113,5460,0.0,0.0
01420,Thoissey,200070118,0,15,6,733,,
01421,Torcieu,240100883,0,8,38,708,7.9,25.0
01422,Tossiat,200071751,0,11,60,1307,0.0,0.0
01423,Toussieux,200042497,0,4,37,1194,,
01424,Tramoyes,240100800,0,10,64,1748,1.6,20.0
01425,La Tranclière,200071751,0,3,39,286,29.95,0.0
01426,Val-Revermont,200071751,0,19,188,2414,0.0,0.0
01427,Trévoux,200042497,0,41,66,5557,,
01428,Valeins,200069193,0,2,20,122,0.0,0.0
01429,Vandeins,200071751,0,5,51,696,0.72,0.0
01430,Varambon,200029999,0,3,39,571,88.44,100.0
01431,Vaux-en-Bugey,240100883,0,9,34,1204,23.29,33.33
01432,Verjon,200071751,0,3,29,344,0.0,0.0
01433,Vernoux,200071751,0,1,39,248,0.0,0.0
01434,Versailleux,200069193,0,5,40,497,0.0,0.0
01435,Versonnex,240100750,0,11,36,1846,0.0,0.0
01436,Vesancy,240100750,0,2,23,453,0.0,0.0
01437,Vescours,200071751,0,1,30,185,0.0,0.0
01439,Vésines,200071371,0,1,7,84,,
01441,Vieu-d'Izenave,200042935,0,6,46,688,0.0,0.0
01443,Villars-les-Dombes,200069193,1,32,105,4691,99.23,100.0
01444,Villebois,240100883,0,8,41,1178,0.0,0.0
01445,Villemotier,200071751,0,5,77,594,0.0,0.0
01446,Villeneuve,200042497,0,11,109,1622,,
01447,Villereversure,200071751,1,17,69,1302,100.0,100.0
01448,Villes,240100891,0,1,17,360,0.0,0.0
01449,Villette-sur-Ain,200069193,0,5,63,721,0.0,0.0
01450,Villieu-Loyes-Mollon,240100883,0,20,110,3608,24.51,15.0
01451,Viriat,200071751,0,49,316,6066,12.12,36.73
01452,Virieu-le-Grand,200040350,1,10,41,966,100.0,100.0
01453,Arvière-en-Valromey,200040350,0,1,77,628,0.0,0.0
01454,Virignin,200040350,0,11,56,1062,0.0,0.0
01456,Vongnes,200040350,0,1,8,68,0.0,0.0
01457,Vonnas,200070555,1,26,164,3064,98.69,100.0
02001,Abbécourt,200071785,0,3,29,477,0.21,0.0
02002,Achery,200071785,0,4,27,579,0.0,0.0
02003,Acy,240200477,0,5,44,998,0.0,0.0
02004,Agnicourt-et-Séchelles,240200469,0,1,18,172,,
02005,Aguilcourt,240200576,0,2,18,394,100.0,100.0
02006,Aisonville-et-Bernoville,200071983,0,2,25,252,,
02007,Aizelles,240200592,0,1,7,110,,
02008,Aizy-Jouy,240200501,0,2,25,300,0.0,0.0
02009,Alaincourt,200040426,0,6,19,457,,
02010,Allemant,240200501,0,2,9,132,0.0,0.0
02011,Ambleny,200071991,0,10,67,1151,0.0,0.0
02012,Ambrief,240200519,0,1,6,76,0.0,0.0
02013,Amifontaine,240200576,1,5,24,376,96.27,100.0
02014,Amigny-Rouy,200071785,0,3,39,717,0.0,0.0
02015,Ancienville,200071991,0,1,5,79,0.0,0.0
02016,Andelain,200071785,0,1,11,212,100.0,100.0
02017,Anguilcourt-le-Sart,200071785,0,1,18,282,19.01,0.0
02018,Anizy-le-Grand,200071769,0,23,79,2386,82.54,82.61
02019,Annois,200071892,0,1,20,325,100.0,100.0
02020,Any-Martin-Rieux,240200600,0,4,55,420,0.0,0.0
02021,Archon,240200634,0,1,10,72,,
02022,Arcy-Sainte-Restitue,240200519,0,2,31,402,0.0,0.0
02023,Armentières-sur-Ourcq,200072031,0,2,13,100,0.0,0.0
02024,Arrancy,200043495,0,1,4,42,0.0,0.0
02025,Artemps,200071892,0,3,13,343,0.0,0.0
02027,Assis-sur-Serre,240200469,0,2,13,210,,
02028,Athies-sous-Laon,200043495,0,16,58,2584,0.0,0.0
02029,Attilly,240200493,0,1,21,308,0.0,0.0
02030,Aubencheul-aux-Bois,240200493,0,1,8,188,0.0,0.0
02031,Aubenton,240200600,0,11,56,625,0.0,0.0
02032,Aubigny-aux-Kaisnes,200071892,0,5,11,204,0.0,0.0
02033,Aubigny-en-Laonnois,240200592,0,1,9,96,,
02034,Audignicourt,200071991,0,1,11,120,0.0,0.0
02035,Audigny,200071983,0,2,16,252,,
02036,Augy,240200501,0,1,6,77,0.0,0.0
02037,Aulnois-sous-Laon,200043495,0,7,33,1282,0.0,0.0
02038,Les Autels,240200634,0,2,12,52,,
02039,Autremencourt,240200469,0,1,11,146,,
02040,Autreppes,240200444,0,1,15,168,,
02041,Autreville,200071785,0,3,25,634,58.01,66.67
02042,Azy-sur-Marne,200072031,0,5,13,315,0.0,0.0
02043,Bagneux,240200477,0,1,7,64,0.0,0.0
02044,Bancigny,240200444,0,1,7,36,,
02046,Barenton-Bugny,240200469,0,3,16,504,,
02047,Barenton-Cel,240200469,0,2,7,106,,
02048,Barenton-sur-Serre,240200469,0,1,11,126,,
02049,Barisis-aux-Bois,200071769,0,5,48,750,0.0,0.0
02050,Barzy-en-Thiérache,240200444,0,1,32,252,,
02051,Barzy-sur-Marne,200072031,0,2,21,342,0.0,0.0
02052,Bassoles-Aulers,200071769,0,1,17,131,0.0,0.0
02053,Vallées en Champagne,200072031,0,3,62,514,0.0,0.0
02054,Bazoches-sur-Vesles,240200501,0,2,23,544,0.0,0.0
02055,Beaumé,240200600,0,1,12,57,0.0,0.0
02056,Beaumont-en-Beine,200071785,0,2,13,174,0.0,0.0
02057,Beaurevoir,240200493,0,15,40,1184,0.0,0.0
02058,Beaurieux,240200592,0,11,27,713,,
02059,Beautor,200071785,0,12,50,2131,100.0,100.0
02060,Beauvois-en-Vermandois,240200493,0,4,17,248,0.0,0.0
02061,Becquigny,240200493,0,2,23,224,0.45,0.0
02062,Belleau,200072031,0,1,12,136,0.0,0.0
02063,Bellenglise,240200493,0,4,16,390,0.0,0.0
02064,Belleu,240200477,0,19,43,2314,100.0,100.0
02065,Bellicourt,240200493,0,6,22,565,0.0,0.0
