CODGEO,revenu_median_2017
01001,23310.0
01002,24290.0
01004,19860.0
01005,23370.0
01006,23970.0
01007,22380.0
01008,25330.0
01009,23250.0
01010,22360.0
01011,24540.0
01012,20960.0
01013,20910.0
01014,20470.0
01015,23090.0
01016,20030.0
01017,19040.0
01021,24160.0
01022,20150.0
01024,22030.0
01025,22010.0
01026,21040.0
01027,23730.0
01028,23390.0
01029,19700.0
01030,21040.0
01031,19450.0
01032,21390.0
01033,19990.0
01034,19050.0
01035,23540.0
01036,22490.0
01037,21060.0
01038,22020.0
01039,20690.0
01040,20830.0
01041,22570.0
01042,23640.0
01043,27030.0
01044,25670.0
01045,25650.0
01046,21790.0
01047,25940.0
01049,24490.0
01050,19460.0
01052,25970.0
01053,18530.0
01054,25800.0
01056,20930.0
01057,20820.0
01058,21600.0
01059,21980.0
01060,22220.0
01061,23080.0
01062,27570.0
01063,23110.0
01064,21390.0
01065,24530.0
01067,23570.0
01068,20520.0
01069,23260.0
01071,37570.0
01072,23180.0
01073,23120.0
01074,21650.0
01075,23430.0
01076,20730.0
01077,22110.0
01078,40730.0
01079,20990.0
01080,21300.0
01081,23620.0
01082,24850.0
01083,23720.0
01084,22180.0
01085,22610.0
01087,23460.0
01088,26450.0
01089,22250.0
01090,22550.0
01091,25600.0
01092,22990.0
01093,21600.0
01094,21230.0
01095,20680.0
01096,22310.0
01097,21540.0
01098,20940.0
01099,24350.0
01100,20450.0
01101,24100.0
01102,21900.0
01103,37620.0
01104,25050.0
01105,26440.0
01106,20920.0
01107,22350.0
01108,20710.0
01109,30440.0
01110,20870.0
01111,20320.0
01112,22570.0
01113,21050.0
01114,28150.0
01115,21370.0
01116,21560.0
01117,19840.0
01118,24020.0
01121,21710.0
01122,22980.0
01123,23600.0
01124,20980.0
01125,22390.0
01127,23020.0
01128,20130.0
01129,23390.0
01130,22690.0
01133,23370.0
01134,22430.0
01135,36680.0
01136,22420.0
01138,19870.0
01139,19400.0
01140,23350.0
01141,24390.0
01142,23450.0
01143,41970.0
01145,20490.0
01146,22410.0
01147,20340.0
01148,21930.0
01149,25630.0
01150,23090.0
01151,22340.0
01152,26080.0
01153,44990.0
01154,20930.0
01155,21520.0
01156,23970.0
01157,25120.0
01158,31970.0
01159,22030.0
01160,26280.0
01163,21820.0
01165,23610.0
01166,24730.0
01167,22400.0
01169,23350.0
01170,21930.0
01171,23120.0
01173,31900.0
01174,23700.0
01175,20180.0
01177,22230.0
01179,22770.0
01180,46930.0
01181,22890.0
01183,23580.0
01184,21380.0
01185,21350.0
01187,21110.0
01188,21960.0
01189,25770.0
01191,22050.0
01192,21770.0
01193,22050.0
01194,21950.0
01195,23700.0
01196,21620.0
01197,23640.0
01198,23140.0
01199,21150.0
01200,21700.0
01202,21910.0
01203,22720.0
01204,24160.0
01205,25620.0
01206,24350.0
01207,23770.0
01208,20960.0
01209,27620.0
01210,22800.0
01211,22940.0
01212,19620.0
01213,22520.0
01214,22760.0
01216,21160.0
01219,17660.0
01221,22630.0
01224,21430.0
01225,25200.0
01227,22850.0
01228,24060.0
01229,22000.0
01230,19230.0
01231,22770.0
01232,22110.0
01233,22480.0
