CODGEO,LIBGEO,services,commerces,enseignement,sante,transport,sport_culture,tourisme,total
01159,,210,54,9,84,6,42,0,405
01160,,558,228,33,276,33,75,27,1230
01162,,12,6,0,0,0,0,0,18
01163,,120,27,3,15,0,21,3,189
01165,,87,6,3,3,3,24,0,126
01166,,186,30,3,33,3,15,0,270
01167,,36,0,3,3,0,12,0,54
01169,,51,0,3,0,0,3,0,57
01170,,54,0,3,6,6,6,0,75
01171,,45,0,0,0,3,6,0,54
01173,,546,117,27,183,9,69,18,969
01174,,27,0,0,0,0,24,3,54
01175,,45,0,3,0,0,9,3,60
01177,,9,0,0,0,0,3,0,12
01179,,135,12,6,51,0,27,0,231
01180,,51,6,3,9,0,15,0,84
01181,,57,15,3,6,0,12,0,93
01183,,111,15,6,9,0,12,0,153
01184,,21,6,3,3,3,45,6,87
01185,,276,75,30,228,12,132,21,774
01187,,78,12,3,9,0,48,9,159
01188,,42,3,3,0,0,9,0,57
01189,,36,6,3,9,0,33,0,87
01190,,3,0,0,0,0,12,0,15
01191,,6,0,3,0,0,6,0,15
01192,,129,18,3,30,0,30,0,210
01193,,15,0,0,0,0,9,0,24
01194,,402,48,12,189,18,66,3,738
01195,,93,21,3,27,9,45,3,201
01196,,84,27,3,3,0,15,0,132
01197,,18,0,3,3,0,6,6,36
01198,,15,3,6,0,0,6,0,30
01199,,105,12,6,51,3,33,3,213
01200,,15,0,3,0,0,12,0,30
01202,,486,105,21,225,18,63,9,927
01203,,75,12,3,3,0,18,0,111
01204,,51,6,3,0,3,24,0,87
01206,,6,0,3,0,0,3,0,12
01207,,27,3,0,3,0,6,0,39
01208,,6,0,0,0,0,6,3,15
01209,,42,0,3,0,3,21,0,69
01210,,39,24,3,3,0,21,9,99
01211,,72,12,3,27,0,18,0,132
01212,,39,0,3,0,0,15,0,57
01213,,84,21,6,9,0,21,0,141
01214,,12,0,0,0,0,6,0,18
01215,,6,0,0,0,0,9,0,15
01216,,48,6,3,15,3,12,0,87
01219,,18,6,3,0,0,3,0,30
01224,,285,18,6,39,9,30,0,387
01225,,24,3,0,0,0,0,0,27
01227,,42,0,0,6,0,12,0,60
01228,,51,9,3,27,0,6,3,99
01229,,90,15,3,9,0,48,9,174
01230,,21,0,0,3,3,0,3,30
01231,,96,12,6,39,3,30,0,186
01232,,138,33,9,54,0,51,0,285
01233,,9,3,0,0,0,9,0,21
01234,,15,0,0,0,0,6,0,21
01235,,75,6,9,27,3,21,0,141
01236,,42,9,3,3,3,15,0,75
01237,,102,12,9,12,6,18,0,159
01238,,180,39,3,48,3,18,9,300
01239,,36,3,3,0,6,24,3,75
01240,,27,6,3,3,3,9,6,57
01241,,48,15,3,18,0,33,3,120
01242,,9,0,0,0,0,3,0,12
01243,,69,6,3,12,0,21,3,114
01244,,600,225,24,351,18,66,12,1296
01245,,57,3,3,3,0,18,0,84
01246,,147,21,6,48,3,33,0,258
01247,,51,15,3,6,3,24,9,111
01248,,126,36,3,54,6,36,3,264
01249,,609,153,33,297,36,120,9,1257
01250,,84,3,9,15,0,42,6,159
01252,,63,9,3,0,0,12,0,87
01254,,216,48,3,42,0,27,6,342
01255,,33,6,3,0,0,3,3,48
01257,,18,0,3,0,3,12,0,36
01258,,78,21,6,18,3,24,0,150
01259,,24,3,3,0,3,6,0,39
01260,,21,3,3,0,0,6,0,33
01261,,30,3,3,0,6,24,3,69
01262,,471,87,24,270,12,60,12,936
01263,,219,42,9,96,3,36,0,405
01264,,39,0,3,12,0,21,3,78
01265,,249,57,9,96,9,45,3,468
01266,,201,60,9,153,0,39,3,465
01267,,60,15,3,3,3,21,0,105
01268,,24,0,0,6,0,15,3,48
01269,,213,75,27,66,6,57,9,453
01272,,93,18,3,33,3,27,0,177
01273,,81,12,3,18,0,39,3,156
01274,,33,6,3,3,0,21,0,66
01275,,198,0,3,72,18,15,0,306
01276,,111,15,3,18,0,24,3,174
01277,,9,0,0,0,0,3,0,12
01279,,9,0,0,0,0,9,0,18
01280,,15,3,0,0,0,15,0,33
01281,,123,42,6,42,3,15,3,234
01282,,12,0,3,0,0,6,0,21
01283,,1311,519,84,648,27,150,30,2769
01284,,33,3,3,3,3,18,0,63
01285,,69,3,3,6,0,18,3,102
01286,,45,3,3,0,3,27,0,81
01288,,108,30,6,21,3,36,3,207
01289,,399,90,21,162,12,90,3,777
01290,,117,15,6,6,3,21,9,177
01291,,51,3,3,3,0,12,0,72
01293,,9,0,0,0,0,3,0,12
01294,,63,6,3,6,3,24,3,108
01295,,36,6,3,6,0,6,0,57
01296,,27,0,0,3,0,0,0,30
01297,,45,6,3,0,3,6,0,63
01298,,6,6,0,0,0,3,0,15
01299,,33,3,3,0,0,15,0,54
01301,,186,33,6,63,12,24,6,330
01302,,12,6,0,0,0,6,0,24
01303,,117,30,6,48,6,54,3,264
01304,,216,51,9,105,3,51,6,441
01305,,210,81,6,126,0,51,9,483
01306,,90,33,15,84,0,39,0,261
01307,,84,18,3,6,0,24,3,138
01308,,27,0,3,3,3,18,0,54
01309,,6,0,0,0,0,6,0,12
01310,,12,0,0,6,0,3,0,21
01311,,6,3,0,0,0,3,0,12
01313,,183,42,18,159,15,51,6,474
01314,,144,12,3,42,6,18,3,228
01317,,18,3,0,0,0,9,0,30
01318,,66,3,3,9,3,12,0,96
01319,,30,3,3,0,3,18,0,57
01320,,300,48,6,84,6,39,6,489
01321,,36,3,3,0,3,15,0,60
01322,,375,30,12,117,15,51,3,603
01323,,66,9,3,0,0,12,3,93
01325,,54,6,3,0,0,24,0,87
01328,,21,3,3,6,0,24,0,57
01329,,9,0,0,0,0,12,0,21
01331,,12,0,0,0,0,9,0,21
01332,,36,9,3,0,0,18,0,66
01333,,294,81,9,129,6,51,0,570
01334,,45,0,0,0,0,12,0,57
01335,,21,0,3,0,3,18,0,45
01336,,51,6,3,12,3,21,0,96
01337,,72,24,3,6,0,18,0,123
01338,,78,15,6,9,0,27,0,135
01339,,78,6,3,9,6,18,0,120
01342,,30,3,6,0,0,15,3,57
01343,,117,9,3,36,0,27,0,192
01344,,261,63,15,228,12,48,3,630
01345,,114,12,3,51,0,27,3,210
01346,,45,9,3,3,3,18,3,84
01347,,96,18,6,27,0,33,0,180
01348,,231,54,12,60,3,30,6,396
01349,,24,0,3,0,0,6,0,33
01350,,147,51,6,66,6,39,3,318
01351,,105,6,3,15,3,21,0,153
01352,,45,3,3,0,0,6,0,57
01353,,114,15,3,6,6,15,0,159
01354,,660,192,33,444,42,84,18,1473
01355,,21,0,3,0,0,12,0,36
01356,,6,3,0,0,0,18,0,27
01357,,42,3,3,6,0,15,3,72
01358,,12,0,3,0,0,9,3,27
01359,,15,3,0,0,0,6,0,24
01360,,69,9,6,21,0,24,0,129
01361,,81,18,3,21,6,12,3,144
01362,,57,12,3,9,3,9,0,93
01363,,120,27,6,45,0,30,0,228
01364,,36,9,3,0,0,6,0,54
01365,,45,3,3,6,0,21,0,78
01366,,51,6,3,30,3,15,3,111
01367,,48,6,3,24,6,15,0,102
01368,,45,6,3,6,0,18,0,78
01369,,45,6,3,24,0,18,0,96
01370,,120,24,3,42,0,21,3,213
01371,,51,9,3,3,3,15,0,84
01372,,33,0,3,3,0,9,0,48
01373,,81,18,3,87,0,15,0,204
01374,,93,24,3,6,3,36,0,165
01375,,21,0,3,0,0,15,0,39
01376,,225,30,6,153,51,33,3,501
01378,,144,12,3,45,6,45,6,261
01379,,45,9,3,9,0,12,0,78
01380,,33,12,3,6,0,18,3,75
01381,,60,3,3,3,0,15,0,84
01382,,15,3,0,3,0,6,0,27
01383,,60,12,3,33,9,21,6,144
01384,,162,30,6,63,6,42,6,315
01385,,45,6,3,6,3,18,0,81
01386,,33,6,15,6,9,33,6,108
01387,,12,6,0,0,0,6,0,24
01388,,90,18,6,78,0,27,0,219
01389,,171,18,3,36,3,30,0,261
01390,,147,21,3,36,9,36,6,258
01391,,24,3,0,0,0,3,0,30
01392,,24,0,0,0,0,21,3,48
01393,,48,6,3,0,3,12,3,75
01396,,84,9,3,15,3,24,0,138
01397,,27,3,3,0,0,12,0,45
01398,,123,18,3,12,3,21,3,183
01399,,84,66,3,18,6,24,3,204
01400,,9,3,0,0,0,9,0,21
01401,,45,3,3,6,0,27,0,84
01402,,36,3,3,0,0,15,0,57
01403,,114,15,3,48,0,42,6,228
01404,,12,0,0,0,0,6,0,18
01405,,60,12,3,3,3,30,0,111
01406,,3,0,0,0,0,0,0,3
01407,,57,12,3,24,0,24,6,126
01408,,39,9,3,3,3,18,6,81
01410,,12,0,3,0,0,6,0,21
01411,,15,0,3,0,0,3,0,21
01412,,24,6,3,6,0,18,0,57
01415,,15,0,3,6,0,6,0,30
01416,,54,9,6,30,6,27,0,132
01418,,69,9,3,9,6,15,0,111
01419,,291,273,6,54,3,45,12,684
01420,,129,36,9,81,3,51,0,309
01421,,45,3,3,3,0,24,0,78
01422,,69,18,3,48,0,21,0,159
01423,,33,9,3,6,3,21,0,75
01424,,117,15,3,30,6,18,3,192
01425,,24,0,3,0,0,12,0,39
01426,,138,18,3,66,6,81,6,318
01427,,507,114,21,243,18,60,12,975
01428,,12,0,0,0,0,0,0,12
01429,,39,0,3,0,0,15,0,57
01430,,30,3,3,3,3,12,0,54
01431,,51,9,3,12,3,24,0,102
01432,,21,0,0,0,0,9,0,30
01433,,6,0,0,6,0,0,0,12
01434,,21,0,3,0,0,18,3,45
01435,,48,9,3,42,6,21,0,129
01436,,21,3,3,0,0,12,0,39
01437,,3,0,0,0,0,0,0,3
01439,,9,0,0,0,0,0,0,9
01441,,69,3,3,0,0,12,0,87
01443,,354,69,12,201,9,63,6,714
01444,,63,6,3,0,0,24,6,102
01445,,24,3,3,0,0,15,0,45
01446,,144,12,3,3,6,15,0,183
01447,,78,3,3,60,3,36,0,183
01448,,12,0,3,0,0,6,0,21
01449,,39,12,3,0,0,27,3,84
01450,,267,24,6,63,9,27,6,402
01451,,477,237,9,162,18,63,12,978
01452,,75,15,3,39,3,39,0,174
01453,,57,3,6,9,3,24,0,102
01454,,93,18,3,12,3,15,3,147
01456,,6,0,0,0,0,3,0,9
01457,,198,57,9,63,6,42,12,387
02001,,24,3,3,0,3,9,0,42
02002,,36,0,3,3,0,6,0,48
02003,,24,6,3,15,0,18,0,66
02004,,15,0,0,0,0,0,0,15
02005,,15,0,0,0,0,6,0,21
02006,,18,0,0,0,0,0,3,21
02007,,6,0,0,0,0,0,3,9
02008,,15,0,0,0,0,0,0,15
02009,,18,6,3,3,0,21,0,51
02010,,18,0,0,0,0,6,0,24
02011,,63,12,12,21,3,30,0,141
02012,,9,0,0,0,0,0,0,9
02013,,36,3,3,3,3,9,0,57
02014,,33,6,3,3,0,9,0,54
02015,,9,3,0,0,0,0,0,12
02016,,15,0,0,0,0,0,0,15
02017,,6,0,3,6,0,3,0,18
02018,,117,39,12,69,3,63,3,306
02019,,9,0,0,0,0,0,0,9
02020,,33,0,3,0,0,6,0,42
02021,,9,0,0,0,0,0,0,9
02022,,18,0,0,3,0,6,0,27
02023,,9,3,0,0,0,3,0,15
02024,,9,0,0,0,0,0,0,9
02025,,21,0,3,3,0,9,0,36
02027,,12,6,0,0,0,6,0,24
02028,,96,21,6,54,3,24,0,204
02029,,6,0,0,0,0,0,0,6
02030,,9,3,0,0,0,0,0,12
02031,,48,12,3,24,0,18,0,105
02032,,15,3,3,3,0,12,0,36
02033,,3,0,0,0,3,0,0,6
02034,,6,0,0,0,0,0,0,6
02035,,9,0,3,0,0,9,0,21
02036,,6,0,0,0,0,0,0,6
02037,,39,9,6,18,0,18,0,90
02038,,9,0,0,6,0,3,0,18
02039,,3,0,0,0,0,3,0,6
02040,,6,0,0,0,0,3,0,9
02041,,39,15,3,0,0,6,0,63
02042,,21,0,0,0,0,12,0,33
02043,,3,0,0,0,0,0,0,3
02044,,6,0,0,0,0,0,0,6
02046,,12,0,3,0,0,12,0,27
02047,,6,0,3,0,0,0,0,9
02048,,6,3,0,0,0,0,0,9
02049,,21,3,3,3,0,15,0,45
02050,,3,0,3,0,0,0,0,6
02051,,12,0,0,3,0,0,0,15
02052,,9,0,0,0,0,0,0,9
02053,,27,0,0,0,0,9,3,39
02054,,21,3,3,3,0,6,0,36
02055,,9,0,0,0,0,3,0,12
02056,,6,0,0,0,0,3,0,9
02057,,42,12,9,45,0,36,0,144
02058,,75,18,3,48,0,9,0,153
02059,,69,15,12,33,0,51,0,180
02060,,15,3,0,0,0,12,0,30
02061,,18,0,0,0,0,6,0,24
02062,,3,0,0,0,0,3,0,6
02063,,24,0,0,9,0,6,0,39
02064,,90,42,9,93,12,54,0,300
02065,,33,3,3,6,0,12,0,57
02066,,9,0,0,0,0,3,0,12
02067,,9,0,0,0,0,0,0,9
02068,,6,0,0,0,0,0,0,6
02069,,9,0,0,0,0,0,0,9
02070,,18,0,3,0,0,3,0,24
02071,,30,6,3,3,0,42,3,87
02072,,15,3,0,0,0,0,0,18
02073,,30,6,3,0,0,9,0,48
02074,,27,0,3,0,0,12,0,42
02075,,15,0,0,0,0,0,0,15
02076,,6,0,0,0,0,3,0,9
02078,,3,0,3,0,0,0,0,6
02079,,12,0,0,0,0,3,0,15
02080,,6,6,0,6,0,0,0,18
02081,,9,9,3,3,0,0,0,24
02082,,12,0,0,0,0,0,0,12
02083,,33,3,3,15,0,24,0,78
02084,,21,0,0,0,0,0,0,21
02085,,33,6,3,18,3,15,0,78
02086,,33,3,3,0,3,12,0,54
02087,,3,0,0,0,0,0,0,3
02088,,3,0,0,0,0,0,0,3
02089,,60,3,6,21,3,15,0,108
02090,,9,0,0,3,0,15,0,27
02091,,9,0,0,0,0,3,0,12
02093,,69,27,3,45,0,27,6,177
02094,,27,9,0,6,0,9,0,51
02095,,210,126,33,153,3,69,0,594
02096,,9,0,0,0,0,0,0,9
02097,,30,0,0,0,0,6,0,36
02098,,12,0,0,0,0,3,0,15
02099,,18,3,0,0,0,0,0,21
02100,,6,0,0,0,0,3,0,9
02101,,9,0,0,0,0,3,0,12
02102,,9,3,0,0,3,3,0,18
02103,,51,24,3,51,3,27,0,159
02104,,6,0,0,0,3,0,0,9
02105,,12,0,3,0,0,3,0,18
02106,,48,9,3,24,6,27,3,120
02107,,6,0,0,0,0,0,0,6
02108,,3,3,3,0,0,3,0,12
02109,,27,3,3,0,0,6,0,39
02110,,99,45,9,84,0,30,0,267
02111,,30,0,3,6,0,21,0,60
02112,,33,0,3,0,0,9,0,45
02114,,72,15,3,24,3,30,0,147
02115,,9,0,0,0,0,0,0,9
02116,,3,0,0,0,0,0,0,3
02117,,3,0,0,0,0,0,0,3
02118,,6,0,0,0,0,3,0,9
02119,,27,0,0,0,0,3,0,30
02120,,6,3,0,0,0,9,0,18
02121,,9,3,0,0,0,0,0,12
02122,,9,0,0,0,0,6,0,15
02123,,12,3,3,6,0,0,0,24
02124,,24,3,3,3,0,6,0,39
02125,,18,0,0,0,0,3,0,21
02126,,36,9,3,15,3,12,0,78
02127,,9,0,0,3,0,0,0,12
02128,,72,24,3,48,3,6,3,159
02129,,3,0,0,0,0,0,0,3
02130,,9,0,3,0,0,12,0,24
02131,,93,9,6,48,0,27,0,183
02132,,6,0,0,3,0,3,0,12
02133,,18,0,3,0,0,12,0,33
02134,,33,15,3,3,3,36,0,93
02135,,36,15,3,30,0,6,0,90
02136,,12,0,0,0,0,0,0,12
02137,,9,0,0,0,0,3,0,12
02138,,12,0,0,3,3,6,0,24
02139,,12,0,3,0,0,18,0,33
02140,,18,0,3,3,0,9,0,33
02141,,105,24,24,102,3,51,3,312
02142,,12,0,0,0,0,3,0,15
02143,,15,3,0,18,0,15,0,51
02144,,3,0,0,0,0,0,0,3
02145,,24,0,3,6,0,21,0,54
02146,,6,0,0,0,0,0,0,6
02148,,9,0,0,0,0,0,0,9
02149,,12,0,0,0,0,0,0,12
02150,,9,0,0,0,0,3,0,12
02151,,15,0,0,6,0,3,0,24
02152,,6,0,0,0,0,0,0,6
02153,,24,0,6,6,0,18,3,57
02154,,24,0,3,0,0,15,0,42
02155,,6,3,0,0,0,6,0,15
02156,,6,3,0,0,0,3,0,12
02157,,54,81,3,15,0,24,0,177
02158,,15,12,3,0,0,57,6,93
02159,,9,3,0,0,0,0,0,12
02160,,15,6,3,3,0,15,0,42
02162,,24,0,0,0,0,3,0,27
02163,,159,30,9,111,6,66,0,381
02164,,36,0,0,0,0,9,0,45
02165,,72,18,12,15,0,30,0,147
02166,,15,0,0,0,0,6,0,21
02167,,33,6,3,6,0,12,0,60
02168,,741,426,72,822,48,162,27,2298
02169,,3,0,0,0,0,0,0,3
02170,,12,0,0,0,0,0,0,12
02171,,9,0,0,0,0,0,0,9
02172,,9,0,6,18,0,6,0,39
02173,,660,306,90,354,9,165,9,1593
02174,,36,12,3,3,0,21,0,75
02175,,9,0,0,0,0,0,0,9
02176,,18,0,3,0,0,3,0,24
02177,,3,0,0,0,0,0,0,3
02178,,6,0,0,0,0,0,0,6
02179,,24,0,0,0,0,0,0,24
02180,,18,0,3,3,0,18,0,42
02181,,12,0,0,0,0,0,0,12
02182,,3,0,0,0,0,6,0,9
02183,,6,0,0,0,0,6,0,12
02184,,15,3,0,3,0,0,0,21
02185,,18,3,3,3,0,21,0,48
02186,,54,15,3,54,3,30,0,159
02187,,48,12,6,15,3,15,0,99
02188,,6,0,0,0,0,3,0,9
02189,,15,3,0,0,0,15,0,33
02190,,15,3,3,0,0,12,0,33
02191,,27,3,3,3,0,0,0,36
02192,,21,0,0,0,0,15,0,36
02193,,3,0,0,0,0,0,0,3
02194,,6,0,0,0,0,3,0,9
02195,,45,3,3,6,0,21,0,78
02196,,21,3,0,0,6,9,0,39
02197,,18,3,9,3,0,6,0,39
02198,,6,0,0,0,0,0,0,6
02199,,30,12,3,9,0,0,0,54
02200,,6,0,0,0,0,0,0,6
02201,,18,3,3,18,0,3,0,45
02203,,54,9,6,27,3,15,0,114
02204,,3,0,0,0,0,3,0,6
02205,,12,0,0,0,0,0,0,12
02206,,3,0,0,0,0,0,0,3
02207,,3,0,0,0,0,3,0,6
02208,,9,0,0,0,0,0,0,9
02209,,57,15,6,51,0,18,0,147
02210,,12,0,0,0,0,0,0,12
02211,,30,0,3,3,0,21,0,57
02212,,33,21,3,6,0,24,0,87
02213,,24,0,3,0,0,6,0,33
02214,,3,0,0,0,0,0,0,3
02215,,42,18,6,27,0,27,3,123
02216,,6,0,0,0,3,9,0,18
02217,,39,15,9,45,3,27,3,141
02218,,27,0,3,3,3,15,0,51
02219,,3,0,3,3,3,6,0,18
02220,,36,3,3,9,0,9,0,60
02221,,9,0,0,0,0,0,0,9
02222,,6,3,0,0,0,0,0,9
02223,,18,0,0,0,0,3,0,21
02224,,18,6,3,0,0,0,6,33
02225,,3,0,0,0,0,0,0,3
02226,,42,9,3,15,0,18,0,87
02227,,6,0,0,0,0,3,0,9
02228,,18,0,3,9,0,0,0,30
02229,,6,0,0,0,0,3,0,9
02230,,24,0,0,0,0,9,0,33
02231,,24,3,3,6,0,24,0,60
02232,,9,0,0,27,3,15,0,54
02233,,6,6,0,0,0,0,0,12
02234,,3,6,0,3,0,0,0,12
02235,,3,0,0,0,0,0,0,3
02236,,18,3,3,0,0,9,0,33
02237,,72,36,6,57,3,30,6,210
02238,,66,18,3,42,6,30,0,165
02239,,69,15,9,15,0,30,3,141
02240,,6,0,0,0,0,3,0,9
02241,,15,0,0,0,0,0,0,15
02242,,21,0,3,3,3,3,0,33
02243,,102,36,3,69,6,24,0,240
02244,,3,0,0,0,0,0,0,3
02245,,84,3,18,48,3,45,0,201
02246,,24,3,3,0,0,9,0,39
02248,,9,0,0,0,0,0,0,9
02249,,3,0,3,0,0,0,0,6
02250,,3,0,0,0,0,0,0,3
02251,,3,3,0,0,0,0,0,6
02252,,12,0,0,0,0,0,0,12
02253,,9,0,0,0,0,9,0,18
02254,,12,0,0,0,0,3,0,15
02255,,3,0,0,0,0,0,0,3
02256,,3,0,0,0,0,0,0,3
02257,,21,0,0,0,0,6,0,27
02258,,12,0,3,6,0,12,0,33
02259,,15,3,3,3,0,3,0,27
02260,,15,0,3,0,0,0,0,18
02261,,12,0,0,3,0,6,0,21
02262,,24,0,0,0,0,3,0,27
02263,,3,0,0,0,0,0,0,3
02264,,48,6,3,18,0,12,0,87
02265,,3,0,0,0,0,0,0,3
02266,,3,0,0,0,0,0,0,3
02267,,18,0,0,0,0,3,3,24
02268,,36,0,3,3,0,9,0,51
02269,,3,0,0,0,0,0,0,3
02270,,3,0,0,0,0,0,0,3
02271,,12,0,0,0,0,0,0,12
02272,,9,0,0,0,0,0,0,9
02273,,3,0,0,0,0,3,0,6
02274,,9,0,0,0,0,3,0,12
02275,,6,0,3,0,0,6,0,15
02276,,3,0,0,0,0,0,0,3
02277,,12,0,0,0,0,9,0,21
02278,,6,3,0,0,0,0,0,9
02279,,18,3,6,3,0,9,0,39
02280,,21,0,0,0,0,3,0,24
02281,,21,3,0,0,0,6,0,30
02282,,21,3,3,0,0,12,0,39
02283,,12,0,3,0,0,9,0,24
02284,,3,0,0,0,0,0,3,6
02286,,21,9,3,3,3,6,0,45
02287,,51,12,3,18,0,27,0,111
02288,,36,0,3,0,0,3,0,42
02289,,9,0,0,0,0,9,0,18
02290,,96,57,6,54,6,24,9,252
02291,,15,3,3,0,0,12,0,33
02292,,60,12,3,24,0,18,0,117
02293,,18,0,3,0,0,12,0,33
02294,,15,0,0,0,0,6,0,21
02295,,54,15,3,9,0,24,6,111
02296,,45,9,3,36,0,12,0,105
02297,,6,9,0,0,0,6,0,21
02298,,51,21,3,45,0,36,0,156
02299,,18,0,3,0,0,12,3,36
02302,,30,0,0,3,0,9,0,42
02303,,51,201,3,0,0,9,3,267
02304,,180,69,18,126,9,84,3,489
02305,,159,54,12,105,3,57,6,396
02306,,21,0,3,9,0,18,0,51
02307,,84,36,12,51,9,48,3,243
02308,,24,9,3,3,0,3,0,42
02309,,24,3,3,6,0,9,0,45
02310,,12,0,0,3,0,0,0,15
02312,,69,9,3,3,0,21,0,105
02313,,6,0,3,0,0,15,0,24
02315,,51,24,6,42,3,24,0,150
02316,,6,0,0,0,3,3,0,12
02317,,9,0,0,0,0,9,0,18
02318,,39,12,3,36,0,18,0,108
02319,,24,6,3,0,0,15,0,48
02320,,12,0,0,0,0,3,0,15
02321,,39,6,21,18,3,30,0,117
02322,,21,3,0,0,0,9,0,33
02323,,9,0,0,0,0,0,0,9
02324,,6,0,0,0,3,0,0,9
02326,,15,9,3,6,0,18,0,51
02327,,15,0,0,0,0,6,0,21
02328,,12,6,3,0,0,9,0,30
02329,,21,3,3,0,0,15,0,42
02330,,15,6,3,6,0,9,0,39
02331,,6,0,0,0,0,3,0,9
02332,,15,6,0,0,0,0,0,21
02333,,9,0,0,0,0,6,0,15
02334,,87,30,12,81,3,42,0,255
02335,,6,0,0,0,0,0,0,6
02336,,33,0,3,9,3,15,0,63
02337,,6,0,0,0,0,0,0,6
02338,,9,3,0,9,0,0,0,21
02339,,21,9,3,9,3,27,0,72
02340,,219,36,21,99,9,102,3,489
02341,,9,0,0,0,0,0,0,9
02342,,9,0,0,0,0,0,0,9
02343,,6,0,0,0,0,0,0,6
02345,,3,0,0,0,0,0,0,3
02346,,33,0,3,0,0,3,0,39
02347,,15,3,0,0,0,12,0,30
02349,,3,0,0,0,0,3,0,6
02350,,3,3,0,0,0,3,0,9
02351,,3,0,0,0,0,0,0,3
02352,,33,3,3,3,0,3,0,45
02353,,12,0,0,0,3,6,0,21
02354,,9,0,0,0,0,6,0,15
02355,,39,6,3,3,0,18,0,69
02356,,15,3,0,0,6,0,0,24
02357,,3,0,0,0,0,0,0,3
02358,,18,0,0,0,0,9,0,27
02359,,33,0,3,9,0,12,0,57
02360,,105,39,9,78,12,48,3,294
02361,,237,156,24,201,3,99,6,726
02362,,9,0,0,0,0,9,0,18
02363,,30,6,3,3,0,6,0,48
02364,,15,0,0,0,0,3,0,18
02366,,6,0,0,0,0,6,0,12
02367,,3,0,3,0,0,0,0,6
02368,,24,0,3,0,3,12,0,42
02369,,12,0,0,0,0,0,0,12
02370,,36,0,3,18,0,9,0,66
02371,,60,27,6,21,0,24,0,138
02372,,21,9,3,15,0,0,0,48
02373,,9,0,0,0,0,3,0,12
02374,,36,6,3,12,3,9,0,69
02375,,18,0,0,0,0,0,0,18
02376,,3,0,0,0,0,0,0,3
02377,,3,3,0,0,0,0,0,6
02378,,12,0,3,0,3,3,0,21
02379,,12,0,6,0,0,6,0,24
02380,,3,0,0,0,0,0,0,3
02381,,279,168,45,249,15,132,3,891
02382,,51,12,3,42,0,30,3,141
02383,,51,9,3,33,0,15,3,114
02384,,3,0,0,0,0,0,0,3
02385,,3,0,0,0,0,0,0,3
02386,,9,0,0,0,0,9,0,18
02387,,30,6,3,24,0,27,0,90
02388,,15,0,0,6,0,3,0,24
02389,,27,18,0,42,3,15,0,105
02390,,6,0,0,0,0,0,0,6
02391,,6,0,0,0,0,0,0,6
02392,,12,0,0,0,0,15,0,27
02393,,12,0,0,0,0,6,0,18
02395,,6,0,0,0,0,0,0,6
02396,,3,0,0,0,0,3,0,6
02397,,42,15,3,9,0,21,0,90
02398,,3,0,3,0,3,6,0,15
02399,,24,3,3,0,0,3,0,33
02400,,9,0,0,0,0,0,3,12
02401,,15,3,0,0,0,0,0,18
02402,,3,0,0,0,0,0,0,3
02403,,6,0,0,0,0,6,0,12
02404,,6,0,3,0,0,0,0,9
02405,,27,0,3,0,0,9,0,39
02406,,3,0,0,0,0,3,0,6
02407,,6,0,0,0,0,3,0,9
02408,,1173,603,132,903,33,282,33,3159
02409,,9,0,0,0,0,6,0,15
02410,,9,0,3,0,0,6,0,18
02411,,15,0,0,0,0,6,3,24
02412,,6,0,0,0,0,3,0,9
02413,,12,3,0,0,0,3,0,18
02414,,12,0,0,0,0,0,0,12
02415,,21,3,0,0,0,3,0,27
02416,,12,0,3,0,0,12,0,27
02417,,9,0,0,0,0,0,0,9
02418,,15,0,0,0,0,0,0,15
02419,,9,3,0,3,0,0,0,15
02420,,39,6,3,15,0,9,0,72
02421,,3,0,0,0,0,0,0,3
02422,,12,6,3,0,0,6,0,27
02423,,18,3,3,3,0,6,0,33
02424,,9,0,0,0,0,0,0,9
02425,,6,0,3,0,0,3,0,12
02426,,15,0,3,6,0,12,0,36
02427,,15,0,0,0,0,0,0,15
02428,,6,0,0,0,0,0,0,6
02429,,3,0,0,0,0,0,0,3
02430,,45,24,9,51,3,30,3,165
02431,,12,3,0,0,0,3,0,18
02432,,15,0,0,0,0,0,0,15
02433,,27,9,3,0,0,0,0,39
02435,,3,0,0,0,0,0,0,3
02438,,15,3,0,0,3,12,6,39
02439,,75,3,3,3,0,15,0,99
02440,,12,0,0,0,0,3,0,15
02441,,9,0,0,0,0,0,0,9
02442,,6,0,0,0,0,0,0,6
02443,,18,0,0,0,0,9,0,27
02444,,9,0,0,0,0,3,0,12
02445,,15,0,0,0,0,9,0,24
02446,,6,0,0,0,0,0,0,6
02447,,3,0,0,0,0,3,0,6
02448,,6,3,0,0,0,3,0,12
02449,,3,0,0,0,0,0,0,3
02450,,27,3,3,0,0,6,0,39
02451,,3,0,0,0,0,3,0,6
02452,,12,0,0,0,0,9,0,21
02453,,15,0,0,0,0,12,0,27
02454,,24,3,0,0,0,3,0,30
02455,,18,0,0,0,0,0,0,18
02456,,18,0,3,3,3,0,0,27
02457,,9,0,0,3,3,6,0,21
02458,,33,0,0,6,0,9,0,48
02459,,9,0,0,0,0,3,0,12
02460,,6,0,3,0,0,0,3,12
02461,,27,3,3,0,3,0,0,36
02462,,9,0,0,0,0,0,0,9
02463,,6,0,0,0,0,0,0,6
02464,,30,0,0,0,3,0,0,33
02465,,30,0,3,3,0,3,3,42
02466,,15,0,0,0,0,3,0,18
