CODGEO,LIBGEO,services,commerces,enseignement,sante,transport,sport_culture,tourisme,total
68296,,57,18,0,12,0,21,12,120
68297,,1005,471,72,411,33,114,33,2139
68298,,297,69,21,153,3,72,21,636
68299,,30,3,0,0,0,0,0,33
68300,,537,165,24,102,15,75,21,939
68301,,66,3,6,12,0,9,0,96
68302,,21,3,0,3,0,9,0,36
68303,,9,3,0,6,0,3,0,21
68304,,84,21,3,39,0,24,3,174
68305,,96,18,9,45,0,12,3,183
68306,,30,12,3,12,0,9,0,66
68307,,27,0,6,0,0,36,6,75
68308,,24,0,0,0,0,12,0,36
68309,,252,174,6,120,3,51,6,612
68311,,45,6,0,0,0,9,0,60
68312,,12,3,0,0,0,0,0,15
68313,,75,9,3,12,0,6,0,105
68315,,480,90,15,192,6,75,9,867
68316,,21,3,3,21,0,3,3,54
68317,,51,18,3,3,0,6,6,87
68318,,105,39,9,48,0,27,9,237
68320,,84,9,3,9,3,21,0,129
68321,,195,39,12,39,6,30,0,321
68322,,63,6,6,6,0,12,0,93
68323,,36,3,3,6,0,9,3,60
68324,,15,6,3,6,3,6,0,39
68325,,21,0,3,3,0,12,0,39
68326,,6,0,0,0,0,6,0,12
68327,,9,3,3,0,0,6,0,21
68328,,9,0,0,3,0,6,0,18
68329,,96,21,3,24,0,39,3,186
68330,,24,0,0,0,0,0,0,24
68331,,99,21,6,66,3,18,0,213
68332,,63,9,3,9,0,18,0,102
68333,,9,6,3,0,0,9,0,27
68334,,408,159,30,270,12,84,33,996
68335,,24,6,3,6,0,12,15,66
68336,,30,9,3,0,0,6,0,48
68337,,33,9,0,0,0,9,0,51
68338,,219,51,3,126,9,24,30,462
68340,,27,0,0,0,0,9,0,36
68341,,9,0,3,6,0,6,0,24
68342,,66,21,3,9,3,21,3,126
68343,,111,30,3,36,3,36,3,222
68344,,24,0,3,0,0,3,3,33
68345,,12,3,3,6,0,6,0,30
68347,,33,21,3,39,0,15,0,111
68348,,153,33,12,72,6,27,0,303
68349,,96,9,6,75,0,81,12,279
68350,,27,12,3,0,3,9,0,54
68351,,18,0,3,9,0,30,3,63
68352,,105,27,15,51,0,45,3,246
68353,,9,0,0,0,0,6,3,18
68354,,39,3,3,9,0,12,0,66
68355,,108,36,3,42,0,12,0,201
68356,,27,3,0,6,3,9,0,48
68357,,24,0,0,3,0,3,0,30
68358,,15,0,0,0,0,9,3,27
68359,,81,0,3,27,0,30,9,150
68360,,18,3,3,0,0,9,0,33
68361,,18,0,0,0,0,12,0,30
68362,,27,0,3,3,0,15,0,48
68363,,27,0,0,0,0,3,0,30
68364,,54,15,3,9,0,12,6,99
68365,,126,36,6,51,0,24,6,249
68366,,21,6,3,0,0,9,0,39
68367,,45,12,6,0,0,9,3,75
68368,,78,15,6,21,3,15,6,144
68370,,9,0,0,0,0,12,3,24
68371,,9,3,3,3,0,0,0,18
68372,,87,33,6,21,6,12,0,165
68373,,12,0,0,0,0,18,3,33
68374,,360,135,27,219,12,54,12,819
68375,,582,84,39,147,15,120,6,993
68376,,864,450,42,222,15,174,12,1779
68377,,45,9,3,3,0,15,3,78
68378,,18,3,0,0,0,0,0,21
68379,,78,3,3,18,0,18,3,123
68380,,9,3,0,0,0,15,3,30
68381,,30,0,0,3,0,18,3,54
68382,,9,3,3,0,0,6,0,21
68383,,18,3,0,6,0,0,6,33
68384,,84,12,15,42,9,12,0,174
