code_epci,pv_mwh,pv_sites,pv_kwh_par_hab
200022986,245.9,2,4.8
243700663,1418.4,241,
245700216,5501.2,1069,
240700757,795.3,157,
200038982,203.2,72,
245200514,410.2,35,
241500248,9469.2,75,
240400275,197.6,14,
200027001,511.2,66,
246900765,698.7,1,25.6
248200180,3783.4,88,
242852580,1025.1,59,
240500363,3026.9,119,
240100875,274.2,63,
243801099,0.0,0,
247400070,164.0,47,
245501242,824.8,60,110.2
244200622,1114.7,201,72.2
244000543,7506.1,177,590.6
200034700,170341.6,1386,2684.2
244500427,898.6,140,20.8
200042109,650.5,171,
200041556,6597.7,79,1001.0
248500258,1343.2,8,68.0
247000813,333.4,44,
244400495,726.9,6,
200011286,682.4,4,
242900769,1809.7,211,34.9
200040285,1063.9,184,
200040624,10610.7,584,371.3
248900532,640.2,194,
200040392,2864.0,456,27.5
248800658,851.8,204,
244100798,522.0,123,24.7
244900015,8037.0,1140,26.2
200010700,1416.5,218,18.2
200041887,1506.6,228,103.6
245200597,1504.5,59,205.1
240400382,391.2,49,
241600345,1326.2,229,
248900334,599.4,195,10.1
245600150,471.3,80,
242320075,12012.1,42,
243700754,2737.7,552,9.2
200039956,1546.0,223,
243100864,1951.3,234,
246000871,364.3,119,6.6
200040061,6983.4,206,
249100595,283.3,83,10.5
248200206,950.7,86,
247600463,129.2,51,
200043909,11416.4,188,
200011773,1303.7,420,14.0
200018364,749.2,35,
248800740,914.2,84,
241100593,75532.5,1268,571.2
200035434,1134.3,124,
241000488,791.2,64,93.8
245101043,1663.7,72,
241600253,3627.4,444,
244600532,1217.0,72,139.2
243400470,18705.8,39,412.0
241400712,634.9,46,
245400171,727.6,229,25.7
200040350,1687.7,291,49.5
242504330,673.4,113,
200006716,1015.1,60,61.5
245101035,969.6,47,
200042695,2405.4,220,
240300566,3256.3,68,592.9
244701496,7645.2,49,
246900575,2091.6,385,49.5
241927367,2634.6,35,
200047348,20293.7,257,
200042653,2683.6,277,148.1
246800445,873.5,110,53.6
242852465,2108.4,115,173.5
200011625,1947.9,174,
200023703,0.0,0,
245200555,260.2,58,
241501071,4620.6,49,
200007128,578.7,4,
247103989,115.2,16,
248200016,5319.9,439,281.5
200041051,1112.3,73,124.4
244301032,2309.5,188,138.5
248700155,550.1,76,
243100658,4225.1,221,
240100412,633.9,55,
246000830,529.6,95,
200044253,1005.0,93,81.8
247300254,75.6,1,4.9
200055481,3328.1,167,170.3
243700770,478.7,41,
200039949,219.7,84,4.9
242504447,561.5,64,35.0
245200456,4996.8,114,
248400053,8181.5,676,113.7
200060010,31434.6,2256,258.5
200033124,594.7,113,
200042331,174.0,53,
243100799,3619.4,192,
244200614,784.3,118,133.1
241600303,1775.9,132,180.4
243400827,7219.0,747,
246800700,3705.9,79,
245700133,2414.4,84,100.1
240400283,15664.3,115,
248000432,65.7,18,
240900431,352.6,54,41.5
244500211,913.9,118,37.9
245700372,1856.0,493,24.5
200042497,670.6,216,16.6
242504215,370.1,89,
248400293,6119.4,352,119.8
248500563,4441.4,248,274.5
243700788,334.2,74,
247600802,106.1,40,
200007052,544.6,52,98.4
246300966,1403.7,52,146.3
200035756,12289.1,219,1713.2
241927391,2506.7,65,
241200807,6813.1,87,1225.8
200005957,914.5,87,71.0
245600143,2448.7,151,
244301115,3855.7,275,
241400753,653.0,52,
247600687,363.6,37,
246000582,317.1,109,8.5
244800348,801.3,20,
242101285,331.1,38,
243400736,1604.1,317,124.0
246800247,344.2,3,
243100542,3138.1,226,
242214427,562.1,85,
241501063,3592.5,56,
247400690,1730.4,427,35.5
243100690,10365.1,18,
241000363,1396.8,35,
243801198,8784.6,253,
246401715,2731.5,168,
248800351,2649.4,64,
240100396,111.0,34,
243800844,1189.0,246,75.6
244000782,29122.3,11,
200018190,145.4,16,
248000523,333.5,60,
243200599,3593.6,166,367.3
244300265,448.7,102,
200041200,4558.2,69,
243200300,6459.4,180,
246201057,465.6,113,
200026185,112.9,35,
245000450,827.6,96,
243500139,13371.7,1315,28.6
243200417,27000.4,208,1881.0
242101483,467.4,110,
243400751,3111.1,345,
243100682,274.5,3,
244800470,1243.5,69,128.6
243800984,3972.5,1024,41.6
247104136,3244.5,54,
200040830,711.2,59,73.6
241200823,1944.3,123,
200035426,458.9,109,
245804513,765.5,32,
242700417,42.8,16,
200040137,1246.5,62,137.1
245000427,314.2,65,
248000481,141.4,51,
240200527,289.1,57,
240500470,5013.8,159,
248300535,73696.6,525,
200044022,1106.6,216,
200042604,3451.4,245,77.0
240400523,56.8,18,
249000241,1815.1,205,76.9
242100345,844.9,51,
246500789,0.0,0,
200023026,1174.7,323,
240500389,2899.3,91,
244400693,1726.2,268,
247400575,81.8,1,
245501317,646.2,45,
242200848,619.1,75,
243500634,5139.0,338,191.0
200039634,227.1,42,
241200658,4710.7,123,590.1
245804463,918.3,87,
200035111,1544.1,88,129.5
245700398,493.1,150,15.6
200035772,984.0,127,68.9
240700815,8631.7,143,1084.8
200042620,3336.9,129,430.2
243100849,98.5,25,
244000709,2481.6,233,
240300673,14720.8,89,
249000217,226.7,64,
200059517,642.3,114,
248500670,2374.5,18,
200018315,292.5,29,
245501457,445.8,40,
200043321,1281.8,291,26.6
243301538,868.9,203,
244900775,2181.8,185,
200043917,2452.8,363,
241927201,7424.5,249,169.0
246500565,4566.0,319,
200023414,9424.1,960,19.0
242200590,214.0,39,
200041218,0.0,0,
241400621,352.7,56,
245400817,2367.2,146,
242913309,308.2,2,
200059392,5342.9,785,95.9
200040616,3660.3,72,
246200729,820.4,175,7.3
242504280,395.2,35,
247600745,349.4,52,
200000438,1669.4,372,46.1
200048775,6636.8,412,
241200633,5603.1,280,
