code_epci,libepci,n_gares,n_equipements,n_carreaux,pop_insee,pct_habitat_gare_3,pct_equipements_gare_3
200068815,?,3,287,3023,32150,23.44,27.18
200068831,?,2,188,2159,16278,15.06,20.21
200068856,?,0,68,1232,7342,,
200068864,?,0,184,604,23514,,
200068872,?,4,169,1498,16564,26.01,31.36
200068880,?,1,106,1019,8780,11.64,12.26
200068914,?,0,166,1893,19318,,
200068922,?,2,183,2097,14795,29.37,31.15
200068930,?,3,259,2807,19580,18.83,22.78
200068948,?,0,240,3101,21610,,
200068955,?,3,220,2098,25299,21.17,28.18
200068963,?,4,131,1331,20983,25.15,32.82
200068989,?,6,703,6499,90908,16.56,16.36
200068997,?,3,491,2360,53650,33.78,30.14
200069003,?,0,213,1077,16222,,
200069029,?,4,439,1952,62300,27.26,28.47
200069037,?,2,594,3030,90296,15.71,15.66
200069052,?,8,670,1509,83490,53.43,49.55
200069060,?,0,115,754,13720,,
200069086,?,2,220,3122,29589,9.3,16.82
200069094,?,1,131,1930,12312,22.22,29.01
200069102,?,0,77,722,4685,,
200069110,?,1,813,2369,112725,25.74,23.0
200069128,?,6,99,681,5026,19.24,30.3
200069136,?,0,110,982,4261,,
200069144,?,1,69,748,4478,19.52,21.74
200069151,?,0,114,702,6376,,
200069169,?,0,170,1700,11366,,
200069177,?,2,277,1353,39472,15.33,15.88
200069185,?,1,130,843,9268,33.8,36.15
200069193,?,6,344,2316,37776,34.55,30.81
200069227,?,0,209,2027,16284,,
200069235,?,0,153,1316,14203,,
200069250,?,1,980,2951,131742,20.5,22.04
200069268,?,4,97,721,6978,34.14,38.14
200069300,?,3,900,3264,105886,29.89,32.78
200069383,?,3,285,2950,24480,28.58,23.16
200069391,?,3,516,6113,66055,13.18,16.67
200069409,?,3,908,5354,139814,17.23,18.83
200069417,?,1,179,2655,23031,9.81,21.79
200069425,?,2,723,9637,78054,9.77,13.14
200069433,?,1,162,663,10240,2.91,3.7
200069441,?,0,352,1494,29305,,
200069458,?,1,167,1934,11882,6.84,6.59
200069482,?,4,313,1717,31724,11.56,17.89
200069516,?,1,114,818,16112,7.64,5.26
200069524,?,0,160,2291,22913,,
200069532,?,4,474,5673,61275,33.53,36.29
200069540,?,3,116,395,15408,28.42,36.21
200069565,?,1,148,785,16984,7.65,8.11
200069581,?,6,218,1614,30106,39.9,40.83
200069599,?,0,171,2210,14402,,
200069615,?,1,214,1603,18050,7.23,10.75
200069623,?,4,251,1130,20678,38.06,33.47
200069631,?,0,159,2308,16626,,
200069649,?,0,249,3094,22899,,
200069656,?,1,168,1945,14412,14.27,16.67
200069664,?,0,171,760,9860,,
200069672,?,2,353,2016,32898,16.09,21.25
200069698,?,2,207,836,14090,34.39,37.2
200069722,?,2,196,1429,18450,24.66,36.22
200069730,?,2,260,2381,25333,20.35,28.85
200069748,?,0,185,2113,19478,,
200069755,?,0,443,3768,42708,,
200069763,?,0,312,2393,38985,,
200069821,?,1,264,1258,34430,37.13,32.58
200069839,?,0,262,1740,24980,,
200069847,?,1,165,1274,18736,5.51,5.45
200069854,?,10,1119,5078,157707,25.68,28.06
200069912,?,0,72,718,6142,,
200069953,?,2,327,1331,42714,13.61,18.35
200069961,?,5,312,2356,34965,43.2,56.41
200069995,?,2,252,1959,29128,21.38,34.52
200070035,?,3,284,2520,22507,3.17,2.11
200070043,?,3,440,4127,34281,16.94,17.5
200070068,?,2,220,1945,22374,3.72,3.64
200070092,?,7,560,4317,84249,38.25,39.64
200070100,?,0,174,1673,23632,,
200070118,?,0,160,940,18922,,
200070126,?,0,99,545,9795,,
200070142,?,0,184,994,18742,,
200070159,?,3,235,1220,24082,23.14,21.7
200070167,?,1,117,1344,12500,25.36,33.33
200070183,?,5,349,1894,46725,42.23,41.26
200070233,?,3,304,2037,47041,22.7,28.62
200070282,?,2,178,2616,15024,16.73,24.72
200070290,?,1,158,592,19600,12.17,12.03
200070308,?,6,594,2052,67962,37.72,43.27
200070316,?,1,240,2322,20690,1.05,2.5
200070324,?,8,337,977,36508,57.47,51.04
200070332,?,1,218,1078,14198,16.23,14.22
200070340,?,1,124,288,7630,30.1,30.65
200070365,?,1,187,632,22408,13.43,9.63
200070373,?,1,243,2751,20748,14.97,15.23
200070407,?,4,493,2649,52178,30.28,32.05
200070431,?,4,365,3308,39080,33.94,33.42
200070449,?,4,387,2796,50059,13.79,16.54
200070464,?,1,152,562,13334,50.17,34.21
200070506,?,3,123,1713,11464,9.97,11.38
200070514,?,3,502,3701,59654,24.94,32.67
200070530,?,2,333,3346,32244,5.76,9.31
200070548,?,2,191,1763,13149,33.92,35.6
200070555,?,3,190,1421,21388,30.66,37.89
200070563,?,3,330,1003,40348,31.43,29.39
200070571,?,2,138,1036,16748,30.13,29.71
200070589,?,0,182,721,17906,,
200070647,?,3,432,4384,56175,30.05,29.17
200070662,?,1,221,2486,31846,0.41,0.45
200070670,?,1,163,1844,21058,20.84,25.15
200070688,?,0,155,2314,20319,,
200070712,?,1,352,2746,33932,18.04,9.09
200070720,?,3,240,2476,29287,11.59,14.58
200070738,?,3,169,730,18186,32.25,25.44
200070746,?,3,549,1766,58008,19.89,23.86
200070753,?,3,440,1820,64114,22.0,22.73
200070761,?,0,347,4012,25202,,
200070779,?,1,262,966,38004,1.86,1.91
200070787,?,2,196,1593,14568,29.87,27.04
200070795,?,0,133,1309,5392,,
200070803,?,1,124,1124,9298,11.19,14.52
200070811,?,0,178,937,12948,,
200070829,?,0,101,701,5680,,
200070845,?,6,377,1021,45266,49.94,48.28
200070852,?,1,152,1221,19684,11.69,23.68
200070894,?,5,255,1052,27710,28.14,38.82
200070902,?,1,207,883,21180,13.34,19.32
200070910,?,0,51,308,4548,,
200070928,?,3,166,749,17650,24.37,30.72
200070936,?,3,302,2097,30232,13.55,16.89
200070944,?,0,179,913,20453,,
200070951,?,0,285,1237,27276,,
200070969,?,5,202,807,21692,40.17,39.11
200070977,?,1,229,922,22751,14.59,14.85
200070985,?,2,191,793,18150,34.66,46.07
200070993,?,2,368,1630,44236,26.76,26.9
200071017,?,0,219,1280,14804,,
200071025,?,0,93,1048,7799,,
200071033,?,0,60,435,4174,,
200071041,?,0,128,1040,9202,,
200071058,?,1,232,883,27136,14.29,12.5
200071066,?,5,581,4085,67093,31.08,29.95
200071074,?,2,153,688,20437,44.46,54.25
200071082,?,3,409,1969,52276,49.92,51.1
200071116,?,1,319,867,29374,33.32,33.86
200071140,?,3,500,4041,55256,29.12,28.0
200071157,?,0,266,2556,32978,,
200071165,?,2,296,1258,58725,28.73,36.15
200071173,?,0,99,940,6480,,
200071181,?,2,401,1976,35108,7.97,9.23
200071199,?,2,163,1402,19320,9.78,15.34
200071207,?,0,132,758,8096,,
200071215,?,0,197,1970,11492,,
200071223,?,3,232,764,22786,26.6,26.29
200071298,?,3,331,3302,39291,16.93,24.77
200071314,?,0,232,2133,34352,,
200071363,?,2,608,3506,75318,33.74,32.57
200071371,?,0,188,1486,24467,,
200071389,?,4,373,3392,30793,20.32,20.64
200071405,?,0,154,1205,19426,,
200071413,?,0,377,2601,36919,,
200071454,?,1,780,2747,100552,23.78,22.69
200071470,?,2,316,3419,22426,20.68,19.94
200071496,?,0,176,2129,11981,,
200071504,?,1,103,1331,10347,18.97,20.39
200071512,?,1,245,2500,23266,15.96,17.14
200071520,?,0,138,1919,14630,,
200071538,?,0,189,2237,21310,,
200071546,?,2,198,1987,28956,21.82,27.78
200071553,?,3,386,3358,54646,8.35,9.07
200071579,?,1,276,3032,26296,14.55,25.36
200071587,?,5,515,5169,45505,19.7,17.28
200071595,?,3,248,1239,18150,29.67,35.89
200071629,?,1,286,2806,48889,22.05,32.17
200071645,?,0,109,1039,7260,,
200071652,?,0,46,781,4136,,
200071678,?,1,684,3577,101298,19.37,23.68
200071751,?,7,1036,6389,119962,23.01,22.68
200071769,?,2,148,861,15590,19.07,20.27
200071777,?,0,141,718,10297,,
200071785,?,6,356,1439,48970,46.52,53.37
200071819,?,0,180,2189,13695,,
200071827,?,2,819,4209,123942,19.77,21.12
200071843,?,1,246,1154,31104,27.4,24.39
200071850,?,1,202,1304,24087,22.4,22.28
200071868,?,0,257,2741,35338,,
200071876,?,3,676,5614,92114,12.88,19.97
200071884,?,3,413,3702,35792,32.57,32.93
200071892,?,3,464,1121,71362,32.88,37.72
200071900,?,0,230,2330,36334,,
200071918,?,0,184,1425,27158,,
200071926,?,3,326,1728,25640,33.68,30.98
200071934,?,0,255,1902,32304,,
200071942,?,2,285,2967,20030,20.59,21.4
200071967,?,1,251,1468,35580,18.42,19.52
200071983,?,0,153,835,15028,,
200071991,?,5,229,1144,27324,42.2,38.43
200072007,?,0,109,830,3657,,
200072015,?,0,340,1985,45531,,
200072023,?,1,225,1666,19298,2.95,3.56
200072031,?,1,401,1985,48926,13.0,21.95
200072049,?,0,369,4432,31288,,
200072056,?,2,102,739,9611,34.24,47.06
200072064,?,5,394,3675,42320,20.39,28.43
200072072,?,3,445,3539,48054,25.04,27.87
200072080,?,1,172,2343,13110,1.45,0.58
200072098,?,0,169,1648,18281,,
200072106,?,0,277,2192,20312,,
200072130,?,2,528,852,89996,31.49,32.2
200072304,?,0,110,724,6840,,
200072312,?,2,561,2672,79834,23.66,22.28
200072320,?,0,136,1652,8288,,
200072346,?,7,367,1341,60596,45.1,38.15
200072452,?,0,392,3366,50484,,
200072460,?,12,1434,5187,231227,26.86,28.8
200072478,?,3,181,1112,24480,4.87,7.18
200072544,?,0,172,1351,24306,,
200072635,?,1,207,1096,13472,6.55,6.28
200072643,?,1,459,4451,39088,18.97,18.95
200072650,?,7,336,2462,51142,34.47,34.52
200072668,?,2,232,2329,22257,6.29,5.17
200072676,?,0,271,2718,24580,,
200072684,?,2,225,2397,27884,10.89,13.78
200072692,?,0,159,1647,13580,,
200072700,?,2,202,2257,19522,10.93,14.85
200072718,?,3,181,1877,16295,24.93,35.91
200072726,?,2,364,3611,41786,22.39,23.08
200072734,?,3,203,2064,39348,29.63,39.9
200072825,?,0,125,607,11934,,
200072874,?,2,172,831,27604,10.97,9.3
200072882,?,1,294,2300,44460,7.15,9.86
200072981,?,4,264,2748,31618,21.17,19.7
200072999,?,1,279,1059,19937,9.98,6.09
200073013,?,6,193,488,28388,66.46,65.28
200073096,?,1,449,3358,53857,17.01,17.37
200073104,?,8,110,583,8952,56.04,50.91
200073112,?,3,217,2565,21320,21.89,23.96
200073120,?,0,64,433,5070,,
200073138,?,5,95,557,4394,29.61,26.32
200073146,?,1,189,1803,15761,5.12,5.29
200073161,?,4,236,1411,39022,29.74,29.24
200073237,?,3,173,1730,21221,13.3,19.08
200073245,?,0,356,1824,32469,,
200073252,?,1,157,628,7880,0.69,1.91
200073260,?,1,432,3004,52469,13.57,10.19
200073344,?,4,469,1963,75784,42.13,35.39
200073393,?,4,211,1856,15414,26.67,24.64
200073401,?,0,141,1202,10422,,
200073419,?,7,773,4570,72062,22.55,25.23
200073427,?,2,239,1756,30614,6.26,4.18
200077014,?,3,592,3165,82330,29.45,32.26
200077055,?,7,425,2111,71260,42.06,52.94
240100578,?,0,63,360,5106,,
240100610,?,2,181,484,21486,44.28,60.22
240100750,?,1,436,1659,79330,0.83,1.15
240100800,?,4,167,371,21171,77.83,85.03
240100883,?,5,575,2346,77395,24.91,30.61
240100891,?,1,159,607,19258,45.38,35.85
240200444,?,0,258,2028,22947,,
240200469,?,0,139,649,13588,,
240200477,?,2,324,777,43806,26.88,33.95
240200493,?,2,269,1118,29299,24.26,22.3
240200501,?,1,158,913,19336,2.34,1.9
240200519,?,1,56,363,5218,7.23,7.14
240200576,?,5,193,757,19024,25.21,24.35
240200584,?,2,121,669,13882,24.95,28.1
240200592,?,0,69,298,4940,,
240200600,?,2,151,1115,18472,43.02,39.07
240200634,?,0,90,424,5852,,
240300491,?,0,92,1184,7196,,
240300558,?,0,103,1205,6370,,
240300566,?,3,65,569,5046,45.28,55.38
240300657,?,1,73,1064,6888,15.86,23.29
240400440,?,0,95,770,7854,,
240500439,?,1,181,555,17449,44.16,37.57
240500462,?,1,95,387,5916,29.58,34.74
240600551,?,10,433,1318,67676,63.7,61.2
240600585,?,5,1018,2848,176217,37.71,40.57
240600593,?,6,209,1088,19822,34.0,45.93
240700302,?,0,98,958,7180,,
240700617,?,0,55,530,4596,,
240700716,?,0,57,586,5376,,
240700815,?,0,69,620,6336,,
240700864,?,0,132,1072,16006,,
240800821,?,8,197,622,22026,76.84,75.13
240800847,?,1,207,896,18378,15.93,16.43
240800862,?,2,240,1586,20510,5.56,9.58
240800920,?,0,242,1250,16184,,
240900431,?,1,90,473,7426,32.68,41.11
240900464,?,0,161,735,13626,,
241000223,?,0,75,450,6645,,
241000405,?,1,117,452,9204,38.68,43.59
241000447,?,0,72,533,7210,,
241000488,?,0,84,528,8022,,
241100593,?,4,851,2746,121584,27.98,26.67
241200187,?,2,395,1231,48036,40.16,50.89
241200542,?,0,74,834,4832,,
241200567,?,2,232,864,27876,64.59,60.78
241200625,?,0,55,709,4978,,
241200641,?,1,118,1368,10720,8.15,12.71
241200658,?,0,83,702,7256,,
241200674,?,0,85,830,5428,,
241200765,?,0,78,808,4895,,
241200807,?,0,68,924,5221,,
241200906,?,1,80,558,5046,1.11,1.25
241200914,?,0,62,818,4710,,
241300375,?,0,216,1736,26912,,
241300417,?,3,499,2883,82702,39.24,37.88
241400415,?,3,176,773,16867,64.05,69.89
241400514,?,0,227,1609,24680,,
241400555,?,1,232,1096,25026,24.11,34.91
241400860,?,0,168,411,21899,,
241400878,?,1,149,1991,15749,26.55,33.56
241500230,?,3,429,2214,49524,37.48,43.59
241500255,?,0,75,715,4842,,
241500271,?,0,89,713,5592,,
241501055,?,0,100,1118,7310,,
241501089,?,1,67,508,4614,29.82,26.87
241501139,?,0,139,1297,7570,,
241600303,?,0,81,768,8772,,
241700434,?,6,963,2244,158138,32.22,35.31
241700459,?,0,159,652,18421,,
241700517,?,0,127,1193,15380,,
241700624,?,0,185,1234,22935,,
241700632,?,0,99,1183,13142,,
241700640,?,2,599,3439,86232,18.94,22.7
241700699,?,0,119,549,14288,,
241800325,?,0,40,474,4936,,
241800374,?,1,98,649,9562,23.03,22.45
241800424,?,0,69,650,6528,,
241800432,?,0,44,666,4724,,
241800457,?,2,75,479,10640,59.13,48.0
241800507,?,3,571,1800,89128,24.74,27.85
241900133,?,2,122,1151,8358,21.94,19.67
241927201,?,4,441,4301,38204,20.19,22.0
241927243,?,3,110,1453,8394,22.83,25.45
242000354,?,8,308,505,38118,85.2,90.26
242000495,?,0,107,800,6570,,
242000503,?,4,73,536,6822,16.88,26.03
242010056,?,6,478,1356,61734,61.39,58.58
242010130,?,0,146,800,8360,,
242020071,?,7,86,252,5912,91.25,89.53
242020105,?,13,112,700,11073,50.96,43.75
242100154,?,2,117,481,12434,33.79,35.04
242100410,?,3,1260,1565,204866,34.14,29.92
242101434,?,0,322,1337,17920,,
242101442,?,0,74,600,4694,,
242101459,?,3,83,438,6660,36.13,46.99
242101491,?,1,113,514,9663,30.93,40.71
242101509,?,5,182,995,18796,34.62,43.96
242200715,?,1,179,2627,16070,0.3,0.0
242400752,?,3,155,2194,12579,26.75,41.94
242400935,?,0,60,902,5842,,
242401024,?,0,152,2152,10664,,
242500320,?,1,63,556,7832,19.72,28.57
242500338,?,2,203,440,25952,54.78,49.75
242500361,?,16,1095,2973,167258,43.31,46.48
242504116,?,1,143,759,19927,32.52,46.15
242504181,?,4,241,1498,25252,27.85,28.63
242504355,?,0,67,449,6608,,
242504371,?,0,88,493,5208,,
242504447,?,2,180,810,15115,29.07,27.22
242504488,?,0,66,276,4978,,
242504496,?,2,57,253,6382,45.37,43.86
242600252,?,2,245,2701,29836,34.62,35.1
242600492,?,0,107,1099,8716,,
242600534,?,3,161,1252,11328,39.22,37.27
242700276,?,2,143,997,16156,39.72,47.55
242700607,?,0,157,952,16519,,
242700623,?,1,170,751,23163,23.08,32.35
242852465,?,1,95,758,11346,31.9,35.79
242900074,?,0,297,2565,47512,,
242900314,?,2,945,2656,186502,17.41,20.0
242900553,?,0,210,2401,40760,,
242900561,?,0,134,2034,13959,,
242900629,?,0,129,1453,14532,,
242900645,?,0,118,803,17604,,
242900660,?,0,156,1573,27364,,
242900694,?,2,357,4496,55530,20.88,24.09
242900702,?,0,249,1939,36084,,
242900710,?,0,130,1713,16936,,
242900744,?,1,127,1406,14142,35.46,49.61
242900751,?,2,237,2367,30788,13.01,4.64
242900769,?,1,307,3088,49340,8.26,11.4
242900793,?,0,197,1840,24378,,
242900801,?,4,266,2458,45666,33.67,35.34
242900835,?,4,474,4352,57072,28.49,29.75
243000270,?,0,108,744,8612,,
243000296,?,0,167,761,23274,,
243000569,?,3,166,554,26582,59.69,57.23
243000585,?,1,187,1018,31504,24.34,26.74
243000593,?,4,147,767,27818,74.77,65.99
243000643,?,7,1560,4132,246346,34.38,41.28
243000650,?,3,146,535,22705,74.05,82.19
243000684,?,0,200,906,25049,,
243100518,?,16,3678,5979,684008,39.0,40.21
243100567,?,0,170,1556,19763,,
243100633,?,5,445,2124,71688,15.25,26.29
243100732,?,2,144,1521,21450,22.21,18.75
243100773,?,0,106,896,14513,,
243100781,?,1,196,866,38943,2.01,3.57
243100815,?,0,117,536,18708,,
243200391,?,0,192,2525,17496,,
243200409,?,0,114,1281,7396,,
243200417,?,0,142,1965,13239,,
243200425,?,0,106,1039,6920,,
243200458,?,0,161,2098,11930,,
243200508,?,0,107,1127,6224,,
243200599,?,0,112,1493,8602,,
243200607,?,0,94,1144,6044,,
243300316,?,15,3294,5896,696156,31.88,30.42
243300563,?,5,343,1273,69903,58.02,59.18
243300811,?,0,119,1214,14156,,
243301165,?,1,181,721,30584,14.84,15.47
243301181,?,2,144,1388,18698,20.54,29.86
243301215,?,0,108,882,16643,,
243301223,?,4,262,1563,34572,39.4,39.69
243301249,?,3,166,973,26956,41.31,48.19
243301264,?,3,256,1622,46256,26.7,28.91
243301355,?,0,116,769,20142,,
243301371,?,1,150,1302,13005,35.81,46.0
243301389,?,1,130,1180,21750,1.82,1.54
243301397,?,0,116,1047,15112,,
243301405,?,0,115,1160,22394,,
243301439,?,0,146,962,19208,,
243301447,?,3,154,1019,29104,37.77,34.42
243301454,?,1,174,1588,15756,20.05,21.26
243301504,?,2,393,2181,74596,13.8,21.63
243400017,?,4,2232,3780,420424,18.21,24.37
243400355,?,0,233,813,27570,,
243400470,?,2,316,850,48209,11.4,7.59
243400488,?,0,195,613,28288,,
243400520,?,2,345,929,49458,56.91,52.46
243400694,?,0,301,1205,41181,,
243400736,?,0,120,603,11516,,
243400769,?,1,799,1863,122912,22.95,27.28
243400819,?,2,575,1938,82762,15.51,11.83
243500139,?,13,1910,6714,407291,38.32,41.57
243500550,?,2,146,1451,25625,33.06,39.04
243500618,?,0,109,1411,18404,,
243500634,?,4,181,2091,25288,50.38,57.46
243500659,?,2,135,1096,25700,27.64,32.59
243500667,?,3,208,2121,36374,11.05,12.98
243500725,?,0,200,1149,31750,,
243500733,?,3,227,2669,33838,10.4,11.89
243500741,?,4,437,5663,63528,11.32,17.85
243500774,?,0,167,1457,26520,,
243500782,?,5,475,2229,84286,28.59,33.68
243600202,?,2,55,695,5588,43.21,47.27
243600236,?,3,157,708,17470,50.84,52.87
243600293,?,0,65,620,5791,,
243600301,?,0,117,973,12128,,
243600319,?,0,190,1761,15522,,
243600327,?,2,534,1833,66195,33.59,27.9
243600343,?,0,54,748,4182,,
243600350,?,0,174,2048,13522,,
243700499,?,1,134,1137,13394,26.93,36.57
243700754,?,10,1444,3612,247306,40.12,41.83
243700820,?,4,177,1322,20584,32.38,32.77
243800604,?,4,642,1963,95525,34.72,42.99
243800745,?,0,171,544,8960,,
243800778,?,2,369,1600,44519,28.28,30.62
243800844,?,0,145,1201,14521,,
243800935,?,0,170,428,25031,,
243800984,?,7,641,3060,88925,49.62,51.79
243801024,?,0,111,745,12432,,
243801073,?,2,181,822,21332,23.53,22.1
243801255,?,0,211,1080,22698,,
243900354,?,0,61,426,7118,,
243900412,?,0,74,340,6622,,
243900420,?,2,103,561,7814,14.37,22.33
243900479,?,2,71,404,8377,53.41,67.61
243900560,?,2,114,583,10686,20.18,22.81
243900610,?,2,58,439,5308,36.84,50.0
243900719,?,0,92,444,5492,,
243901071,?,0,72,445,5462,,
243901089,?,0,89,739,8350,,
244000543,?,0,88,848,11778,,
244000659,?,1,135,1155,28598,16.12,8.89
244000675,?,1,350,2109,54102,19.96,32.57
244000691,?,3,87,869,8312,48.34,52.87
244000766,?,0,142,2018,17361,,
244000774,?,0,59,903,5632,,
244000808,?,2,309,2164,47830,29.53,35.28
244000824,?,0,62,834,6886,,
244000857,?,0,118,1246,12804,,
244000865,?,5,452,3501,73144,21.21,20.58
244000873,?,1,187,1445,29695,5.78,8.02
244000881,?,0,75,1142,7046,,
244100293,?,0,65,879,5210,,
244100780,?,0,81,867,7430,,
244100798,?,0,148,1283,20240,,
244100806,?,4,107,759,10812,67.18,71.03
244200614,?,0,68,852,5633,,
244200622,?,0,140,1236,13912,,
244200630,?,2,127,1349,12778,17.04,15.75
244200770,?,14,2248,5957,355066,58.06,58.76
244200820,?,0,75,725,4592,,
244200895,?,0,129,1028,15858,,
244300307,?,0,97,806,7505,,
244301016,?,1,163,1531,17748,9.99,14.72
244301032,?,2,173,1083,16010,36.39,41.04
244301099,?,0,83,445,8316,,
244301107,?,0,91,1028,7632,,
244301123,?,1,93,587,4640,1.74,2.15
244301131,?,1,146,769,19348,21.42,21.92
244400404,?,16,2705,6137,585062,36.72,39.52
244400438,?,0,239,1672,40185,,
244400453,?,0,88,972,16192,,
244400503,?,2,310,3395,65605,15.2,21.94
244400537,?,1,109,1257,15526,8.05,9.17
244400552,?,5,484,4306,66066,20.48,29.34
244400586,?,0,177,1337,29678,,
244400610,?,5,475,3368,79157,27.95,37.89
244400644,?,6,569,2267,126170,24.02,39.19
244500203,?,1,377,1556,54070,20.49,24.14
244500211,?,1,163,1219,23240,24.82,27.61
244500419,?,2,129,1082,15595,29.92,31.01
244500427,?,0,292,2204,41524,,
244500468,?,4,1385,2946,247572,29.69,28.74
244500484,?,0,93,781,17264,,
244500542,?,1,56,411,6650,7.22,3.57
244600433,?,0,160,1952,11852,,
244600482,?,1,104,1580,9040,23.4,32.69
244600532,?,0,107,1395,7593,,
244600573,?,0,52,766,3033,,
244700449,?,0,62,1013,4458,,
244700464,?,0,109,1395,8100,,
244701355,?,0,113,1593,10234,,
244701405,?,0,90,1145,5715,,
244800405,?,3,137,434,14286,67.0,64.96
244800470,?,3,95,558,8406,43.03,45.26
244900015,?,7,1522,5198,264028,27.65,26.28
244900809,?,0,313,2760,32745,,
244900882,?,1,235,3375,30815,4.66,4.68
245100615,?,3,123,398,13496,34.73,30.89
245100888,?,0,62,538,6758,,
245100979,?,0,62,335,5738,,
245200597,?,0,112,497,6968,,
245300223,?,0,139,1506,12812,,
245300306,?,3,147,1255,15938,34.21,36.05
245300330,?,1,638,2585,91219,20.18,19.91
245300355,?,0,203,2184,19098,,
245300389,?,0,184,2521,16765,,
245300447,?,0,230,1989,28996,,
245400171,?,3,165,527,24934,38.67,40.0
245400189,?,3,168,506,27512,55.37,52.98
245400262,?,1,360,788,48957,15.5,25.56
245400510,?,0,129,439,10708,,
245400601,?,5,215,565,34596,49.94,57.21
245400676,?,5,1239,1323,182521,40.65,43.02
245400759,?,0,75,310,5694,,
245500327,?,0,87,316,7138,,
245501176,?,0,70,327,4578,,
245501184,?,1,79,325,6580,37.81,32.91
245501242,?,1,82,323,6838,34.86,40.24
245501259,?,1,79,340,6062,25.96,29.11
245600440,?,0,97,978,17984,,
245600465,?,0,48,523,5392,,
245614383,?,2,181,2167,23204,11.49,16.57
245614417,?,0,259,3577,22952,,
245614433,?,0,379,3640,41018,,
245700133,?,3,215,704,20666,23.38,23.72
245700372,?,2,469,1086,64128,22.31,22.81
245700398,?,3,209,505,25466,44.46,48.33
245700695,?,1,134,634,23208,27.39,20.15
245700950,?,1,170,696,15236,4.44,10.59
245701164,?,0,123,297,15462,,
245701206,?,1,388,1480,25973,1.94,2.06
245701222,?,2,319,616,55342,22.23,26.02
245701271,?,3,250,594,46878,52.19,54.4
245701354,?,2,200,766,32936,5.66,7.5
245701362,?,2,474,831,72104,31.13,28.69
245701404,?,0,133,349,20274,,
245801063,?,0,61,542,6460,,
245804406,?,8,393,1396,55354,67.79,66.92
245804497,?,2,57,671,4575,41.28,59.65
245900410,?,33,4658,7460,926663,47.68,50.99
245900428,?,5,881,1817,174191,29.73,39.16
245900758,?,0,214,1264,37121,,
245901038,?,0,98,392,13040,,
245901061,?,1,89,245,21858,35.44,38.2
245901152,?,2,355,1036,59710,22.2,21.13
245901160,?,3,949,2109,150708,20.06,26.55
246000129,?,2,111,330,18822,56.22,70.27
246000376,?,2,212,676,32546,45.9,53.77
246000566,?,6,253,892,27961,31.31,24.51
246000582,?,3,201,763,36446,50.61,46.27
246000707,?,4,163,776,18336,21.43,27.61
246000749,?,0,121,601,14162,,
246000756,?,2,228,978,28810,39.85,36.84
246000764,?,3,261,779,38511,32.25,29.12
246000772,?,4,159,498,19954,51.61,58.49
246000848,?,7,282,1768,28984,31.08,36.52
246000855,?,0,188,964,20188,,
246000871,?,5,404,1358,53540,45.36,42.33
246000897,?,4,136,477,16706,40.33,42.65
246000913,?,1,117,899,16966,15.31,10.26
246000921,?,2,195,620,30558,34.04,37.95
246100390,?,0,51,938,5024,,
246100663,?,1,408,2236,47493,28.78,29.9
246200299,?,4,547,1093,105186,35.48,36.93
246200364,?,14,1130,2348,193083,55.07,55.84
246200380,?,2,154,874,19809,17.73,14.94
246200729,?,6,564,1314,87748,58.01,59.4
246200844,?,3,132,1461,24424,29.33,37.12
246201016,?,0,157,1165,21886,,
246201149,?,4,465,1004,89252,58.98,55.05
246300701,?,10,1519,2455,244210,47.28,53.06
246300966,?,0,159,1038,8606,,
246301097,?,2,134,1157,18042,30.15,31.34
246400337,?,1,108,742,8506,2.36,0.0
246401756,?,3,247,1579,24966,23.18,35.63
246500482,?,0,147,1092,14091,,
246500573,?,0,141,423,5064,,
246600282,?,0,150,410,23850,,
246600373,?,0,168,714,19927,,
246600399,?,10,127,407,7496,68.11,72.44
246600415,?,2,146,563,17562,52.84,49.32
246600423,?,0,97,272,5496,,
246600449,?,0,164,703,21258,,
246600464,?,5,104,378,5344,43.79,36.54
246600548,?,0,110,575,8344,,
246700306,?,11,171,738,15478,75.95,82.46
246700488,?,13,2244,2424,412664,41.68,49.06
246700744,?,3,87,369,16602,23.43,28.74
246700777,?,0,95,419,8678,,
246700843,?,3,107,296,16423,57.81,56.07
246700926,?,2,112,418,14868,51.1,53.57
246700959,?,3,129,433,15901,38.67,39.53
246700967,?,3,251,590,35392,56.52,53.78
246701064,?,7,275,672,36394,61.34,62.18
246701080,?,1,137,281,18825,57.87,69.34
