codgeo,libgeo,revenu_median,taux_pauvrete,rapport_interdecile,decile1,decile9,part_imposes,nb_menages,nb_personnes,nb_uc,part_rev_activite,part_salaires,part_chomage,part_non_salaries,part_retraites,part_patrimoine,part_presta_sociales,part_presta_familiales,part_presta_logement,part_minima_sociaux,part_impots
244000865,,24000,10.6,3,13590,41350,55.5,35311,75220,53181.4,65.6,53.9,4,7.7,33.7,14.1,3.4,1.2,0.6,1.6,-16.8
244000873,,23840,9,2.7,14210,38650,55.9,14119,29762,21161.8,60.3,51.7,3.1,5.5,42.1,9.3,3.5,1.4,0.6,1.5,-15.2
244000881,,22100,11.3,2.7,13360,35770,44.5,3292,7431,5162.6,63.1,53,3,7.1,36.8,8.6,4.4,1.6,0.7,2.1,-12.9
244100293,,21080,15.2,2.8,12420,34370,44.1,2879,5838,4218.1,59.5,46.1,2.9,10.5,40.4,8,5.3,1.7,0.9,2.7,-13.2
244100780,,22340,10.5,2.7,13560,36980,48.4,3939,8317,5911.5,65,57.1,2.4,5.5,37.3,8.2,3.8,1.6,0.6,1.6,-14.3
244100798,,24460,7.2,2.6,14950,38810,60.5,8947,20505,14089.1,71.9,65.1,2.3,4.5,33.1,7,3.4,1.6,0.5,1.3,-15.4
244100806,,22020,12.3,2.7,13030,35310,48.9,5070,10186,7385.1,58.4,51.6,2.6,4.2,43.3,7.3,4.7,1.6,0.9,2.2,-13.7
244200614,,21660,13.7,2.8,12510,35140,41.1,2634,5829,4052.8,66.8,57.5,2.6,6.7,32.7,9.4,4.9,2,0.8,2.1,-13.8
244200622,,23630,9.9,2.7,13910,37600,52.4,6497,14898,10221.7,72.3,63.1,2.6,6.6,30.1,8.6,3.8,1.8,0.6,1.4,-14.8
244200630,,22140,10.2,2.5,13800,33850,45.4,5657,13632,9138.2,73.8,66.3,2.5,5,26.9,7.5,5,2.6,0.7,1.7,-13.2
244200770,,21150,20,3.3,10940,36120,45.8,173530,382087,264595.4,68.9,61.4,3.1,4.4,30.3,7.5,7.7,2.6,1.7,3.4,-14.4
244200820,,20410,14.7,2.8,12210,33590,40.5,2266,4816,3409.1,63.7,54.4,2.6,6.7,34.9,8.6,5,1.9,0.7,2.4,-12.2
244200895,,24750,7.4,2.6,14910,39420,57.3,7324,17209,11712.8,75.9,68,2.7,5.2,27,9.1,3.5,1.7,0.6,1.2,-15.5
244300307,,21730,10.8,2.6,13580,34960,43.2,3514,7919,5480.2,68.4,60.1,2.5,5.8,30.8,9.1,4.6,2.2,0.7,1.7,-12.9
244301016,,22500,10.4,2.5,13740,34680,44.9,8156,18110,12584.3,69.1,60.7,2.5,5.9,29.5,9.4,5.1,2.1,0.9,2.1,-13.1
244301099,,21020,13.9,2.5,12570,32010,42.5,4546,9339,6675.6,62.2,55.5,3.1,3.6,36.6,7,6.2,2.1,1.1,3,-12
244301107,,21200,15.1,2.9,12370,35700,42.7,3833,7908,5683.3,58.3,47.8,2.7,7.8,40.6,10.2,4.7,1.7,0.8,2.2,-13.8
244301123,,19630,18.3,2.8,11310,31990,37.7,2355,4742,3432.5,57.7,45,2.4,10.3,38.1,9.8,6.1,2.1,0.8,3.2,-11.7
244301131,,23440,7.7,2.5,14810,36310,51.1,8529,20178,13686.9,73.9,66.1,2.8,5,27.9,7.8,4.3,2.1,0.7,1.5,-13.9
244400404,,24950,12.8,3.4,12720,43060,58.8,293381,625139,438093.2,80.3,72.2,3.2,4.9,23.6,8.7,5.1,1.7,1.1,2.3,-17.7
244400438,,24370,5.7,2.3,15970,37110,57.1,16311,41628,27365.8,82.9,76.1,2.7,4.1,21,7.1,3.8,2.1,0.5,1.2,-14.8
244400453,,22830,8.9,2.4,14300,33730,47.3,6810,16656,11093.5,78.2,71.5,2.7,4,23.4,5.6,5.7,2.7,0.8,2.2,-12.9
244400503,,25700,5.4,2.5,16200,40390,60.6,25709,68359,44225.1,84.5,77.8,2.6,4.1,20,8.2,3.6,2,0.5,1.1,-16.3
244400537,,21910,10.2,2.4,13770,32700,43.7,6362,15846,10456.3,79.3,71.4,2.7,5.2,21,6.3,5.9,3.1,0.8,2,-12.5
244400552,,22880,8.7,2.4,14370,34540,49.5,27722,68146,45376,76.9,70.1,2.6,4.2,24.7,7.1,5,2.5,0.7,1.8,-13.7
244400586,,23630,7.9,2.5,14650,36650,55,13850,31009,21485.4,68.5,61.9,2.7,3.9,33.4,8.8,3.9,1.8,0.6,1.5,-14.6
244400610,,25180,8.5,3.1,14480,44480,58.8,40553,83135,59879.4,57.1,48.4,2.5,6.2,43.2,14.6,3,1.1,0.5,1.4,-17.9
244400644,,22710,13.2,2.9,12740,36680,52.6,61823,130509,92017.4,68.2,61.7,3.1,3.4,33.4,7.2,5.9,2,1.2,2.7,-14.7
244500203,,20590,21.5,3.3,10600,34560,47,28026,62088,42903.8,65.1,57.9,3.3,3.9,33.6,7.6,7.9,2.7,1.6,3.6,-14.2
