CODGEO,nb_panier_elargi,nb_A1,nb_A2,nb_A4,nb_A5,nb_B1,nb_B2,nb_B3,nb_C2,nb_C6,nb_D1,nb_D3,nb_D4,nb_D5,nb_D6,nb_E1,nb_F1,nb_F3
2B346,118,3,2,51,31,1,14,6,0,0,0,1,0,3,0,0,5,1
2B347,15,1,1,8,1,0,3,0,0,0,0,0,0,0,0,0,1,0
2B350,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2B352,11,1,1,5,2,0,1,0,0,0,0,0,0,0,0,0,1,0
2B353,74,1,1,30,25,1,5,4,0,0,0,3,0,3,0,0,1,0
2B354,25,1,1,4,9,0,0,1,0,0,0,0,1,0,2,4,2,0
2B355,20,1,0,8,4,0,4,0,0,0,0,0,0,1,0,1,1,0
2B356,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2B361,11,1,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0
2B364,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2B365,4,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2B366,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30001,26,1,0,10,7,0,0,0,0,0,0,0,0,2,0,0,4,2
30002,15,1,0,8,3,0,1,0,0,0,0,0,0,0,0,0,1,1
30003,398,3,5,79,147,4,33,94,1,0,0,4,3,7,3,1,12,2
30004,94,1,1,35,24,2,6,12,0,0,0,1,1,2,0,0,7,2
30005,17,1,0,4,7,0,2,2,0,0,0,0,0,0,0,0,1,0
30006,170,3,2,74,46,1,10,14,0,0,0,1,1,7,1,1,8,1
30007,1456,4,23,390,365,21,117,344,8,0,6,21,13,22,27,1,85,9
30008,34,1,0,8,12,0,2,1,0,0,0,0,0,1,0,0,8,1
30009,13,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,4,1
30010,172,3,4,39,47,5,17,28,2,0,0,2,5,7,3,0,9,1
30011,360,2,9,117,97,6,22,79,0,0,1,5,2,3,3,0,14,0
30012,113,2,2,39,28,2,8,9,1,0,0,1,1,6,0,0,13,1
30013,13,1,0,6,3,0,1,0,0,0,0,0,0,1,0,0,0,1
30014,40,1,0,23,4,0,2,2,0,0,1,1,0,0,0,0,5,1
30015,5,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
30016,15,1,1,6,0,0,1,0,0,0,0,1,0,0,0,0,4,1
30017,14,1,0,7,2,0,0,0,0,0,0,0,0,0,0,0,3,1
30018,21,1,0,14,2,0,1,0,0,0,0,0,0,1,0,0,2,0
30019,89,2,1,50,17,0,3,4,0,0,0,1,1,2,0,0,7,1
30020,54,1,1,20,12,0,4,3,0,0,0,1,0,3,0,0,8,1
30021,8,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0
30022,8,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,1
30023,33,1,0,17,5,1,2,3,0,0,0,0,0,1,0,0,2,1
30024,17,1,1,6,3,0,1,0,0,0,0,0,0,0,0,0,5,0
30025,7,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0
30026,32,1,1,15,3,1,1,5,0,0,0,0,0,0,1,0,3,1
30027,80,1,1,45,9,0,4,6,0,0,0,1,1,2,0,0,7,3
30028,576,4,12,130,142,10,59,113,4,0,3,12,7,13,18,1,44,4
30029,104,3,3,18,37,1,8,18,0,0,0,1,1,4,0,0,8,2
30030,10,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,2,0
30031,8,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,1
30032,483,3,9,179,123,5,43,60,3,0,1,6,6,7,6,1,27,4
30033,131,2,1,60,42,1,6,5,0,0,0,1,1,4,0,1,6,1
30034,200,3,4,74,59,1,18,17,1,0,0,3,0,6,2,0,11,1
30035,6,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1
30036,101,1,1,46,25,1,7,8,0,0,0,1,1,2,1,0,6,1
30037,101,2,2,29,19,2,14,13,1,0,2,2,4,1,1,0,8,1
30038,18,1,1,10,1,0,2,0,0,0,0,0,0,0,0,0,2,1
30039,75,1,1,37,13,0,6,1,0,0,1,1,0,4,0,0,9,1
30040,7,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,2,0
30041,23,1,1,10,2,0,1,1,0,0,0,0,0,1,0,0,5,1
30042,90,1,1,52,18,0,3,4,0,0,0,1,1,1,2,0,5,1
30043,22,1,0,14,2,0,0,1,0,0,0,0,0,1,0,0,2,1
30044,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30045,8,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
30046,27,1,1,14,4,1,1,0,0,0,0,0,0,0,0,2,3,0
30047,167,2,3,85,30,2,11,12,1,0,2,2,1,4,0,0,12,0
30048,7,1,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0
30049,15,1,1,7,2,0,2,0,0,0,0,0,0,0,0,0,2,0
30050,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30051,20,1,1,8,5,0,1,1,0,0,0,0,0,0,0,0,2,1
30052,22,1,0,12,3,0,1,0,0,0,0,0,0,0,0,0,5,0
30053,35,1,0,17,2,0,1,2,1,0,0,1,0,0,0,0,9,1
30054,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30055,25,1,1,11,6,0,1,1,0,0,0,0,0,0,0,0,3,1
30056,7,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0
30057,41,2,1,16,4,0,2,5,0,0,0,0,1,1,0,0,9,0
30058,7,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
30059,66,2,1,25,20,0,4,1,0,0,0,1,0,2,0,1,8,1
30060,184,2,4,76,29,2,14,37,0,0,0,2,0,6,1,0,11,0
30061,100,1,3,32,25,1,12,10,0,0,0,2,2,4,1,0,6,1
30062,193,3,3,75,49,1,13,21,2,0,1,1,3,9,2,0,8,2
30064,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30065,13,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,2,1
30066,16,1,0,9,2,0,0,0,0,0,0,0,0,2,0,0,1,1
30067,14,1,0,9,1,0,1,0,0,0,0,0,0,0,0,0,2,0
30068,34,1,1,20,3,0,3,2,0,0,0,0,0,0,0,0,3,1
30069,14,1,0,7,3,0,0,1,0,0,0,0,0,1,0,0,0,1
30070,18,1,0,7,4,0,1,1,0,0,0,0,0,1,0,0,2,1
30071,8,1,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,1
30072,10,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0
30073,69,1,1,29,15,1,6,7,0,0,0,0,1,2,0,0,5,1
30074,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30075,128,2,4,50,30,3,9,22,0,0,0,1,0,2,1,0,3,1
30076,30,1,1,15,5,0,3,0,0,0,0,1,0,0,0,0,3,1
30077,44,1,1,19,6,0,2,2,0,0,0,1,1,3,0,0,7,1
30079,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
30080,29,1,1,5,8,0,3,1,0,0,1,0,0,1,1,1,5,1
30081,37,2,1,9,10,0,1,0,0,0,0,1,1,1,0,0,10,1
30082,95,1,1,43,24,1,4,3,1,0,1,1,0,4,0,0,10,1
30083,73,1,1,33,17,0,4,3,1,0,0,1,0,3,0,0,8,1
30084,23,1,1,6,6,0,0,3,0,0,0,0,0,2,0,0,4,0
30085,48,1,1,21,11,0,3,2,0,0,0,0,0,3,0,0,5,1
30086,14,1,0,9,2,0,0,0,0,0,0,0,0,0,0,0,1,1
30087,6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1
30088,19,1,0,8,1,0,0,1,0,0,0,0,0,2,0,0,5,1
30089,46,2,1,18,10,0,6,1,0,0,0,0,0,2,0,0,5,1
30090,12,1,1,5,0,0,1,0,0,0,0,0,1,0,2,0,1,0
30091,34,1,0,16,5,0,5,2,0,0,0,0,0,1,0,0,3,1
30092,55,2,1,15,15,0,7,3,0,0,1,1,0,1,0,0,8,1
30093,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30094,8,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1
30095,15,1,1,4,4,0,1,1,0,0,0,0,1,1,0,0,0,1
30096,33,2,0,13,10,0,4,1,0,0,0,0,1,0,0,0,2,0
30097,11,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,2,1
30098,12,1,0,3,4,0,1,0,0,0,0,0,0,1,0,0,2,0
30099,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30100,24,1,1,13,2,0,1,0,0,0,0,0,0,1,0,0,4,1
30101,19,1,0,8,2,0,1,2,0,0,0,0,0,0,0,0,4,1
