CODGEO,diversite_equip,dens_services,dens_commerces,dens_enseignement,dens_sante,dens_transports,dens_sport_culture,sup_services,sup_commerces,sup_enseignement,sup_sante,sup_transports,sup_sport_culture
07343,3,22.91,5.01,0.0,1.43,0.0,3.58,1,1,0,1,0,0
07344,0,13.92,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
07345,1,12.79,3.2,0.0,0.0,0.0,3.2,0,1,0,0,0,0
07346,2,17.42,3.81,0.0,3.81,0.0,2.18,0,1,0,1,0,0
07347,1,8.08,3.23,0.0,0.0,0.0,3.23,0,1,0,0,0,0
07348,3,38.75,12.29,0.0,8.51,0.0,1.89,1,1,0,1,0,0
07349,3,17.12,6.68,0.21,3.76,0.0,2.09,0,1,1,1,0,0
15001,5,18.89,8.82,1.26,5.04,0.0,11.34,1,1,1,1,0,1
15002,0,4.42,0.0,0.0,0.0,0.0,4.42,0,0,0,0,0,0
15003,3,15.05,3.34,0.0,3.34,0.0,5.02,0,1,0,1,0,1
15004,2,19.03,42.28,0.0,0.0,0.0,2.11,1,1,0,0,0,0
15005,2,23.32,0.0,0.0,0.0,0.0,5.18,1,0,0,0,0,1
15006,3,15.41,4.2,0.0,4.2,0.0,5.6,0,1,0,1,0,1
15007,2,24.59,0.0,0.0,0.0,0.0,8.2,1,0,0,0,0,1
15008,3,24.73,7.07,0.0,0.0,0.0,7.07,1,1,0,0,0,1
15009,2,10.93,5.46,0.0,0.0,0.0,5.46,0,1,0,0,0,1
15010,2,20.2,0.0,0.0,0.0,0.0,5.05,1,0,0,0,0,1
15011,2,16.39,5.46,0.0,0.0,0.0,27.32,0,1,0,0,0,1
15012,0,12.03,2.06,0.0,1.11,0.0,2.06,0,0,0,0,0,0
15013,1,13.89,0.0,0.0,0.0,0.0,6.94,0,0,0,0,0,1
15014,3,16.19,14.8,0.19,3.56,0.04,2.91,0,1,1,1,0,0
15015,1,12.27,0.0,0.0,0.0,0.0,12.27,0,0,0,0,0,1
15016,1,14.52,1.61,0.0,0.0,0.0,8.06,0,0,0,0,0,1
15017,1,7.41,0.0,0.0,0.0,0.0,14.81,0,0,0,0,0,1
15018,1,14.71,0.0,0.0,0.0,0.0,7.35,0,0,0,0,0,1
15019,2,4.52,9.05,0.0,0.0,0.0,13.57,0,1,0,0,0,1
15020,1,11.36,0.0,0.0,0.0,0.0,68.18,0,0,0,0,0,1
15021,4,10.69,4.58,0.0,1.53,1.53,6.11,0,1,0,1,1,1
15022,0,12.42,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
15024,0,13.16,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
15025,1,12.66,4.22,0.0,0.0,0.0,4.22,0,1,0,0,0,0
15026,1,11.05,0.0,0.0,0.0,0.0,5.52,0,0,0,0,0,1
15027,3,10.93,4.1,0.0,2.73,0.0,10.93,0,1,0,1,0,1
15028,1,18.47,2.64,0.0,2.64,0.0,2.64,0,0,0,1,0,0
15029,2,11.95,3.98,0.0,0.0,0.0,9.96,0,1,0,0,0,1
15030,1,13.51,3.38,0.0,0.0,0.0,0.0,0,1,0,0,0,0
15032,1,35.09,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
15033,1,9.3,0.0,0.0,0.0,0.0,4.65,0,0,0,0,0,1
15034,1,14.29,0.0,0.0,0.0,0.0,7.14,0,0,0,0,0,1
15036,1,10.78,2.16,0.0,0.0,0.0,6.47,0,0,0,0,0,1
15037,1,11.7,2.92,0.0,0.97,0.0,5.85,0,0,0,0,0,1
15038,2,14.68,5.87,0.0,0.98,0.0,8.81,0,1,0,0,0,1
15040,0,10.1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
15041,1,19.31,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
15042,3,24.59,8.2,0.0,0.0,0.0,16.39,1,1,0,0,0,1
15043,1,25.97,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
15045,5,35.58,17.18,1.23,7.36,0.0,11.04,1,1,1,1,0,1
15046,1,9.05,0.0,0.0,0.0,0.0,9.05,0,0,0,0,0,1
15048,1,32.26,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
15049,3,35.87,13.45,0.0,0.0,0.0,13.45,1,1,0,0,0,1
15050,3,36.81,6.13,0.0,0.0,0.0,30.67,1,1,0,0,0,1
15051,3,19.9,4.98,0.0,0.0,0.0,4.98,1,1,0,0,0,1
15052,1,37.74,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
15053,2,18.56,0.0,0.0,0.0,0.0,13.92,1,0,0,0,0,1
15054,5,32.02,10.33,1.03,4.13,0.0,7.23,1,1,1,1,0,1
15055,1,15.77,2.25,0.0,0.0,0.0,6.76,0,0,0,0,0,1
15056,2,5.81,1.16,0.0,3.48,0.0,5.81,0,0,0,1,0,1
15057,1,5.38,0.0,0.0,0.0,0.0,16.13,0,0,0,0,0,1
15058,3,27.4,6.85,0.0,0.0,0.0,6.85,1,1,0,0,0,1
15059,1,16.53,0.0,0.0,0.0,0.0,8.26,0,0,0,0,0,1
15060,1,19.23,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
15061,2,12.05,8.03,0.0,0.0,0.0,8.03,0,1,0,0,0,1
15063,1,15.58,0.0,0.0,0.0,0.0,21.81,0,0,0,0,0,1
15064,2,24.1,0.0,0.0,0.0,0.0,12.05,1,0,0,0,0,1
15065,2,25.64,12.82,0.0,0.0,0.0,0.0,1,1,0,0,0,0
15066,3,25.42,8.47,0.0,0.0,0.0,8.47,1,1,0,0,0,1
15067,2,68.97,34.48,0.0,0.0,0.0,0.0,1,1,0,0,0,0
15069,1,16.6,8.3,0.0,0.0,0.0,0.0,0,1,0,0,0,0
15070,2,19.7,0.0,0.0,0.0,0.0,14.78,1,0,0,0,0,1
15072,1,9.17,0.0,0.0,0.0,0.0,18.35,0,0,0,0,0,1
15073,2,42.11,0.0,0.0,0.0,0.0,10.53,1,0,0,0,0,1
15074,1,12.1,0.0,0.0,0.0,0.0,8.06,0,0,0,0,0,1
15075,1,27.4,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
15076,2,23.39,0.0,0.0,0.0,0.0,5.85,1,0,0,0,0,1
15077,1,46.15,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
15078,0,6.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
15079,1,19.23,0.0,0.0,0.0,0.0,2.75,1,0,0,0,0,0
15080,0,13.42,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
15081,0,9.9,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
15082,2,27.49,0.0,0.0,0.0,0.0,6.87,1,0,0,0,0,1
15083,1,12.83,2.96,0.0,1.97,0.0,3.46,0,0,0,1,0,0
15084,1,20.55,0.0,0.0,0.0,0.0,3.42,1,0,0,0,0,0
15085,3,20.7,2.07,0.0,4.14,0.0,12.42,1,0,0,1,0,1
15086,2,34.48,17.24,0.0,0.0,0.0,0.0,1,1,0,0,0,0
15087,2,23.87,0.0,0.0,0.0,0.0,5.31,1,0,0,0,0,1
15088,2,7.8,0.0,0.0,0.0,1.95,7.8,0,0,0,0,1,1
15089,2,27.27,0.0,0.0,0.0,0.0,11.36,1,0,0,0,0,1
15090,4,22.03,8.47,0.0,8.47,0.0,6.78,1,1,0,1,0,1
15091,0,11.36,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
15092,2,15.35,5.12,0.0,2.92,0.0,4.39,0,1,0,1,0,0
15093,1,20.2,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
15094,6,18.8,8.77,1.25,7.52,1.25,5.01,1,1,1,1,1,1
15095,3,14.33,8.6,0.0,2.87,0.0,8.6,0,1,0,1,0,1
15096,3,22.06,0.0,0.0,3.68,0.0,7.35,1,0,0,1,0,1
15097,1,27.52,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
15098,2,22.99,0.0,0.0,0.0,0.0,11.49,1,0,0,0,0,1
15100,2,15.15,7.58,0.0,0.0,0.0,7.58,0,1,0,0,0,1
15101,4,38.76,21.32,0.0,1.94,1.94,1.94,1,1,0,1,1,0
15102,2,36.04,18.02,0.0,0.0,0.0,0.0,1,1,0,0,0,0
15103,1,20.66,0.0,0.0,0.0,0.0,4.13,1,0,0,0,0,0
15104,1,18.02,0.0,0.0,0.0,0.0,6.01,0,0,0,0,0,1
15105,1,28.57,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
15106,1,18.07,0.0,0.0,0.0,0.0,12.05,0,0,0,0,0,1
15107,1,11.9,5.95,0.0,0.0,0.0,0.0,0,1,0,0,0,0
15108,2,22.68,1.03,0.0,0.0,0.0,10.31,1,0,0,0,0,1
15110,1,16.53,0.0,0.0,0.0,0.0,16.53,0,0,0,0,0,1
15111,2,24.27,0.0,0.0,0.0,0.0,9.71,1,0,0,0,0,1
15112,1,22.73,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
15113,3,28.25,11.3,0.0,0.0,0.0,11.3,1,1,0,0,0,1
15114,2,7.83,7.83,0.0,3.91,0.0,3.91,0,1,0,1,0,0
15116,1,28.78,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
15117,4,20.34,5.08,0.0,1.69,0.0,8.47,1,1,0,1,0,1
15118,2,5.67,1.42,0.0,2.84,0.0,7.09,0,0,0,1,0,1
15119,5,18.85,9.98,0.55,4.99,0.55,4.43,1,1,1,1,1,0
15120,5,19.89,16.77,0.57,6.25,0.0,4.83,1,1,1,1,0,1
15121,1,9.26,0.0,0.0,0.0,0.0,9.26,0,0,0,0,0,1
15122,6,23.22,10.9,0.47,4.27,0.47,4.74,1,1,1,1,1,1
15123,1,12.74,0.0,0.0,0.0,0.0,6.37,0,0,0,0,0,1
15124,2,17.01,3.78,0.0,0.0,0.0,5.67,0,1,0,0,0,1
15125,1,7.87,0.0,0.0,0.0,0.0,7.87,0,0,0,0,0,1
15126,1,12.66,0.0,0.0,0.0,0.0,25.32,0,0,0,0,0,1
15127,2,18.18,3.64,0.0,0.0,0.0,7.27,0,1,0,0,0,1
15128,0,15.75,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
15129,2,42.42,0.0,0.0,0.0,0.0,12.12,1,0,0,0,0,1
15130,1,13.7,0.0,0.0,0.0,0.0,6.85,0,0,0,0,0,1
15131,0,18.12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
15132,2,27.78,27.78,0.0,0.0,0.0,0.0,1,1,0,0,0,0
15133,1,29.85,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
15134,5,26.76,10.95,1.22,3.65,0.0,12.17,1,1,1,1,0,1
15135,0,8.93,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
15137,2,15.62,3.91,0.0,0.0,0.0,11.72,0,1,0,0,0,1
15138,6,24.55,19.53,0.56,4.46,0.56,5.02,1,1,1,1,1,1
15139,0,14.71,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
