codgeo,libgeo,code_epci,n_ecoles_c108,n_equipements,n_carreaux,pop_insee,pct_habitat_zone_ecole_15,pct_equipements_zone_ecole_15
28418,Villiers-Saint-Orien,242852465,0,2,17,162,0.0,0.0
28419,Vitray-en-Beauce,200033181,0,2,20,332,0.0,0.0
28421,Voise,200033181,0,3,11,256,0.0,0.0
28422,Les Villages Vovéens,200070159,3,34,133,3824,74.21,88.24
28423,Yermenonville,200069953,1,5,22,482,87.56,100.0
28424,Yèvres,200069961,1,9,158,1412,61.57,100.0
28425,Ymeray,200069953,1,6,29,646,99.69,100.0
28426,Ymonville,200070159,1,8,24,526,94.48,100.0
29001,Argol,200066868,1,7,114,946,70.1,100.0
29002,Arzano,242900694,1,9,173,1314,60.14,100.0
29003,Audierne,242900629,4,34,231,3582,86.84,97.06
29004,Bannalec,242900694,5,30,599,5690,57.36,83.33
29005,Baye,242900694,1,8,74,1300,92.38,87.5
29006,Bénodet,242900660,2,24,154,3161,73.68,91.67
29007,Berrien,200067197,1,7,147,890,38.56,85.71
29008,Beuzec-Cap-Sizun,242900629,1,8,200,986,42.63,75.0
29010,Bodilis,242900751,1,9,137,1272,66.02,66.67
29011,Bohars,242900314,3,19,85,2960,98.68,100.0
29012,Bolazec,200067197,0,3,43,154,0.0,0.0
29013,Botmeur,200067197,0,2,29,210,0.0,0.0
29014,Botsorhel,242900835,1,3,83,391,60.36,100.0
29015,Bourg-Blanc,242900553,3,23,195,3254,86.51,95.65
29016,Brasparts,200067197,1,11,166,984,63.6,100.0
29017,Brélès,242900074,1,7,83,878,85.03,100.0
29018,Brennilis,200067197,1,10,57,415,84.34,100.0
29019,Brest,242900314,85,602,783,118840,99.78,100.0
29020,Briec,200068120,4,35,419,4933,72.55,85.71
29021,Plounéour-Brignogan-plages,242900793,2,16,210,2066,83.31,93.75
29022,Camaret-sur-Mer,200066868,1,15,125,2408,84.93,93.33
29023,Carantec,242900835,2,20,156,3294,90.77,100.0
29024,Carhaix-Plouguer,242900744,7,70,246,6707,92.4,100.0
29025,Cast,200067247,2,11,202,1559,65.04,100.0
29026,Châteaulin,200067247,6,58,145,4650,98.41,100.0
29027,Châteauneuf-du-Faou,242900561,3,33,295,3364,80.14,100.0
29028,Cléden-Cap-Sizun,242900629,0,8,153,812,5.17,0.0
29029,Cléden-Poher,242900744,2,8,158,1108,74.81,75.0
29030,Cléder,200067072,3,22,380,3694,63.45,95.45
29031,Clohars-Carnoët,242900694,5,23,372,4929,69.87,95.65
29032,Clohars-Fouesnant,242900660,2,9,125,1956,54.1,66.67
29033,Le Cloître-Pleyben,200067247,1,8,79,487,66.32,100.0
29034,Le Cloître-Saint-Thégonnec,242900835,1,11,64,558,57.04,90.91
29035,Coat-Méal,242900553,1,6,58,1086,85.46,100.0
29036,Collorec,242900561,1,5,116,559,63.24,100.0
29037,Combrit,242900702,3,23,268,4369,73.2,86.96
29038,Commana,242900751,2,8,125,876,63.64,100.0
29039,Concarneau,242900769,14,133,533,19784,93.57,96.99
29040,Le Conquet,242900074,2,15,107,2649,85.01,100.0
29041,Coray,242900561,1,20,202,1755,76.89,100.0
29042,Crozon,200066868,7,58,570,7643,78.46,96.55
29043,Daoulas,242900801,4,18,66,1794,97.77,100.0
29044,Dinéault,200067247,2,9,187,1304,65.44,100.0
29045,Dirinon,242900801,3,14,220,1954,72.65,71.43
29046,Douarnenez,242900645,9,92,315,13718,95.23,95.65
29047,Le Drennec,242900553,2,10,74,1682,94.32,100.0
29048,Edern,200068120,2,14,221,1917,65.08,92.86
29049,Elliant,242900769,3,17,353,3050,52.5,76.47
29051,Ergué-Gabéric,200068120,9,56,378,8090,87.55,94.64
29053,Le Faou,200066868,2,22,76,1550,96.55,100.0
29054,La Feuillée,200067197,1,5,78,642,57.59,100.0
29055,Le Folgoët,242900793,2,17,103,2736,88.23,100.0
29056,La Forest-Landerneau,242900801,2,7,99,1999,97.85,85.71
29057,La Forêt-Fouesnant,242900660,2,16,238,3414,65.59,81.25
29058,Fouesnant,242900660,5,59,493,10341,59.08,84.75
29059,Garlan,242900835,1,7,96,888,76.23,85.71
29060,Gouesnach,242900660,2,7,196,2742,72.78,100.0
29061,Gouesnou,242900314,4,40,141,5680,98.2,82.5
29062,Gouézec,200067247,1,6,158,1076,51.35,100.0
29063,Goulien,242900629,0,4,75,410,0.0,0.0
29064,Goulven,242900793,1,2,60,344,95.21,100.0
29065,Gourlizon,242900710,1,6,75,865,84.74,83.33
29066,Guengat,200068120,1,6,169,1620,60.71,100.0
29067,Guerlesquin,242900835,2,15,131,1162,81.83,100.0
29068,Guiclan,242900751,2,13,261,2266,56.33,76.92
29069,Guilers,242900314,5,40,185,7893,97.24,97.5
29070,Guiler-sur-Goyen,242900710,1,3,56,436,83.62,100.0
29071,Guilligomarc'h,242900694,1,6,93,750,56.4,100.0
29072,Guilvinec,242900702,2,26,48,2528,100.0,100.0
29073,Guimaëc,242900835,1,8,126,790,47.22,100.0
29074,Guimiliau,242900751,1,7,74,934,87.41,85.71
29075,Guipavas,242900314,10,89,397,14159,97.09,98.88
