code_epci,score_socle,taux_couverture_socle
200041887,18.65,19.13
200072320,23.94,24.55
244500542,24.0,24.61
240700716,35.8,36.71
240300566,36.63,37.56
200071033,26.0,26.67
200070126,24.93,25.57
241501139,31.66,32.47
200068625,34.76,35.65
200066165,24.98,25.62
200040418,33.66,34.52
241000223,27.69,28.4
200030658,32.66,33.5
200066116,26.96,27.65
245400510,21.18,21.72
200007177,31.13,31.92
243900719,24.99,25.63
241200674,29.45,30.2
243200508,30.87,31.65
247000714,26.43,27.1
200034601,36.25,37.18
248100745,37.67,38.63
200066645,34.54,35.42
200069227,31.57,32.38
200067197,29.72,30.48
200027076,36.21,37.14
200071652,16.46,16.88
246600399,38.67,39.66
200071173,21.11,21.65
200035772,19.81,20.31
200067692,22.4,22.98
200007052,38.17,39.15
200041556,28.24,28.96
240800862,20.58,21.11
242504371,29.04,29.78
200040814,34.71,35.6
243900560,19.75,20.25
240300558,33.11,33.95
244100293,30.16,30.93
200066769,30.57,31.36
243900420,23.51,24.11
248100497,23.68,24.28
200066363,28.12,28.84
244100780,33.75,34.61
200039824,34.91,35.8
200067908,22.42,22.99
240200634,29.57,30.33
247600604,20.55,21.07
200034031,29.79,30.55
200067049,31.72,32.53
247300361,28.31,29.03
200069102,32.45,33.28
200070803,19.02,19.51
244700449,24.37,24.99
200035327,29.58,30.33
200041440,26.2,26.86
242401024,25.17,25.81
200041622,24.22,24.83
200067593,22.76,23.34
200071645,31.26,32.06
200039709,18.46,18.93
200027308,19.89,20.4
200071215,31.88,32.7
200012060,28.18,28.9
200069169,31.86,32.68
244200820,29.68,30.43
200071041,23.61,24.21
200040772,22.75,23.33
248900664,25.1,25.74
200069128,27.32,28.02
245400759,16.61,17.03
200068773,24.0,24.61
200035137,29.06,29.8
200067163,31.7,32.51
241200765,36.6,37.54
247000698,23.15,23.74
247103864,19.5,20.0
200070795,21.03,21.57
243600343,32.4,33.22
200073138,18.91,19.39
200032514,17.79,18.25
200070829,17.63,18.08
200042463,23.49,24.09
200036572,23.06,23.65
241200914,24.21,24.83
244600573,21.26,21.8
244301123,26.07,26.73
200041861,14.63,15.0
200069664,19.24,19.73
240200592,21.61,22.16
246500573,28.01,28.73
200035756,12.93,13.26
200066173,16.39,16.81
240200519,12.54,12.86
200034064,20.68,21.21
200041853,16.11,16.52
200072007,23.36,23.96
200035103,16.69,17.12
200066140,11.48,11.77
200069136,31.37,32.17
245501176,15.73,16.13
200042992,12.97,13.3
