CODGEO,gare_nat,gare_reg,gare_loc,points_gare
95488,0,1,0,7
95500,0,1,0,7
95504,0,1,0,7
95527,1,0,0,10
95539,0,1,0,7
95555,0,1,0,7
95563,0,1,0,7
95572,0,4,1,7
95582,0,1,0,7
95584,0,0,1,4
95594,0,0,1,4
95598,0,1,0,7
95607,0,2,0,7
95625,0,1,0,7
95652,0,1,0,7
95660,0,0,1,4
18018,0,0,1,4
18027,0,0,1,4
18033,1,0,0,10
18058,0,0,1,4
18096,0,0,1,4
18108,0,0,1,4
18133,0,0,1,4
18138,0,0,1,4
18141,0,0,1,4
18160,0,0,1,4
18172,0,0,1,4
18178,0,0,1,4
18207,0,0,1,4
18213,0,0,1,4
18270,0,0,1,4
18279,0,1,1,7
28006,0,0,1,4
28012,0,0,2,4
28021,0,0,1,4
28051,0,0,1,4
28061,0,0,1,4
28062,0,1,0,7
28085,0,1,0,7
28088,0,0,1,4
28103,0,0,1,4
28116,0,1,0,7
28134,0,1,0,7
28140,0,1,0,7
28196,0,1,0,7
28201,0,1,0,7
28214,0,1,0,7
28218,0,0,1,4
28225,0,0,1,4
28227,0,1,0,7
28280,0,1,0,7
28302,0,0,1,4
28317,0,0,1,4
28325,0,0,1,4
28337,0,0,1,4
28357,0,1,0,7
28358,0,0,1,4
28367,0,0,1,4
28391,0,1,0,7
28422,0,0,1,4
36006,0,1,0,7
36034,0,0,1,4
36044,1,0,0,10
36070,0,0,1,4
36088,0,1,0,7
36101,0,0,1,4
36140,0,0,1,4
36161,0,0,1,4
36171,0,0,1,4
36199,0,0,1,4
36219,0,0,1,4
36228,0,0,1,4
36229,0,0,1,4
37003,0,1,0,7
37014,0,0,1,4
37018,0,0,1,4
37045,0,0,1,4
37049,0,0,1,4
37058,0,0,1,4
37063,0,0,1,4
37070,0,0,1,4
37072,0,1,0,7
37074,0,1,0,7
37077,0,0,1,4
37083,0,1,0,7
37085,0,0,1,4
37091,0,1,0,7
37099,0,0,1,4
37104,0,0,1,4
37122,0,0,2,4
37123,0,1,0,7
37131,0,0,1,4
37132,0,1,0,7
37142,0,0,1,4
37153,0,0,1,4
37154,0,0,1,4
37156,0,0,3,4
37159,0,1,0,7
37167,0,0,1,4
37171,0,0,1,4
37172,0,0,1,4
37176,0,0,1,4
37192,0,0,1,4
37200,0,0,1,4
37206,0,0,1,4
37214,0,0,1,4
37219,0,0,1,4
37225,0,0,1,4
37231,0,0,1,4
37232,0,0,1,4
37233,1,0,0,10
37243,0,0,1,4
37261,1,0,0,10
37266,0,0,1,4
37278,0,0,1,4
41018,1,0,0,10
41047,0,0,1,4
41051,0,0,1,4
41055,0,0,1,4
41084,0,0,1,4
41095,0,0,1,4
41097,0,0,3,4
41106,0,1,0,7
41118,0,0,1,4
41134,0,0,1,4
41135,0,0,1,4
41136,0,1,0,7
41151,0,0,1,4
41161,0,0,1,4
41164,0,0,1,4
41167,0,1,1,7
41175,0,0,1,4
41185,0,0,1,4
41194,0,1,1,7
41199,0,0,1,4
41232,0,1,0,7
41241,0,0,1,4
41242,0,0,1,4
41252,0,0,1,4
41256,0,0,1,4
41258,0,0,1,4
41269,0,0,1,4
41280,0,0,1,4
41282,0,0,1,4
41294,1,0,0,10
45008,0,0,1,4
45024,0,0,1,4
45028,0,1,0,7
45037,0,0,1,4
45053,0,0,1,4
45062,0,0,1,4
45067,0,0,1,4
45075,0,0,1,4
45093,0,0,1,4
45127,0,0,1,4
45146,0,1,0,7
45147,1,0,0,10
45148,0,0,1,4
45155,0,1,0,7
45191,0,0,1,4
45203,0,1,0,7
45208,0,1,0,7
45229,0,0,1,4
45234,1,0,0,10
45269,0,0,1,4
45272,0,0,1,4
21005,0,0,1,4
21054,0,1,0,7
21080,0,0,1,4
21103,0,0,1,4
21107,0,0,1,4
21183,0,0,1,4
21194,0,0,1,4
21231,1,1,0,10
21290,0,0,1,4
21292,0,1,0,7
21295,0,0,1,4
21297,0,0,1,4
21339,0,0,1,4
21353,0,0,1,4
21356,0,0,1,4
21373,0,0,1,4
21383,0,1,0,7
21412,0,0,1,4
21425,0,1,0,7
21464,0,1,0,7
21473,0,0,1,4
21475,0,0,1,4
21535,0,0,1,4
21555,0,0,1,4
21577,0,0,1,4
21582,0,0,1,4
21585,0,0,1,4
21607,0,0,1,4
21627,0,0,1,4
21639,0,1,0,7
21661,0,0,1,4
21663,0,1,0,7
21670,0,0,1,4
25021,0,0,1,4
25035,1,0,0,10
25039,0,0,1,4
25047,0,1,0,7
25056,1,0,1,10
25105,0,0,1,4
25156,0,0,1,4
25159,0,0,1,4
25195,0,0,1,4
25197,0,0,1,4
25212,0,0,1,4
25222,0,0,1,4
25258,0,0,1,4
25259,0,1,0,7
25271,0,0,1,4
25305,0,0,1,4
25315,0,0,1,4
25320,0,0,1,4
25323,0,0,1,4
25336,0,0,1,4
25364,0,0,1,4
25388,0,1,0,7
25397,0,0,1,4
25410,0,0,1,4
25411,0,1,0,7
25429,0,0,1,4
25462,0,1,0,7
25493,0,0,1,4
25495,0,0,1,4
25515,0,0,1,4
25527,0,1,0,7
25532,0,0,1,4
25564,0,0,1,4
25578,0,1,1,7
25632,0,0,1,4
39009,0,0,1,4
39013,0,0,1,4
39097,0,0,2,4
39126,0,0,1,4
39129,0,0,1,4
39173,0,0,1,4
39198,0,1,0,7
39199,0,0,1,4
39300,0,1,0,7
39350,0,0,1,4
39367,0,0,1,4
39368,0,0,1,4
39370,0,1,0,7
39396,0,0,1,4
39434,0,0,1,4
39451,0,0,1,4
39475,0,0,1,4
39478,0,0,1,4
39487,0,0,1,4
39489,0,0,1,4
58025,0,0,1,4
58046,0,0,1,4
58057,0,0,1,4
58059,0,1,0,7
58079,0,0,1,4
58083,0,0,1,4
58086,0,1,0,7
58095,0,0,1,4
58117,0,0,1,4
58121,0,0,1,4
58134,0,0,1,4
58149,0,0,1,4
58155,0,0,1,4
58164,0,0,1,4
58194,1,0,1,10
58214,0,0,1,4
58215,0,0,1,4
58225,0,0,1,4
58264,0,0,1,4
58286,0,0,1,4
58295,0,0,1,4
58298,0,0,1,4
58303,0,0,2,4
70120,0,0,1,4
70171,0,0,1,4
70285,0,1,0,7
70310,0,1,0,7
70311,0,0,1,4
70451,0,0,1,4
70550,0,1,0,7
71022,0,0,1,4
71040,0,0,1,4
71073,0,1,0,7
71076,0,1,0,7
71090,0,0,1,4
71120,0,0,1,4
71122,0,0,1,4
71132,0,0,1,4
