codgeo,libgeo,epci,pop,n_types_socle_presents,score_socle,taux_couverture_socle
64287,Laàs,200067288,138,2,4.2,4.31
64341,Lichos,200067106,138,1,2.8,2.87
65274,Libaros,200070787,138,1,2.8,2.87
70483,Scye,200041879,138,4,9.88,10.13
72086,Commerveil,200072676,138,2,5.08,5.21
76032,Auberville-la-Manuel,200069839,138,1,2.8,2.87
76651,Saint-Sylvain,200069839,138,1,2.8,2.87
80041,Aumont,200071181,138,2,5.08,5.21
80407,Hallivillers,200070969,138,1,2.8,2.87
80675,Rogy,200070969,138,2,5.08,5.21
81318,Villeneuve-lès-Lavaur,200034023,138,2,5.08,5.21
82158,Saint-Cirice,248200016,138,1,2.8,2.87
88219,Greux,200068559,138,2,6.4,6.56
89128,Coutarnoux,200039709,138,1,2.8,2.87
90083,Recouvrance,249000241,138,1,2.8,2.87
01400,Seillonnaz,240100883,137,1,2.8,2.87
02440,Lor,240200576,137,1,2.8,2.87
02783,Grand-Verly,200071983,137,1,2.8,2.87
03070,Chavenon,200071512,137,3,7.08,7.26
06056,Entraunes,200039931,137,3,8.64,8.86
08109,Chatel-Chéhéry,240800920,137,1,2.8,2.87
08229,Houdilcourt,200043156,137,2,4.0,4.1
08293,Moiry,240800847,137,1,2.8,2.87
08384,Saint-Lambert-et-Mont-de-Jeux,240800862,137,1,2.8,2.87
09267,Saint-Lary,200067940,137,2,4.9,5.03
10138,Épagne,200040137,137,2,5.08,5.21
11159,Gaja-la-Selve,200035707,137,3,7.08,7.26
14430,Meuvaines,200069516,137,1,2.8,2.87
14607,Saint-Louet-sur-Seulles,200069524,137,1,2.8,2.87
16037,Bellon,200070282,137,1,2.8,2.87
16227,Montignac-le-Coq,200070282,137,1,2.8,2.87
17117,Contré,200041689,137,1,2.8,2.87
18215,Saint-Hilaire-de-Gondilly,200011781,137,1,2.8,2.87
23003,Alleyrat,200044014,137,1,2.8,2.87
25241,Flagey,200068070,137,3,10.3,10.56
25623,Villers-Chief,242504181,137,1,2.8,2.87
26101,Comps,242600492,137,1,2.8,2.87
