codgeo,libgeo,epci,pop,n_types_socle_presents,score_socle,taux_couverture_socle
75056,Paris,200054781,2133111,30,96.11,98.56
13055,Marseille,200054807,873076,31,97.51,100.0
69123,Lyon,200046977,522250,30,96.11,98.56
31555,Toulouse,243100518,504078,31,97.51,100.0
06088,Nice,200030195,348085,30,96.11,98.56
44109,Nantes,244400404,323204,30,96.11,98.56
34172,Montpellier,243400017,302454,30,96.11,98.56
67482,Strasbourg,246700488,291313,30,96.11,98.56
33063,Bordeaux,243300316,261804,31,97.51,100.0
59350,Lille,245900410,236710,30,96.11,98.56
35238,Rennes,243500139,225081,30,96.11,98.56
83137,Toulon,248300543,180452,29,87.71,89.95
51454,Reims,200067213,179380,30,96.11,98.56
42218,Saint-Étienne,244200770,172718,30,96.11,98.56
76351,Le Havre,247600596,166058,31,97.51,100.0
21231,Dijon,242100410,159346,29,87.71,89.95
38185,Grenoble,200040715,157477,30,96.11,98.56
49007,Angers,244900015,157175,30,96.11,98.56
69266,Villeurbanne,200046977,156928,30,96.11,98.56
97411,Saint-Denis,249740119,154765,31,97.51,100.0
30189,Nîmes,243000643,148104,30,96.11,98.56
13001,Aix-en-Provence,200054807,147478,31,97.51,100.0
63113,Clermont-Ferrand,246300701,147327,30,96.11,98.56
72181,Le Mans,247200132,145004,30,96.11,98.56
29019,Brest,242900314,139619,29,87.71,89.95
37261,Tours,243700754,137658,30,89.11,91.39
80021,Amiens,248000531,133625,30,96.11,98.56
74010,Annecy,200066793,131715,30,96.11,98.56
87085,Limoges,248719312,129760,31,97.51,100.0
57463,Metz,200039865,120874,29,87.71,89.95
92012,Boulogne-Billancourt,200054781,119808,29,87.71,89.95
66136,Perpignan,200027183,119656,31,97.51,100.0
25056,Besançon,242500361,119198,30,96.11,98.56
45234,Orléans,244500468,116617,30,96.11,98.56
76540,Rouen,200023414,114083,30,96.11,98.56
93048,Montreuil,200054781,111455,30,96.11,98.56
14118,Caen,200065597,108200,30,96.11,98.56
95018,Argenteuil,200054781,107221,29,87.71,89.95
68224,Mulhouse,200066009,106341,30,96.11,98.56
97415,Saint-Paul,249740101,105240,28,86.99,89.21
54395,Nancy,245400676,104260,30,96.11,98.56
59599,Tourcoing,245900410,99011,29,95.39,97.83
59512,Roubaix,245900410,98892,29,88.39,90.65
92050,Nanterre,200054781,97351,30,96.11,98.56
94081,Vitry-sur-Seine,200054781,96205,28,83.27,85.4
94028,Créteil,200054781,92989,30,96.11,98.56
84007,Avignon,248400251,90330,31,97.51,100.0
86194,Poitiers,200069854,90240,31,97.51,100.0
93001,Aubervilliers,EPTPC,90071,30,96.11,98.56
92004,Asnières-sur-Seine,200054781,89662,31,97.51,100.0
92025,Colombes,200054781,88870,30,95.41,97.85
59183,Dunkerque,245900428,86788,30,93.31,95.69
93005,Aulnay-sous-Bois,200054781,86135,29,87.71,89.95
97416,Saint-Pierre,249740077,84077,30,95.41,97.85
78646,Versailles,247800584,83587,29,87.71,89.95
97422,Le Tampon,249740085,81943,29,94.69,97.11
92026,Courbevoie,200054781,81516,30,89.11,91.39
34032,Béziers,243400769,80341,29,94.91,97.33
17300,La Rochelle,241700434,78535,31,97.51,100.0
92063,Rueil-Malmaison,200054781,78186,29,87.71,89.95
50129,Cherbourg-en-Cotentin,200067205,77808,30,96.11,98.56
94017,Champigny-sur-Marne,200054781,77724,30,96.11,98.56
64445,Pau,200067254,77066,30,96.11,98.56
33281,Mérignac,243300316,75729,29,94.91,97.33
94068,Saint-Maur-des-Fossés,200054781,75441,30,96.11,98.56
06004,Antibes,240600585,75130,29,87.71,89.95
97209,Fort-de-France,249720061,74921,29,87.71,89.95
2A004,Ajaccio,242010056,73822,30,96.11,98.56
06029,Cannes,200039915,73255,29,87.71,89.95
44184,Saint-Nazaire,244400644,72057,30,96.11,98.56
93029,Drancy,200054781,71363,30,96.11,98.56
93051,Noisy-le-Grand,200054781,70374,29,94.01,96.41
92040,Issy-les-Moulineaux,200054781,68580,29,87.71,89.95
95127,Cergy,249500109,68348,29,95.39,97.83
92044,Levallois-Perret,200054781,68009,29,87.71,89.95
68066,Colmar,246800726,67730,30,96.11,98.56
62193,Calais,246201149,67380,28,85.61,87.8
33318,Pessac,243300316,66760,29,87.91,90.15
69259,Vénissieux,200046977,66363,30,96.11,98.56
91228,Évry-Courcouronnes,200059228,66177,29,95.39,97.83
92024,Clichy,200054781,64849,29,87.71,89.95
26362,Valence,200068781,64483,30,96.11,98.56
94041,Ivry-sur-Seine,200054781,64001,30,96.11,98.56
18033,Bourges,241800507,63702,31,97.51,100.0
29232,Quimper,200068120,63642,28,89.57,91.86
97302,Cayenne,249730045,63468,30,96.11,98.56
92002,Antony,200054781,63232,30,96.11,98.56
10387,Troyes,200069250,62782,31,97.51,100.0
83126,La Seyne-sur-Mer,248300543,62763,30,96.11,98.56
59009,Villeneuve-d'Ascq,245900410,62067,31,97.51,100.0
82121,Montauban,248200099,61919,30,96.11,98.56
93055,Pantin,200054781,60800,29,94.01,96.41
73065,Chambéry,200069110,59856,30,96.11,98.56
79191,Niort,200041317,59309,31,97.51,100.0
92051,Neuilly-sur-Seine,200054781,59267,27,85.04,87.21
95585,Sarcelles,200055655,58424,28,85.81,88.0
93007,Le Blanc-Mesnil,200054781,58257,27,84.41,86.57
94046,Maisons-Alfort,200054781,58068,27,86.42,88.63
56121,Lorient,200042174,57846,29,94.01,96.41
94076,Villejuif,200054781,57753,29,95.39,97.83
97409,Saint-André,249740093,57150,29,87.01,89.23
83061,Fréjus,200035319,57082,29,88.39,90.65
60057,Beauvais,200067999,56677,29,87.71,89.95
11262,Narbonne,241100593,56395,29,94.01,96.41
77284,Meaux,200072130,55616,28,85.61,87.8
83069,Hyères,248300543,55103,30,89.11,91.39
93008,Bobigny,200054781,55056,30,95.41,97.85
85191,La Roche-sur-Yon,248500589,54952,31,97.51,100.0
92023,Clamart,200054781,54491,28,85.61,87.8
56260,Vannes,200067932,54420,30,96.11,98.56
77108,Chelles,200057958,54309,30,96.11,98.56
49099,Cholet,200071678,53936,31,97.51,100.0
97414,Saint-Louis,249740077,53935,29,88.39,90.65
93031,Épinay-sur-Seine,EPTPC,53489,28,93.29,95.67
93070,Saint-Ouen-sur-Seine,EPTPC,53207,29,94.01,96.41
02691,Saint-Quentin,200071892,52958,30,96.31,98.77
93010,Bondy,200054781,52905,29,87.71,89.95
64102,Bayonne,200067106,52749,31,97.51,100.0
91174,Corbeil-Essonnes,200059228,52683,29,95.39,97.83
06027,Cagnes-sur-Mer,200030195,52580,28,86.99,89.21
69256,Vaulx-en-Velin,200046977,52139,28,85.61,87.8
97101,Les Abymes,200018653,52118,29,94.91,97.33
93071,Sevran,200054781,51845,29,94.01,96.41
94033,Fontenay-sous-Bois,200054781,51812,30,96.11,98.56
78586,Sartrouville,200058519,51220,29,94.01,96.41
91377,Massy,200056232,50962,29,95.39,97.83
13004,Arles,241300417,50415,30,96.11,98.56
97311,Saint-Laurent-du-Maroni,249730037,50250,26,85.79,87.98
81004,Albi,248100737,49714,30,94.63,97.05
53130,Laval,245300330,49657,30,96.11,98.56
44162,Saint-Herblain,244400404,49537,30,96.11,98.56
92036,Gennevilliers,200054781,49410,29,91.67,94.01
92073,Suresnes,200054781,49104,30,96.11,98.56
69290,Saint-Priest,200046977,48822,30,95.41,97.85
94080,Vincennes,200054781,48798,28,84.11,86.26
2B033,Bastia,242000354,48768,29,94.01,96.41
13056,Martigues,200054807,48568,29,87.71,89.95
85194,Les Sables-d'Olonne,200071165,48402,30,95.41,97.85
06069,Grasse,200039857,48323,30,95.41,97.85
92049,Montrouge,200054781,47657,27,85.94,88.13
13005,Aubagne,200054807,47342,31,97.51,100.0
35288,Saint-Malo,243500782,47323,29,87.71,89.95
27229,Évreux,200071454,47289,30,95.41,97.85
93027,La Courneuve,EPTPC,47160,27,84.41,86.57
41018,Blois,200030385,46813,30,96.11,98.56
19031,Brive-la-Gaillarde,200043172,46599,28,86.51,88.72
08105,Charleville-Mézières,200041630,46398,31,97.51,100.0
92048,Meudon,200054781,46342,30,96.11,98.56
11069,Carcassonne,200035715,46218,30,95.41,97.85
94022,Choisy-le-Roi,200054781,46129,28,85.61,87.8
93053,Noisy-le-Sec,200054781,46094,28,92.81,95.18
93046,Livry-Gargan,200054781,46028,28,92.81,95.18
93064,Rosny-sous-Bois,200054781,45655,28,85.81,88.0
33522,Talence,243300316,45225,29,87.91,90.15
90010,Belfort,200069052,45155,31,97.51,100.0
94002,Alfortville,200054781,45046,29,87.71,89.95
71076,Chalon-sur-Saône,247100589,45031,30,96.11,98.56
13103,Salon-de-Provence,200054807,44731,29,94.01,96.41
34301,Sète,200066355,44712,28,92.81,95.18
13047,Istres,200054807,44577,30,93.31,95.69
78361,Mantes-la-Jolie,200059889,44539,28,93.29,95.67
78551,Saint-Germain-en-Laye,200058519,44380,29,87.01,89.23
22278,Saint-Brieuc,200069409,44224,28,86.99,89.21
65440,Tarbes,200069300,43955,30,96.11,98.56
30007,Alès,200066918,43892,28,85.61,87.8
51108,Châlons-en-Champagne,200066876,43877,30,96.11,98.56
92007,Bagneux,200054781,43699,28,86.99,89.21
92062,Puteaux,200054781,43672,30,96.11,98.56
69034,Caluire-et-Cuire,200046977,43572,28,86.99,89.21
69029,Bron,200046977,43049,30,95.41,97.85
44143,Rezé,244400404,42998,30,96.11,98.56
59606,Valenciennes,245901160,42991,29,94.21,96.62
36044,Châteauroux,243600327,42968,31,97.51,100.0
95268,Garges-lès-Gonesse,200055655,42841,28,93.29,95.67
81065,Castres,248100430,42672,30,96.11,98.56
62041,Arras,200033579,42600,30,96.11,98.56
77288,Melun,247700057,42367,29,87.71,89.95
57672,Thionville,245701362,42163,29,87.71,89.95
06030,Le Cannet,200039915,41597,27,82.07,84.17
01053,Bourg-en-Bresse,200071751,41525,30,95.41,97.85
64024,Anglet,200067106,41153,28,86.29,88.49
16015,Angoulême,200071827,41086,30,96.31,98.77
62160,Boulogne-sur-Mer,246200729,40910,30,96.11,98.56
59650,Wattrelos,245900410,40836,29,94.01,96.41
05061,Gap,200067825,40500,30,96.11,98.56
33550,Villenave-d'Ornon,243300316,40500,28,86.29,88.49
26198,Montélimar,200040459,40399,30,96.11,98.56
60159,Compiègne,200067965,40394,30,96.11,98.56
93072,Stains,EPTPC,40359,27,84.41,86.57
93032,Gagny,200054781,40189,27,84.41,86.57
31149,Colomiers,243100518,40159,26,81.59,83.67
78498,Poissy,200059889,40016,30,96.11,98.56
83050,Draguignan,248300493,39745,29,87.71,89.95
59178,Douai,200044618,39648,30,96.31,98.77
97213,Le Lamentin,249720061,39641,29,94.01,96.41
93006,Bagnolet,200054781,39366,30,96.11,98.56
59378,Marcq-en-Barœul,245900410,39356,26,77.87,79.86
97412,Saint-Joseph,249740085,38807,27,77.89,79.88
93078,Villepinte,200054781,38725,29,87.71,89.95
38421,Saint-Martin-d'Hères,200040715,38454,29,94.01,96.41
28085,Chartres,200033181,38447,29,87.71,89.95
77373,Pontault-Combault,200057958,38258,27,86.27,88.47
37122,Joué-lès-Tours,243700754,38183,28,86.99,89.21
74012,Annemasse,200011773,37918,27,92.09,94.44
69149,Oullins,200046977,37628,30,96.11,98.56
93050,Neuilly-sur-Marne,200054781,37531,27,82.07,84.17
95252,Franconville,200058485,37520,27,84.89,87.06
91589,Savigny-sur-Orge,200054781,37371,29,95.74,98.18
93073,Tremblay-en-France,200054781,37271,27,85.09,87.26
74281,Thonon-les-Bains,200067551,37027,28,86.51,88.72
97410,Saint-Benoît,249740093,37023,27,84.89,87.06
13028,La Ciotat,200054807,36987,27,84.41,86.57
38151,Échirolles,200040715,36849,29,95.39,97.83
92020,Châtillon,200054781,36777,29,94.01,96.41
91027,Athis-Mons,200054781,36222,29,94.21,96.62
83129,Six-Fours-les-Plages,248300543,36203,27,82.55,84.66
60175,Creil,200068047,36106,27,93.47,95.86
83118,Saint-Raphaël,200035319,35950,29,87.71,89.95
78172,Conflans-Sainte-Honorine,200059889,35926,28,85.61,87.8
69264,Villefranche-sur-Saône,200040590,35913,30,96.11,98.56
69282,Meyzieu,200046977,35882,30,96.11,98.56
91549,Sainte-Geneviève-des-Bois,200057859,35846,29,87.71,89.95
67180,Haguenau,200067874,35715,28,85.61,87.8
13117,Vitrolles,200054807,35532,28,90.25,92.55
94078,Villeneuve-Saint-Georges,200054781,35492,30,89.11,91.39
97408,La Possession,249740101,35245,28,87.19,89.42
42207,Saint-Chamond,244200770,35068,30,89.11,91.39
92019,Châtenay-Malabry,200054781,34898,25,79.29,81.31
91477,Palaiseau,200056232,34893,28,85.87,88.06
97413,Saint-Leu,249740101,34893,27,77.41,79.39
97307,Matoury,249730045,34810,26,82.07,84.17
89024,Auxerre,200067114,34778,29,84.91,87.08
42187,Roanne,200035731,34762,31,97.51,100.0
71270,Mâcon,200070308,34448,28,86.99,89.21
97418,Sainte-Marie,249740119,34344,27,78.59,80.6
94058,Le Perreux-sur-Marne,200054781,34213,29,87.71,89.95
67447,Schiltigheim,246700488,34129,25,82.29,84.39
78440,Les Mureaux,200059889,33977,28,89.81,92.1
78621,Trappes,200058782,33717,26,87.89,90.13
94052,Nogent-sur-Marne,200054781,33472,28,87.82,90.06
78311,Houilles,200058519,33449,29,87.71,89.95
03185,Montluçon,200071082,33342,30,89.11,91.39
97407,Le Port,249740101,33336,26,76.49,78.44
93063,Romainville,200054781,33266,28,93.29,95.67
13054,Marignane,200054807,33003,28,94.19,96.6
26281,Romans-sur-Isère,200068781,32911,30,96.11,98.56
58194,Nevers,245804406,32830,28,85.61,87.8
62498,Lens,246200364,32618,29,91.91,94.26
33449,Saint-Médard-en-Jalles,243300316,32538,28,82.81,84.92
47001,Agen,200035459,32485,30,96.31,98.77
93066,Pierrefitte-sur-Seine,EPTPC,32379,30,96.11,98.56
88160,Épinal,200068757,32285,29,91.91,94.26
95063,Bezons,200058519,32017,29,87.71,89.95
73008,Aix-les-Bains,200068674,31874,29,94.69,97.11
78423,Montigny-le-Bretonneux,200058782,31777,29,95.39,97.83
95306,Herblay-sur-Seine,200058485,31605,28,93.29,95.67
59122,Cambrai,200068500,31425,27,77.41,79.39
94038,L'Haÿ-les-Roses,200054781,31392,26,80.65,82.71
78490,Plaisir,200058782,31375,27,85.79,87.98
95500,Pontoise,249500109,31327,29,95.54,97.98
86066,Châtellerault,248600413,31284,28,89.81,92.1
69286,Rillieux-la-Pape,200046977,31247,29,91.21,93.54
94073,Thiais,200054781,31097,29,87.71,89.95
38544,Vienne,200077014,31051,31,97.51,100.0
91657,Vigneux-sur-Seine,200058477,31050,27,92.09,94.44
91687,Viry-Châtillon,200054781,31045,29,87.71,89.95
06123,Saint-Laurent-du-Var,200030195,30941,28,90.27,92.58
78158,Le Chesnay-Rocquencourt,247800584,30924,28,86.29,88.49
97103,Baie-Mahault,200018653,30909,26,84.17,86.32
28134,Dreux,200040277,30879,29,87.01,89.23
33039,Bègles,243300316,30813,26,83.69,85.83
84031,Carpentras,248400053,30769,31,97.51,100.0
95280,Goussainville,200055655,30693,28,93.29,95.67
40192,Mont-de-Marsan,244000808,30674,29,87.71,89.95
94079,Villiers-sur-Marne,200054781,30669,26,84.32,86.47
94016,Cachan,200054781,30592,26,81.8,83.89
77445,Savigny-le-Temple,200059228,30510,26,84.39,86.54
06083,Menton,240600551,30412,29,87.71,89.95
93077,Villemomble,200054781,30332,30,96.11,98.56
92046,Malakoff,200054781,30292,29,87.71,89.95
62510,Liévin,246200364,30149,29,94.91,97.33
92035,La Garenne-Colombes,200054781,29932,29,87.01,89.23
91521,Ris-Orangis,200059228,29825,28,85.61,87.8
92009,Bois-Colombes,200054781,29765,28,90.67,92.99
93014,Clichy-sous-Bois,200054781,29735,27,91.89,94.24
69275,Décines-Charpieu,200046977,29731,27,81.41,83.49
92064,Saint-Cloud,200054781,29727,29,95.54,97.98
78146,Chatou,200058519,29649,26,84.65,86.81
38053,Bourgoin-Jallieu,243800604,29577,29,87.71,89.95
54547,Vandœuvre-lès-Nancy,245400676,29537,28,86.99,89.21
24322,Périgueux,200040392,29516,29,80.71,82.77
94018,Charenton-le-Pont,200054781,29445,29,87.71,89.95
31557,Tournefeuille,243100518,29439,27,81.17,83.24
78297,Guyancourt,200058782,29406,28,93.29,95.67
92060,Le Plessis-Robinson,200054781,29228,28,86.57,88.78
91201,Draveil,200058477,29173,29,87.91,90.15
34003,Agde,243400819,29103,28,85.81,88.0
59392,Maubeuge,200043396,29066,28,86.29,88.49
95219,Ermont,200058485,28987,27,89.55,91.84
76681,Sotteville-lès-Rouen,200023414,28965,28,89.57,91.86
84087,Orange,248400236,28949,28,86.51,88.72
95680,Villiers-le-Bel,200055655,28836,28,92.61,94.97
94034,Fresnes,200054781,28780,27,85.37,87.55
02722,Soissons,240200477,28705,28,92.81,95.18
91691,Yerres,200058477,28699,26,80.95,83.02
76575,Saint-Étienne-du-Rouvray,200023414,28508,27,92.09,94.44
76217,Dieppe,247600786,28358,29,87.01,89.23
44190,Saint-Sébastien-sur-Loire,244400404,28283,28,86.99,89.21
06155,Vallauris,240600585,28025,25,69.47,71.24
92075,Vanves,200054781,28014,30,96.11,98.56
94044,Limeil-Brévannes,200054781,27999,26,82.22,84.32
93047,Montfermeil,200054781,27980,29,94.01,96.41
44114,Orvault,244400404,27872,28,83.51,85.64
94071,Sucy-en-Brie,200054781,27622,29,94.84,97.26
97309,Remire-Montjoly,249730045,27274,26,84.17,86.32
91286,Grigny,200059228,27257,28,90.95,93.27
97113,Le Gosier,200041507,27184,28,85.61,87.8
59328,Lambersart,245900410,27121,25,84.3,86.45
67218,Illkirch-Graffenstaden,246700488,27118,27,84.41,86.57
91103,Brétigny-sur-Orge,200057859,27106,27,92.09,94.44
89387,Sens,248900334,27034,29,94.01,96.41
95607,Taverny,200058485,27025,29,87.01,89.23
77514,Villeparisis,200055655,26822,26,84.17,86.32
78517,Rambouillet,200073344,26816,29,87.71,89.95
33119,Cenon,243300316,26778,26,80.21,82.26
95582,Sannois,200058485,26768,28,86.99,89.21
95176,Cormeilles-en-Parisis,200058485,26741,27,84.89,87.06
77058,Bussy-Saint-Georges,247700594,26571,26,84.17,86.32
33529,La Teste-de-Buch,243300563,26556,30,89.11,91.39
91223,Étampes,200017846,26529,29,88.39,90.65
31069,Blagnac,243100518,26466,29,87.71,89.95
13063,Miramas,200054807,26405,27,91.41,93.74
24037,Bergerac,200070647,26323,31,97.51,100.0
49328,Saumur,200071876,26215,29,87.01,89.23
34145,Lunel,243400520,26185,29,94.91,97.33
78208,Élancourt,200058782,26082,25,79.29,81.31
62427,Hénin-Beaumont,246200299,26035,28,83.51,85.64
44215,Vertou,244400404,26002,26,78.59,80.6
76322,Le Grand-Quevilly,200023414,25975,27,88.85,91.12
95277,Gonesse,200055655,25963,27,88.85,91.12
84035,Cavaillon,200040442,25923,30,95.41,97.85
83062,La Garde,248300543,25912,29,84.67,86.83
33192,Gradignan,243300316,25835,29,87.71,89.95
15014,Aurillac,241500230,25815,28,86.51,88.72
49301,Sèvremoine,200060010,25806,30,96.11,98.56
03310,Vichy,200071363,25789,28,86.51,88.72
64122,Biarritz,200067106,25764,24,70.7,72.51
77083,Champs-sur-Marne,200057958,25695,27,86.99,89.21
59017,Armentières,245900410,25581,28,85.61,87.8
25388,Montbéliard,200065647,25573,27,81.41,83.49
61001,Alençon,246100663,25555,27,86.69,88.9
17415,Saintes,200036473,25518,28,85.61,87.8
91114,Brunoy,200058477,25423,28,82.81,84.92
95203,Eaubonne,200058485,25373,27,90.62,92.93
92078,Villeneuve-la-Garenne,200054781,25371,27,88.37,90.63
18279,Vierzon,200033207,25348,28,86.51,88.72
91692,Les Ulis,200056232,25253,25,76.25,78.2
31395,Muret,200068641,25060,30,96.11,98.56
95572,Saint-Ouen-l'Aumône,249500109,25023,26,80.69,82.75
62119,Béthune,200072460,24992,29,94.01,96.41
34057,Castelnau-le-Lez,243400017,24888,26,83.69,85.83
92032,Fontenay-aux-Roses,200054781,24772,27,85.72,87.91
97304,Kourou,200027548,24612,26,84.17,86.32
33243,Libourne,200070092,24557,27,84.41,86.57
27681,Vernon,200072312,24543,28,85.81,88.0
94054,Orly,200054781,24482,28,93.29,95.67
94043,Le Kremlin-Bicêtre,200054781,24380,27,86.42,88.63
33162,Eysines,243300316,24374,26,83.69,85.83
33069,Le Bouscat,243300316,24339,27,82.79,84.9
97420,Sainte-Suzanne,249740119,24293,25,83.45,85.58
97128,Sainte-Anne,200041507,24281,28,85.81,88.0
97118,Petit-Bourg,249710062,24272,28,87.19,89.42
12202,Rodez,241200187,24207,30,96.11,98.56
93057,Les Pavillons-sous-Bois,200054781,24165,25,82.55,84.66
02408,Laon,200043495,24021,30,96.11,98.56
83144,La Valette-du-Var,248300543,23955,25,75.29,77.21
34108,Frontignan,200066355,23808,29,94.91,97.33
91421,Montgeron,200058477,23800,28,85.61,87.8
39198,Dole,200010650,23775,29,88.39,90.65
49023,Beaupréau-en-Mauges,200060010,23639,31,97.51,100.0
93045,Les Lilas,200054781,23469,26,83.69,85.83
33249,Lormont,243300316,23291,27,82.79,84.9
17299,Rochefort,200041762,23092,27,92.09,94.44
78358,Maisons-Laffitte,200058519,23080,27,85.04,87.21
52448,Saint-Dizier,200068666,23068,29,91.91,94.26
77390,Roissy-en-Brie,200057958,23061,27,85.79,87.98
44047,Couëron,244400404,23057,27,82.79,84.9
32013,Auch,200066926,23041,29,84.91,87.08
56098,Lanester,200042174,23026,29,87.71,89.95
59360,Loos,245900410,23013,28,87.82,90.06
04112,Manosque,200034700,22926,29,94.91,97.33
38169,Fontaine,200040715,22891,26,83.49,85.62
45232,Olivet,244500468,22855,27,82.79,84.9
77152,Dammarie-les-Lys,247700057,22845,24,74.57,76.47
78640,Vélizy-Villacoublay,247800584,22713,30,89.11,91.39
68297,Saint-Louis,200066058,22698,29,87.71,89.95
69244,Tassin-la-Demi-Lune,200046977,22676,30,96.11,98.56
97117,Le Moule,200044691,22645,28,86.51,88.72
92072,Sèvres,200054781,22618,25,82.92,85.04
95424,Montigny-lès-Cormeilles,200058485,22603,27,85.09,87.26
80001,Abbeville,200070993,22595,29,80.71,82.77
95197,Deuil-la-Barre,200056380,22510,28,93.29,95.67
85047,Challans,200071629,22494,28,89.81,92.1
59368,La Madeleine,245900410,22488,25,75.29,77.21
77468,Torcy,200057958,22444,27,92.09,94.44
33199,Gujan-Mestras,243300563,22399,26,76.69,78.65
91272,Gif-sur-Yvette,200056232,22352,30,89.11,91.39
01283,Oyonnax,200042935,22277,28,92.81,95.18
77305,Montereau-Fault-Yonne,247700107,22259,26,80.69,82.75
77122,Combs-la-Ville,200059228,22240,24,81.57,83.65
14327,Hérouville-Saint-Clair,200065597,22227,28,89.47,91.75
13071,Les Pennes-Mirabeau,200054807,22161,26,77.39,79.37
51230,Épernay,200067684,22001,28,85.61,87.8
95428,Montmorency,200056380,21870,26,80.84,82.9
69202,Sainte-Foy-lès-Lyon,200046977,21858,28,86.51,88.72
57480,Montigny-lès-Metz,200039865,21854,24,72.42,74.27
62178,Bruay-la-Buissière,200072460,21827,28,82.81,84.92
76498,Le Petit-Quevilly,200023414,21782,28,85.61,87.8
12145,Millau,241200567,21712,27,86.69,88.9
45284,Saint-Jean-de-Braye,244500468,21700,29,94.01,96.41
52121,Chaumont,200068658,21699,29,87.71,89.95
47323,Villeneuve-sur-Lot,200023307,21629,30,96.31,98.77
06079,Mandelieu-la-Napoule,200039915,21561,28,86.51,88.72
94003,Arcueil,200054781,21557,25,76.25,78.2
59295,Hazebrouck,200040947,21498,28,86.99,89.21
13002,Allauch,200054807,21490,29,95.74,98.18
59410,Mons-en-Barœul,245900410,21467,23,70.52,72.32
45147,Fleury-les-Aubrais,244500468,21438,28,86.99,89.21
91570,Saint-Michel-sur-Orge,200057859,21437,24,72.05,73.89
93049,Neuilly-Plaisance,200054781,21415,28,90.47,92.78
49092,Chemillé-en-Anjou,200060010,21386,26,74.39,76.29
60463,Nogent-sur-Oise,200068047,21382,26,83.01,85.13
78362,Mantes-la-Ville,200059889,21376,27,82.79,84.9
78005,Achères,200059889,21368,27,84.89,87.06
40088,Dax,244000675,21347,28,93.29,95.67
97222,Le Robert,200041788,21305,28,86.29,88.49
94067,Saint-Mandé,200054781,21195,27,82.01,84.1
77243,Lagny-sur-Marne,247700594,21191,27,84.89,87.06
13041,Gardanne,200054807,21174,28,86.99,89.21
57227,Forbach,245700372,21130,29,87.01,89.23
94077,Villeneuve-le-Roi,200054781,21129,27,86.05,88.25
78545,Saint-Cyr-l'École,247800584,20971,26,83.49,85.62
69204,Saint-Genis-Laval,200046977,20929,25,75.29,77.21
38563,Voiron,243800984,20891,28,89.81,92.1
95555,Saint-Gratien,200056380,20866,26,85.61,87.8
59646,Wasquehal,245900410,20836,26,80.69,82.75
59279,Halluin,245900410,20829,24,72.99,74.85
92014,Bourg-la-Reine,200054781,20810,29,87.71,89.95
91434,Morsang-sur-Orge,200057859,20785,25,79.73,81.77
59163,Croix,245900410,20778,26,83.97,86.11
59155,Coudekerque-Branche,245900428,20765,26,83.69,85.83
71153,Le Creusot,247100290,20731,30,96.11,98.56
77350,Ozoir-la-Ferrière,200023125,20692,24,72.27,74.12
69091,Givors,200046977,20654,28,92.81,95.18
35115,Fougères,200072452,20653,29,94.01,96.41
59172,Denain,200042190,20640,26,87.89,90.13
77294,Mitry-Mory,200055655,20627,24,78.59,80.6
57631,Sarreguemines,200070746,20624,29,87.71,89.95
91345,Longjumeau,200056232,20620,27,93.05,95.43
29039,Concarneau,242900769,20607,29,87.71,89.95
85146,Montaigu-Vendée,200070233,20605,30,96.11,98.56
44026,Carquefou,244400404,20510,25,75.09,77.01
92071,Sceaux,200054781,20488,27,85.72,87.91
78126,La Celle-Saint-Cloud,247800584,20476,30,96.94,99.42
94042,Joinville-le-Pont,200054781,20413,23,75.12,77.04
44020,Bouguenais,244400404,20410,27,75.11,77.03
22113,Lannion,200065928,20344,28,82.81,84.92
31157,Cugnaux,243100518,20341,25,79.49,81.52
44035,La Chapelle-sur-Erdre,244400404,20331,23,71.79,73.62
59271,Grande-Synthe,245900428,20331,26,84.17,86.32
94021,Chevilly-Larue,200054781,20326,26,84.17,86.32
67267,Lingolsheim,246700488,20266,23,77.52,79.5
94059,Le Plessis-Trévise,200054781,20218,24,73.89,75.78
33075,Bruges,243300316,20215,25,71.81,73.64
77285,Le Mée-sur-Seine,247700057,20207,25,87.17,89.4
63124,Cournon-d'Auvergne,246300701,20193,26,80.45,82.5
46042,Cahors,200023737,20141,29,94.01,96.41
76451,Mont-Saint-Aignan,200023414,20066,27,78.04,80.03
21054,Beaune,200006682,20032,30,96.11,98.56
84089,Pertuis,200054807,20012,29,94.01,96.41
92022,Chaville,200054781,19991,27,84.21,86.36
84054,L'Isle-sur-la-Sorgue,248400319,19965,26,75.81,77.75
31424,Plaisance-du-Touch,243100781,19944,27,77.21,79.18
91161,Chilly-Mazarin,200056232,19938,26,74.35,76.25
79049,Bressuire,200040244,19906,30,89.11,91.39
73011,Albertville,200068997,19812,27,84.41,86.57
14366,Lisieux,200069532,19807,28,88.79,91.06
06085,Mougins,200039915,19677,28,79.99,82.03
35047,Bruz,243500139,19651,26,76.49,78.44
26058,Bourg-lès-Valence,200068781,19581,29,87.71,89.95
59507,Ronchin,245900410,19437,22,75.42,77.35
06157,Vence,200030195,19415,28,79.31,81.34
50502,Saint-Lô,200066389,19373,27,86.69,88.9
69199,Saint-Fons,200046977,19360,29,87.01,89.23
03190,Moulins,200071140,19343,29,87.91,90.15
97229,Schœlcher,249720061,19341,28,86.29,88.49
88413,Saint-Dié-des-Vosges,200071066,19319,28,84.83,87.0
67462,Sélestat,246700967,19300,27,81.17,83.24
77053,Brie-Comte-Robert,247700644,19213,28,89.81,92.1
