CODGEO,nb_assos,nb_environnement,nb_culture,nb_social,nb_sport,nb_sante,nb_auto,pop,densite_assos_1000hab,densite_environnement_1000hab,densite_culture_1000hab,densite_social_1000hab,densite_sport_1000hab
17165,4,0,0,0,1,0,0,392.0,10.2,0.0,0.0,0.0,2.55
17166,9,0,2,1,3,0,2,1328.0,6.78,0.0,1.51,0.75,2.26
17168,35,0,1,5,1,2,0,4061.0,8.62,0.0,0.25,1.23,0.25
17171,6,0,1,1,1,0,1,778.0,7.71,0.0,1.29,1.29,1.29
17172,35,3,2,2,4,0,0,2989.0,11.71,1.0,0.67,0.67,1.34
17174,1,0,0,0,0,0,0,905.0,1.1,0.0,0.0,0.0,0.0
17175,6,0,3,0,1,0,0,641.0,9.36,0.0,4.68,0.0,1.56
17176,2,0,0,0,0,0,0,103.0,19.42,0.0,0.0,0.0,0.0
17178,1,0,0,0,0,0,0,73.0,13.7,0.0,0.0,0.0,0.0
17180,2,0,0,0,0,0,0,97.0,20.62,0.0,0.0,0.0,0.0
17181,5,0,1,1,0,0,0,312.0,16.03,0.0,3.21,3.21,0.0
17183,2,0,0,0,1,0,0,944.0,2.12,0.0,0.0,0.0,1.06
17187,2,0,0,0,0,0,0,485.0,4.12,0.0,0.0,0.0,0.0
17188,5,0,1,0,0,0,0,453.0,11.04,0.0,2.21,0.0,0.0
17192,7,0,2,0,0,0,0,870.0,8.05,0.0,2.3,0.0,0.0
17196,4,0,1,0,1,0,0,547.0,7.31,0.0,1.83,0.0,1.83
17197,46,0,4,1,3,1,1,3550.0,12.96,0.0,1.13,0.28,0.85
17198,2,0,1,0,0,0,0,310.0,6.45,0.0,3.23,0.0,0.0
17200,53,0,1,0,1,2,0,7387.0,7.17,0.0,0.14,0.0,0.14
17202,6,0,2,0,0,0,0,572.0,10.49,0.0,3.5,0.0,0.0
17203,7,0,1,0,3,0,1,778.0,9.0,0.0,1.29,0.0,3.86
17204,4,0,0,0,0,0,0,302.0,13.25,0.0,0.0,0.0,0.0
17205,2,0,0,0,0,0,0,386.0,5.18,0.0,0.0,0.0,0.0
17206,2,0,0,0,1,0,0,283.0,7.07,0.0,0.0,0.0,3.53
17207,18,0,1,2,0,0,0,739.0,24.36,0.0,1.35,2.71,0.0
17208,3,0,1,0,0,0,0,1058.0,2.84,0.0,0.95,0.0,0.0
17209,1,0,0,0,0,0,0,269.0,3.72,0.0,0.0,0.0,0.0
17210,2,0,0,0,0,0,0,509.0,3.93,0.0,0.0,0.0,0.0
17211,13,1,2,1,1,0,0,757.0,17.17,1.32,2.64,1.32,1.32
17213,2,0,0,0,0,0,0,144.0,13.89,0.0,0.0,0.0,0.0
17216,7,0,1,0,2,0,1,1025.0,6.83,0.0,0.98,0.0,1.95
17217,3,0,1,0,1,0,0,291.0,10.31,0.0,3.44,0.0,3.44
17218,39,0,6,1,0,0,0,4500.0,8.67,0.0,1.33,0.22,0.0
17220,8,0,2,0,0,0,0,412.0,19.42,0.0,4.85,0.0,0.0
17221,4,1,0,2,0,0,0,930.0,4.3,1.08,0.0,2.15,0.0
17222,22,0,2,1,0,0,0,3194.0,6.89,0.0,0.63,0.31,0.0
17223,4,0,0,0,2,0,0,183.0,21.86,0.0,0.0,0.0,10.93
17224,25,1,1,4,5,0,1,2190.0,11.42,0.46,0.46,1.83,2.28
17226,8,0,0,1,1,0,0,989.0,8.09,0.0,0.0,1.01,1.01
17228,27,2,3,1,5,0,1,3036.0,8.89,0.66,0.99,0.33,1.65
17229,2,0,0,0,0,0,0,230.0,8.7,0.0,0.0,0.0,0.0
17230,38,1,2,2,2,1,0,3160.0,12.03,0.32,0.63,0.63,0.63
17232,11,0,4,0,1,0,0,1532.0,7.18,0.0,2.61,0.0,0.65
17233,3,0,1,0,0,0,0,331.0,9.06,0.0,3.02,0.0,0.0
