code_epci,puis_solaire_mw,nb_install_solaire,puis_solaire_kw_par_hab,nb_install_par_1000hab
200040426,4738.3,279,0.3,17.61
200040442,41202.3,1742,0.75,31.67
200040459,64469.9,2578,0.95,38.08
200040475,18185.6,743,1.01,41.46
200040491,52830.5,2157,1.1,45.12
200040509,10039.6,685,0.62,42.54
200040558,12400.6,279,1.14,25.54
200040566,17740.1,1800,0.35,35.67
200040574,13570.5,1823,0.25,33.07
200040590,13018.0,1281,0.18,17.57
200040624,26559.8,997,0.93,34.89
200040657,22764.8,696,1.2,36.73
200040681,32626.5,1039,1.44,45.71
200040715,46955.3,4478,0.1,9.96
200040764,20031.2,503,0.95,23.8
200040772,19243.3,327,2.1,35.73
200040798,833.1,141,0.09,15.59
200040814,13774.4,374,1.51,40.96
200040830,9728.6,348,1.01,36.0
200040889,21191.0,315,2.51,37.34
200040905,84593.4,1397,2.8,46.3
200040947,58821.4,1907,0.57,18.61
200040954,26282.5,1039,0.49,19.4
200041010,16079.9,1516,0.43,40.31
200041051,14573.9,329,1.63,36.79
200041150,33869.6,736,1.53,33.29
200041168,10605.4,452,0.67,28.56
200041283,78959.2,557,4.3,30.34
200041317,65843.8,2727,0.54,22.3
200041325,192106.2,1049,5.19,28.36
200041333,49831.2,1265,1.35,34.28
200041366,14160.5,1382,0.41,39.91
200041416,13632.0,246,1.98,35.69
200041440,5308.0,258,0.62,30.36
200041465,5063.1,447,0.41,36.23
200041499,24019.7,1523,0.76,47.9
200041507,18794.8,520,0.29,7.9
200041515,63139.9,607,1.57,15.09
200041523,121220.5,3147,1.77,45.96
200041556,17274.5,306,2.62,46.43
200041572,14696.6,468,1.3,41.33
200041614,47852.6,1700,1.46,51.71
200041622,3089.3,149,0.32,15.61
200041630,42223.9,937,0.35,7.73
200041689,147284.1,1875,2.82,35.95
200041721,7745.4,572,0.45,33.22
200041762,19452.0,2085,0.3,32.46
200041788,45350.9,759,0.47,7.94
200041853,5058.0,252,0.76,38.01
200041861,6288.7,400,0.57,36.36
200041879,7697.1,411,0.6,31.81
200041887,5958.0,512,0.41,35.22
200041960,10952.8,1765,0.11,18.04
200041994,21705.4,830,0.71,27.17
200042000,4858.4,479,0.33,32.07
200042174,39020.5,2572,0.19,12.45
200042182,13225.8,542,0.85,34.77
200042190,103903.2,1620,0.66,10.27
200042372,17741.0,722,1.65,67.04
200042414,8114.3,407,0.82,41.01
200042463,51333.8,271,8.68,45.84
200042497,13241.2,1436,0.33,35.64
200042604,11287.5,710,0.25,15.83
200042620,11452.8,274,1.48,35.33
200042646,46915.5,741,2.35,37.19
200042653,12077.1,1081,0.67,59.64
200042703,21634.9,484,1.84,41.17
200042729,4216.4,351,0.18,15.21
200042901,50984.2,1926,1.19,44.79
200042935,22741.4,1433,0.4,24.99
200042943,4961.6,71,0.75,10.71
200042992,13679.4,173,2.45,31.04
200043016,17968.4,501,1.31,36.5
200043065,15522.6,416,0.55,14.82
200043081,11905.3,391,0.51,16.68
200043123,14755.7,1617,0.16,17.97
200043156,26876.6,674,0.9,22.46
200043172,70815.7,2370,0.66,21.92
200043263,3211.5,434,0.11,14.92
200043321,7226.6,910,0.15,18.85
200043354,7835.4,404,0.5,25.79
200043396,26258.7,1323,0.21,10.71
200043404,1969.9,288,0.08,11.76
200043438,22092.7,482,2.35,51.2
200043495,70350.5,317,1.69,7.59
200043602,67335.1,3069,1.18,53.69
200043628,33558.3,876,1.24,32.36
200043693,8185.4,429,0.53,27.9
200043776,14512.3,679,1.07,50.0
200043974,83460.5,1352,2.12,34.37
200043982,7777.2,633,0.49,40.12
200043990,20437.1,1154,0.46,25.86
200044014,37378.0,399,3.22,34.42
200044030,9092.6,459,0.31,15.59
200044048,8734.7,868,0.2,20.35
200044253,9146.5,296,0.74,24.1
200044394,21794.9,799,0.91,33.36
200044469,15161.3,523,1.44,49.5
200044618,23460.3,1463,0.16,9.85
200044691,30592.5,415,0.54,7.36
200046977,156777.7,9784,0.11,6.87
200048551,41425.2,1234,1.45,43.09
200049187,5083.4,357,0.19,13.11
200049211,10459.5,919,0.49,43.11
200049484,37094.9,679,3.23,59.08
200054781,59917.4,7508,0.01,1.13
200054807,625083.7,26824,0.33,14.03
200055481,40099.2,430,2.05,22.01
200055655,28627.5,1460,0.08,4.06
200055887,22787.5,999,0.62,27.22
200056232,27060.8,1527,0.09,4.83
200056380,2609.3,531,0.01,2.87
200057859,17333.1,1196,0.08,5.78
200057958,11629.4,938,0.05,4.1
200058360,14111.1,440,0.67,20.92
200058477,2851.7,706,0.02,3.99
200058485,5322.4,1013,0.02,3.54
200058519,5183.5,934,0.02,2.78
200058782,7549.2,848,0.03,3.69
200059228,13388.3,1743,0.04,4.87
200059392,43948.6,2701,0.79,48.5
200059400,22935.6,804,0.89,31.28
200059889,68185.9,2257,0.16,5.27
200060010,123485.1,5393,1.02,44.34
200065563,3541.2,366,0.11,11.66
200065589,3279.1,284,0.17,15.07
200065597,31730.1,1777,0.12,6.51
200065647,41085.5,2455,0.29,17.6
200065787,5584.3,402,0.2,14.57
200065886,84194.6,4737,0.75,42.4
200065894,30130.0,2954,0.47,45.97
200065928,24654.0,1565,0.25,15.61
200066009,144349.2,3121,0.53,11.45
200066017,6614.2,319,0.36,17.4
200066025,49309.2,1060,1.46,31.32
200066033,14731.4,769,0.66,34.51
200066041,18980.5,1454,0.4,30.52
200066058,20606.5,1969,0.25,23.6
200066108,16484.8,442,1.02,27.42
200066116,5862.1,223,0.85,32.16
200066124,108351.9,3659,1.43,48.24
200066132,3959.9,199,0.42,20.95
200066140,14354.8,297,2.24,46.34
200066157,55212.7,519,2.51,23.59
200066165,5184.6,241,0.58,26.93
200066173,7704.3,237,0.95,29.3
200066223,22292.2,508,2.02,46.02
200066231,44409.8,1471,1.1,36.36
200066280,17664.0,460,0.6,15.75
200066322,28771.5,1298,0.68,30.69
200066330,16608.3,721,0.67,28.87
200066348,7516.6,668,0.52,46.34
200066355,45076.0,3930,0.35,30.5
200066363,1700.9,210,0.24,29.51
200066371,92574.5,1864,2.05,41.32
200066389,54229.8,1320,0.71,17.22
200066405,5276.2,597,0.1,11.29
200066413,24363.0,903,0.45,16.61
200066462,9472.5,591,0.25,15.71
200066512,33762.3,1006,1.22,36.5
200066520,13097.9,488,1.16,43.11
200066553,10807.9,277,1.37,35.03
200066561,10405.0,512,0.83,40.98
200066587,22573.0,1908,0.64,54.33
200066603,16430.9,345,2.19,46.04
200066637,45176.2,447,3.58,35.46
200066645,17724.5,236,3.6,47.95
200066652,92426.4,2162,2.09,48.88
200066660,68077.1,1057,2.91,45.19
200066678,74183.0,1298,3.52,61.64
200066710,9596.4,438,0.39,17.65
200066728,3642.0,389,0.14,14.87
200066744,63345.1,1180,1.93,36.01
200066751,23055.9,441,2.06,39.48
200066769,19673.4,585,1.51,44.8
200066777,30001.1,1129,0.71,26.62
200066785,25859.3,935,0.66,23.69
200066793,24740.1,3241,0.12,15.4
200066801,9101.8,527,0.34,19.95
200066819,68683.0,1463,2.24,47.68
200066827,3299.2,278,0.11,9.59
200066835,14730.5,559,0.7,26.52
