CODGEO,variete_equip,nb_equip_total,densite_equip_1000hab
59229,13,15,28.46
59230,31,79,15.19
59231,16,17,16.01
59232,4,5,11.49
59233,7,8,22.79
59234,53,148,26.23
59236,5,5,19.01
59237,13,16,16.51
59238,18,33,20.01
59239,34,99,17.65
59240,2,2,15.75
59241,8,10,19.53
59242,8,10,14.39
59243,18,29,23.91
59244,21,34,19.29
59246,10,11,19.43
59247,17,28,16.88
59249,76,288,25.14
59250,30,49,22.37
59251,9,9,23.75
59252,25,46,17.82
59253,41,115,15.36
59254,13,19,21.28
59255,8,11,19.23
59256,35,86,26.65
59257,14,20,18.59
59258,31,55,19.47
59259,7,7,14.06
59260,33,67,16.27
59261,25,33,18.98
59262,21,44,21.43
59263,13,14,13.44
59264,9,13,17.88
59265,23,41,17.83
59266,34,82,20.25
59267,4,4,13.84
59268,46,132,23.58
59269,31,45,30.95
59270,7,7,14.74
59271,66,328,16.13
59272,40,71,14.27
59273,63,234,20.85
59274,10,12,25.26
59275,19,23,18.59
59276,29,57,12.24
59277,4,4,11.53
59278,36,100,21.2
59279,64,319,15.32
59280,12,17,21.94
59281,12,17,13.5
59282,15,15,37.97
59283,8,8,12.78
59284,29,81,20.91
59285,25,44,16.65
59286,61,261,17.69
59287,4,4,20.94
59288,21,37,15.95
59289,18,26,17.43
59290,7,7,18.13
59291,57,229,16.15
59292,24,54,16.62
59293,20,32,22.84
59294,4,5,16.29
59295,82,506,23.54
59296,4,4,11.4
59297,16,28,14.58
59299,56,262,14.0
59300,13,17,30.97
59301,31,60,13.44
59302,28,56,13.56
59303,29,50,21.52
59304,6,6,14.18
59305,23,40,24.48
59306,3,4,13.51
59307,12,18,20.67
59308,15,22,24.1
59309,38,65,16.15
59310,11,11,12.7
59311,8,11,19.1
59312,13,14,19.07
59313,19,26,18.06
59314,31,59,16.69
59315,10,10,11.1
59316,22,49,14.96
59317,42,134,16.97
59318,12,13,13.2
59319,22,35,11.03
59320,23,32,19.23
59321,14,22,34.65
59322,32,64,19.14
59323,17,20,17.26
59324,51,135,13.05
59325,12,13,15.15
59326,14,17,14.39
59327,36,103,16.48
59328,62,366,13.5
59329,37,91,18.47
59330,24,50,20.43
59331,47,95,27.66
59332,27,55,30.56
59333,5,5,20.16
59334,16,30,18.96
59335,26,51,16.98
59336,18,27,19.84
59337,16,22,31.79
59338,10,13,20.67
59339,54,203,21.17
59340,25,45,10.91
59341,8,8,18.1
59342,6,8,35.24
59343,51,202,21.86
59344,17,26,10.44
59345,26,37,15.4
59346,38,140,46.37
59347,7,9,16.95
59348,21,30,20.53
59349,21,33,17.36
59350,93,5971,25.22
59351,7,9,16.7
59352,45,154,18.8
59353,6,9,30.1
59354,9,10,14.01
59356,18,32,14.67
59357,21,40,19.37
59358,16,17,14.1
59359,44,110,18.21
59360,69,343,14.9
59361,29,68,17.83
59363,14,23,25.22
59364,10,15,16.76
59365,55,202,31.78
59366,10,18,23.14
59367,49,220,15.95
59368,68,412,18.32
59369,30,61,15.23
59370,12,15,21.46
59371,15,19,30.25
59372,9,14,29.41
59374,9,9,19.19
59375,38,92,20.27
59377,25,36,19.07
59378,71,657,16.69
59379,7,9,11.81
59381,11,15,18.56
59382,15,25,17.64
59383,49,193,16.05
59384,25,44,30.53
59385,22,37,13.94
59386,53,209,18.64
59387,19,30,15.54
59388,21,29,14.63
59389,25,41,14.79
59390,34,70,17.26
59391,12,12,13.5
59392,82,477,16.41
59393,9,10,10.19
59394,6,7,17.24
59395,6,6,20.83
59396,12,16,22.7
59397,9,12,19.54
59398,30,59,17.56
59399,17,25,23.83
59400,51,181,18.75
59401,29,62,27.48
59402,13,17,20.05
59403,9,11,15.47
59405,7,8,16.36
59406,6,8,18.65
59407,10,10,17.83
59408,18,31,18.2
59409,21,32,12.79
59410,52,260,12.11
59411,27,50,23.93
59412,8,8,29.2
59413,8,9,16.25
59414,38,72,15.38
59415,3,4,17.78
59416,28,50,19.93
59418,25,36,22.73
59419,19,26,18.04
59420,1,1,16.67
59421,54,206,15.64
59422,13,15,23.96
59423,20,25,17.82
59424,15,18,13.79
59425,5,5,16.56
59426,48,222,21.85
59427,8,12,19.35
59428,30,58,14.83
59429,22,43,15.6
59430,12,21,19.21
59431,52,163,21.43
59432,8,10,19.53
59433,15,17,18.83
59434,15,24,17.4
59435,25,45,17.41
59436,14,17,21.25
59437,21,29,34.32
59438,14,17,20.88
59439,4,4,14.39
59440,11,15,22.29
59441,9,13,20.03
59442,4,4,14.65
59443,8,11,29.33
59444,9,11,11.87
59445,18,24,20.2
59446,4,6,8.7
59447,42,120,13.76
59448,8,11,23.31
59449,57,215,25.43
59450,16,17,26.65
59451,12,14,25.09
59452,38,74,12.7
59453,10,14,20.47
59454,7,10,18.94
59455,15,21,20.69
59456,40,98,15.73
59457,39,136,15.96
59458,10,15,14.94
59459,49,165,32.62
59461,3,3,10.2
59462,40,88,18.15
59463,13,21,21.52
59464,25,41,18.76
59465,13,20,25.25
59466,41,94,32.6
59467,22,40,16.6
59468,7,9,20.41
59469,7,9,21.95
59470,18,31,15.05
59471,28,45,21.79
59472,8,13,15.51
59473,2,2,6.58
59474,18,19,18.22
59475,33,58,26.69
59476,42,88,28.13
59477,31,72,16.11
59478,28,58,51.74
59479,28,50,15.97
59480,12,13,15.1
59481,59,168,34.62
59482,43,128,18.5
59483,3,3,21.9
59484,48,115,18.52
59485,20,30,16.66
59486,22,42,15.79
59487,16,23,16.51
59488,25,42,19.74
59489,30,70,17.43
59490,2,2,10.64
59491,54,188,15.6
59492,5,5,8.39
59493,4,8,35.24
59494,4,5,32.47
59495,19,28,11.57
59496,6,7,30.17
59497,28,39,18.33
59498,4,5,14.58
59499,24,37,18.57
59500,7,8,21.28
59501,22,27,21.72
59502,18,26,18.08
59503,3,3,14.71
59504,27,51,13.5
59505,11,16,21.33
59506,5,5,10.5
59507,54,235,12.09
59508,67,346,25.1
59509,36,97,16.23
59511,22,34,17.23
59512,85,2309,23.35
59513,8,8,17.51
59514,25,66,16.32
59515,18,28,42.62
59516,16,25,27.2
59517,14,22,29.41
59518,9,9,19.78
59519,24,38,21.84
59520,14,20,14.0
59521,2,2,4.74
59522,17,26,13.34
59523,30,55,19.31
59524,36,90,15.95
59525,36,66,23.75
59526,71,372,23.28
59527,54,210,16.23
59528,20,27,17.3
59529,7,7,20.17
59530,8,9,27.11
59531,5,5,14.75
59532,6,6,20.27
59533,21,33,21.22
59534,17,28,35.0
59535,22,38,23.14
59536,14,16,18.67
59537,6,6,12.0
59538,5,5,11.96
59539,15,17,17.28
59541,15,21,21.02
59542,10,13,26.75
59543,14,17,15.89
59544,48,158,14.21
59545,14,23,19.12
59546,15,21,18.2
59547,12,14,16.28
59548,8,10,15.2
59549,8,10,30.4
59550,22,42,13.77
59551,19,30,17.26
59552,7,8,41.24
59553,40,83,14.66
59554,15,20,32.41
59555,20,29,20.42
59556,6,7,26.92
59557,32,54,21.15
59558,18,32,19.06
59559,25,31,15.68
59560,61,360,28.05
59562,9,10,18.76
59563,7,8,34.48
59564,42,94,29.91
59565,7,7,10.79
59566,31,71,14.91
59567,9,11,26.51
59568,10,11,22.73
59569,64,238,15.25
59570,26,36,40.45
59571,49,118,27.77
59572,29,46,25.9
59573,1,1,6.99
59574,66,266,22.56
59575,1,1,2.51
59576,22,40,22.83
59577,14,19,27.42
59578,24,39,23.64
59579,16,29,21.25
59580,48,108,24.98
59581,30,67,18.93
59582,12,15,15.86
59583,10,11,23.11
59584,8,11,11.43
59585,29,88,24.21
59586,47,108,16.11
59587,13,18,34.75
59588,44,131,15.62
59589,30,68,22.58
59590,11,15,16.38
59591,10,13,15.78
59592,36,73,18.12
59593,12,13,16.95
59594,11,13,11.71
59595,10,11,20.33
59596,10,13,24.62
59597,13,14,20.11
59598,28,60,15.35
59599,82,1765,17.83
59600,15,16,16.9
59601,38,77,28.74
59602,20,36,25.81
59603,43,115,18.78
59604,9,13,16.07
59605,15,26,17.37
59606,83,1194,27.77
59607,8,9,18.6
59608,16,23,20.57
59609,15,30,19.4
59610,12,16,14.52
59611,27,42,15.71
59612,7,10,19.49
59613,18,22,14.94
59614,17,20,14.5
59615,24,47,17.74
59616,47,138,13.21
59617,7,8,12.56
59618,8,10,11.03
59619,12,15,14.19
59620,11,13,19.49
59622,15,21,18.09
59623,8,9,13.24
59624,33,52,24.12
59625,9,11,28.28
59626,16,18,14.26
59627,13,17,16.9
59628,13,16,28.57
59629,16,23,17.54
59630,24,48,18.43
59631,30,46,21.78
59632,40,103,18.4
59633,9,9,32.14
59634,16,21,26.65
59635,9,10,27.17
59636,48,218,20.19
59637,16,27,20.49
59638,11,16,12.02
59639,18,24,21.8
59640,11,15,19.23
59641,22,34,16.82
59642,6,12,20.2
59643,9,18,76.92
59645,11,14,23.85
59646,71,400,19.2
59647,36,61,23.67
59648,54,198,12.75
59649,4,4,16.6
59650,67,669,16.38
59651,19,32,19.8
59652,3,5,11.79
59653,48,143,18.4
59654,39,123,16.73
59655,6,6,25.32
59656,32,78,14.72
59657,10,12,18.87
59658,5,6,11.03
59659,26,48,17.02
59660,29,50,16.69
59661,3,3,22.9
59662,14,15,11.54
59663,53,128,22.44
59664,6,6,18.35
59665,7,8,26.58
59666,19,25,16.28
59667,5,5,21.01
59668,21,34,21.52
59669,13,15,28.46
59670,14,23,16.29
60001,11,16,26.94
60002,14,20,23.64
60003,6,6,11.76
60004,4,7,17.33
60005,17,21,24.22
60006,17,22,19.21
60007,24,43,14.08
60008,8,10,27.55
60009,33,69,40.4
60010,27,52,29.6
60011,9,9,21.63
60012,24,60,17.75
60013,15,20,14.77
60014,2,2,12.35
60015,15,27,23.71
60016,3,3,11.07
60017,17,26,22.36
60019,7,7,16.95
60020,8,9,33.83
60021,9,11,21.28
60022,10,11,17.19
60023,11,14,26.17
60024,14,14,17.48
60025,25,45,24.28
60026,8,14,24.6
60027,9,9,17.11
60028,5,6,11.34
60029,35,60,20.87
60030,11,14,25.32
60031,6,7,26.72
60032,14,18,25.25
60033,16,17,19.34
60034,12,16,13.77
60035,5,5,20.75
60036,10,10,25.58
60037,5,5,9.78
60039,9,11,22.82
60040,12,23,35.71
60041,25,35,15.07
60042,16,28,19.02
60043,10,13,21.35
60044,22,43,26.08
60045,12,14,25.59
60046,3,4,11.9
60047,20,24,31.91
60048,5,5,17.73
60049,1,1,9.71
60050,8,9,25.57
60051,6,6,34.68
60052,2,2,20.2
60053,11,14,24.22
60054,8,10,11.39
60055,7,8,23.67
60056,1,1,15.38
60057,88,1429,25.21
60058,5,6,28.85
60059,2,2,10.1
60060,10,13,18.84
60061,2,2,26.32
60062,7,7,22.44
60063,9,13,16.09
60064,15,25,26.01
60065,22,31,19.44
60066,2,2,10.1
60067,9,12,12.13
60068,35,66,21.05
60069,25,30,26.76
60070,6,6,13.25
60071,2,2,11.56
60072,4,5,15.92
60073,9,12,21.43
60074,15,21,17.6
60075,2,2,14.08
60076,8,11,21.53
60077,7,7,19.72
60078,2,2,16.81
60079,13,15,15.5
60081,8,9,19.07
60082,14,17,21.96
60083,18,21,21.49
60084,6,7,37.04
60085,7,7,35.9
60086,27,51,23.98
60087,11,12,34.88
60088,37,108,22.57
60089,6,8,20.36
60090,11,12,27.33
60091,6,7,16.59
60092,9,9,43.48
60093,5,7,15.18
60094,8,9,29.03
60095,8,9,26.24
60097,4,4,18.87
60098,4,5,30.49
60099,5,5,28.57
60100,3,3,26.55
60101,13,17,26.19
60102,22,38,18.4
60103,37,116,29.05
60104,52,117,28.15
60105,7,7,16.24
60106,30,49,18.95
60107,31,68,21.66
60108,4,8,27.3
60109,8,8,31.87
60110,5,6,24.49
60111,4,4,27.03
60112,6,6,16.95
60113,4,4,19.51
60114,2,2,13.51
60115,18,25,28.64
60116,29,45,15.45
60117,7,7,23.03
60118,8,9,17.75
60119,18,29,15.28
60120,12,15,12.39
60121,4,4,25.16
60122,8,9,18.48
60123,8,13,26.86
60124,4,4,12.62
60125,15,19,25.47
60126,8,9,17.48
60127,9,13,32.1
60128,6,10,44.84
60129,17,25,17.39
60130,11,13,12.33
60131,3,3,29.13
60132,5,5,27.32
60133,9,11,20.41
60134,31,56,21.1
60135,19,33,20.25
60136,8,11,22.45
60137,4,4,13.75
60138,33,52,50.44
60139,57,277,27.76
60140,6,6,19.61
60141,60,332,31.17
60142,32,71,22.76
60143,45,94,28.09
60144,2,2,11.98
60145,7,7,14.8
60146,5,7,14.8
60147,12,13,16.69
60148,9,11,26.89
60149,25,39,19.45
60150,15,20,17.5
60151,30,53,15.95
60152,8,8,32.92
60153,3,3,29.41
60154,21,33,20.41
60155,30,65,16.29
60156,32,65,29.12
60157,62,218,20.81
60158,4,4,16.53
60159,83,927,22.95
60160,12,13,17.52
60161,1,1,14.08
60162,11,11,35.95
60163,8,10,25.0
60164,19,23,27.25
60165,10,14,26.32
60166,21,29,27.38
60167,11,11,18.58
60168,6,7,32.71
60169,14,18,22.22
60170,7,9,15.71
60171,7,8,45.2
60172,32,67,16.96
60173,9,11,13.63
60174,6,6,27.78
60175,75,701,19.42
60176,72,336,23.63
60177,7,7,15.91
60178,41,96,27.73
60179,3,3,19.23
60180,11,13,26.37
60181,15,18,19.69
60182,6,9,50.56
60183,3,3,12.45
60184,3,3,14.63
60185,14,21,18.95
60186,6,7,27.03
60187,12,19,19.61
60188,29,58,26.84
60189,14,16,16.65
60190,6,6,19.74
60191,11,16,25.72
60192,3,3,13.7
60193,5,5,24.75
60194,6,7,28.69
60195,10,11,21.15
60196,14,27,25.52
60197,14,20,21.16
60198,4,4,10.42
60199,7,7,27.56
60200,6,6,18.87
60201,4,4,16.88
60203,4,4,9.43
60204,6,7,23.26
60205,2,2,40.82
60206,12,20,22.27
60207,5,5,17.54
60208,3,3,25.21
60209,13,20,36.76
60210,8,10,36.36
60211,11,11,18.46
60212,16,24,14.85
60213,18,29,30.62
60214,4,5,26.46
60215,7,7,11.76
60216,4,4,21.62
60217,4,6,27.65
60218,17,28,17.04
60219,4,4,23.12
60220,9,11,21.87
60221,11,13,17.88
60222,9,13,24.3
60223,38,86,23.29
60224,5,5,29.76
60225,11,12,14.53
60226,7,7,16.71
60227,5,5,22.32
60228,5,5,10.68
60229,3,3,12.93
60230,8,11,20.99
60231,11,14,32.11
60232,15,19,41.58
60233,24,32,23.62
60234,31,63,24.44
60235,10,13,19.4
60236,4,4,18.02
60237,3,3,34.48
60238,25,40,21.89
60239,16,18,30.98
60240,3,3,12.82
60241,10,10,30.49
60242,6,7,13.89
60243,6,8,45.71
60244,1,1,6.8
60245,43,76,36.1
60247,4,4,27.59
60248,6,8,36.7
60249,3,4,20.51
60250,8,8,19.37
60251,6,7,24.31
60252,7,8,15.27
60253,7,13,26.1
60254,10,10,18.28
60255,5,5,15.2
60256,17,30,22.59
60257,10,11,25.0
60258,2,2,12.58
60259,13,17,19.38
60260,8,9,13.33
60261,6,10,18.45
60262,4,4,16.88
60263,4,5,18.94
60264,6,7,13.57
60265,24,34,34.98
60267,1,1,6.1
60268,5,6,17.34
60269,5,5,14.45
60270,10,10,30.12
60271,2,8,97.56
60272,8,10,15.77
60273,4,5,9.49
60274,5,7,18.87
60275,3,3,13.7
60276,8,8,39.22
60277,24,41,26.1
60278,7,12,29.56
60279,4,4,20.0
60280,3,3,28.3
60281,16,18,33.52
60282,55,166,18.6
60283,1,1,62.5
60284,20,28,15.54
60285,4,4,13.25
60286,52,110,39.48
60287,6,7,19.23
60288,5,6,12.58
60289,5,5,18.8
60290,8,10,25.91
60291,32,47,26.46
60292,1,1,4.27
60293,8,9,23.87
60294,2,2,23.53
60295,11,15,34.01
60296,3,3,22.56
60297,1,1,5.29
60298,11,13,19.97
60299,8,8,14.84
60301,1,1,7.63
60302,15,19,24.52
60303,3,3,15.46
60304,7,7,25.83
60305,3,5,14.58
60306,4,4,26.14
60307,14,17,25.95
60308,9,10,21.41
60309,20,25,27.72
60310,8,10,16.64
60311,7,7,29.41
60312,3,3,26.79
60313,25,62,24.82
60314,2,2,6.02
60315,8,11,22.54
60316,5,5,21.46
60317,9,13,17.88
60318,9,11,16.62
60319,7,9,14.98
60320,3,3,11.72
60321,17,20,23.42
60322,4,4,12.66
60323,8,9,14.04
60324,13,15,17.36
60325,38,78,34.45
60326,6,11,18.46
60327,17,23,21.74
60328,6,6,20.07
60329,4,6,29.7
60330,15,22,16.48
60331,8,9,20.09
60332,9,12,16.85
60333,22,32,20.3
60334,9,15,17.94
60335,3,3,19.48
60336,5,6,32.09
60337,12,17,21.44
60338,43,121,24.31
60339,6,6,16.95
60340,11,13,24.76
60341,30,55,26.76
60342,32,88,18.46
60343,10,13,21.59
60344,8,8,15.75
60345,7,7,36.84
60346,60,224,24.91
60347,3,3,10.56
60348,8,15,29.07
60350,34,45,32.07
60351,3,3,25.42
60352,3,3,17.65
60353,3,4,21.62
60354,1,1,34.48
60355,18,22,19.11
60356,11,13,20.22
60357,10,10,18.08
60358,13,15,14.81
60359,4,4,20.0
60360,38,113,16.18
60361,13,16,27.49
60362,2,2,11.36
60363,13,13,58.82
60364,14,17,24.32
60365,7,7,16.47
60366,8,9,24.66
60367,3,4,12.12
60368,28,58,22.35
60369,32,62,30.85
60370,15,20,15.19
60371,4,5,33.11
60372,14,18,27.31
60373,13,18,22.39
60374,36,69,27.01
60375,9,13,33.42
60376,4,4,22.47
60377,5,6,21.28
60378,9,10,26.32
60379,12,14,23.03
60380,25,38,23.76
60381,5,6,23.62
60382,48,160,18.36
60383,9,9,16.79
60385,9,10,15.38
60386,3,5,10.46
60387,31,39,27.03
60388,3,3,22.22
60389,4,5,20.66
60390,9,9,27.11
60391,2,2,9.26
60392,10,14,17.72
60393,10,12,19.97
60394,1,1,9.62
60395,57,281,19.62
60396,12,20,32.26
60397,3,3,42.25
60398,29,59,25.33
60399,5,6,23.9
60400,4,4,14.98
60401,9,15,19.08
60402,29,43,18.53
60403,24,42,22.83
60404,16,106,71.14
60405,18,30,26.43
60406,16,24,26.4
60407,3,6,27.78
60408,7,10,12.82
60409,20,34,15.74
60410,5,6,24.19
60411,12,13,16.86
60412,13,20,29.41
60413,8,9,21.28
60414,57,264,19.27
60415,3,3,20.83
60416,3,3,17.86
60418,11,11,27.36
60420,8,11,21.57
60421,9,10,25.32
60422,4,4,19.61
60423,9,11,9.5
60424,5,7,24.91
60425,14,21,42.94
60426,2,2,8.06
60427,6,6,32.61
60428,11,13,19.94
60429,6,7,17.37
60430,21,34,31.6
60431,9,10,19.01
60432,16,18,20.36
60433,12,19,19.17
60434,1,1,4.55
60435,13,13,26.1
60436,1,1,13.16
60437,2,2,25.32
60438,2,2,10.47
60439,44,138,26.01
60440,12,13,22.03
60441,18,29,42.27
60442,6,6,43.17
60443,9,13,22.18
60444,1,1,6.85
60445,9,9,29.61
60446,40,85,20.31
60447,7,7,10.89
60448,9,11,28.28
60449,5,5,17.92
60450,38,88,21.58
60451,22,30,18.61
60452,10,14,29.29
60454,19,27,28.54
60456,23,26,28.57
60457,5,6,36.81
60458,8,9,29.32
60459,6,6,29.27
60460,2,3,14.85
60461,8,8,39.02
60462,30,72,25.38
60463,62,376,17.58
60464,13,21,18.45
60465,3,3,16.67
60466,4,5,19.16
60468,6,8,26.67
60469,9,11,30.99
60470,19,25,27.84
60471,75,352,27.1
60472,4,4,34.78
60473,5,5,16.08
60474,8,9,31.47
60476,3,3,14.85
60477,24,41,29.75
60478,3,4,10.9
60479,12,13,17.47
60480,7,7,12.84
60481,6,6,9.97
60482,33,57,16.5
60483,12,13,24.95
60484,4,4,13.65
60485,5,5,20.83
60486,13,15,26.32
60487,6,6,18.63
60488,6,6,22.22
60489,12,17,14.13
60490,3,4,10.93
60491,29,56,29.76
60492,14,17,19.95
60493,8,10,19.42
60494,31,40,21.97
60495,5,5,12.14
60496,4,6,36.14
60497,5,6,28.3
60498,10,12,22.51
60499,3,3,12.82
60500,44,124,32.7
60501,16,21,15.96
60502,3,3,29.7
60503,2,2,17.86
60504,17,23,20.19
60505,10,18,20.25
60506,13,17,25.19
60507,3,3,6.67
60508,25,60,18.46
60509,56,244,19.85
60510,14,21,31.2
60511,6,9,21.95
60512,3,3,18.99
60513,27,65,19.94
60514,6,6,24.39
60515,8,10,26.95
60516,4,4,9.95
60517,8,10,11.89
60518,5,5,24.51
60519,3,3,17.34
60520,5,5,22.42
60521,8,11,27.3
60522,3,3,9.52
60523,13,21,23.36
60524,29,76,29.93
60525,2,2,16.39
60526,13,18,17.08
60527,3,4,27.59
60528,5,5,41.67
60529,1,1,13.33
60530,1,1,4.69
60531,21,36,18.25
60533,42,70,40.39
60534,11,12,18.66
60535,7,10,30.4
60536,4,4,30.77
60537,36,80,21.36
60538,1,1,3.39
60539,22,39,25.19
60540,11,18,28.8
60541,5,5,14.2
60542,17,30,29.91
60543,3,3,25.64
60544,4,4,20.94
60545,12,16,30.42
60546,2,2,14.18
60547,10,14,22.51
60548,8,9,14.88
60549,2,2,8.81
60550,5,6,26.43
60551,6,7,24.22
60552,5,5,20.33
60553,3,3,11.03
60554,6,6,12.68
60555,1,1,15.62
60556,8,12,58.25
60557,4,5,15.53
60558,7,7,15.38
60559,10,18,21.28
60560,15,18,24.42
60561,3,5,22.12
60562,20,31,19.58
60563,9,9,14.31
60564,5,5,17.54
60565,11,13,25.19
60566,2,2,10.0
60567,18,25,21.22
60568,4,4,11.8
60569,4,4,22.99
60570,22,33,20.81
60571,3,3,37.04
60572,8,11,38.73
60573,4,4,11.83
60574,11,15,24.47
60575,34,98,28.41
60576,8,11,23.45
60577,24,47,27.81
60578,12,16,15.04
60579,5,5,15.06
60581,45,124,20.46
60582,15,16,21.33
60583,9,13,34.95
60584,43,97,21.06
60585,11,11,39.71
60586,13,18,17.09
60587,22,38,26.35
60588,7,8,21.11
60589,62,291,98.95
60590,18,25,20.1
60591,17,21,13.19
60592,9,10,14.53
60593,3,3,21.28
60594,5,7,25.0
60595,8,8,18.26
60596,5,5,21.01
60597,21,39,22.38
60598,12,18,17.26
60599,5,6,20.83
60600,9,12,18.75
60601,15,25,24.2
60602,2,3,54.55
60603,10,14,15.7
60604,5,6,22.56
60605,4,4,11.43
60608,1,1,9.52
60609,13,18,19.5
60610,10,12,15.79
60611,11,16,27.44
60612,71,404,26.48
60613,7,7,20.35
60614,4,4,20.83
60615,5,5,38.17
60616,29,59,21.24
60617,8,11,40.15
60618,2,5,18.12
60619,15,17,14.23
60620,11,13,28.7
60621,1,1,7.46
60622,7,8,16.7
60623,30,46,48.63
60624,1,1,5.95
60625,7,8,14.41
60626,10,11,16.85
60627,3,3,11.9
60628,16,28,24.87
60629,5,5,25.91
60630,6,6,30.3
60631,18,27,24.98
60632,10,17,22.61
60633,7,7,17.81
60634,7,7,15.98
60635,13,19,17.59
60636,50,121,27.15
60637,8,8,16.6
60638,11,16,23.81
60639,23,39,30.66
60640,3,3,17.75
60641,23,36,21.09
60642,10,16,15.19
60643,22,34,24.91
60644,40,67,35.34
60645,5,5,16.34
60646,23,36,26.57
60647,26,45,22.11
60648,4,5,15.67
60650,6,6,11.52
60651,22,42,21.98
60652,15,22,24.39
60653,5,5,16.72
60654,5,5,19.23
60655,5,5,13.77
60656,2,2,7.3
60657,6,8,32.92
60658,3,3,4.3
60659,2,3,17.96
60660,7,7,17.2
60661,13,20,20.14
60662,4,5,9.88
60663,4,4,16.06
60664,8,10,22.52
60665,53,121,43.09
60666,13,23,20.12
60667,36,88,23.04
60668,7,9,12.38
60669,9,10,20.7
60670,28,86,18.17
60671,13,13,37.46
60672,7,7,25.45
60673,6,6,27.15
60674,12,18,30.15
60675,7,11,25.94
60676,15,19,25.33
60677,3,4,16.0
60678,18,27,23.3
60679,4,4,27.4
60680,13,22,31.43
60681,12,15,32.12
60682,12,16,22.25
60683,6,7,17.99
60684,39,99,15.18
60685,18,26,25.74
60686,27,44,19.11
60687,4,7,18.87
60688,2,2,13.33
60689,10,16,11.36
60691,6,7,59.83
60692,7,8,57.97
60693,4,4,10.05
60694,7,10,
60695,31,47,33.98
60697,1,1,29.41
60698,6,6,21.2
60699,3,3,18.29
60700,19,34,28.33
60701,18,28,21.05
60702,5,5,20.49
60703,7,8,8.88
62001,20,29,14.96
62002,3,3,12.88
62003,8,9,15.28
62004,51,128,16.12
62005,18,23,23.83
62006,4,4,12.9
62007,14,19,23.84
62008,10,16,20.13
62009,2,2,7.04
62010,2,2,7.84
62011,13,15,23.15
62012,6,6,23.53
62013,20,27,14.37
62014,73,289,30.15
62015,5,5,19.84
62016,3,3,15.96
62017,2,2,9.9
62018,6,6,22.22
62019,31,67,17.12
62020,7,9,14.33
62021,5,6,15.87
62022,14,18,59.8
62023,18,51,17.88
62024,13,17,17.15
62025,22,42,20.99
62026,5,5,42.02
62027,1,1,4.72
62028,7,7,10.89
62029,7,8,17.24
62030,6,6,19.74
62031,19,28,18.19
62032,36,73,15.08
62033,27,74,16.38
62034,23,40,18.65
62035,36,89,15.31
62036,18,20,27.55
62037,27,43,15.32
62038,49,122,27.74
62039,10,17,18.7
62040,57,191,19.78
62041,86,1170,27.46
62042,14,18,17.0
62043,28,47,22.9
62044,23,30,35.17
62045,36,66,44.59
62046,12,16,21.8
62047,1,1,6.9
62048,54,209,20.77
62049,8,8,14.81
62050,28,32,20.9
62051,41,126,27.26
62052,7,9,20.13
62053,9,16,23.67
62054,9,15,24.12
62055,3,3,5.73
62056,11,28,44.87
62057,56,131,24.31
62058,1,1,5.0
62059,8,12,41.81
62060,43,82,32.08
62061,10,11,37.8
62062,1,1,19.23
62063,33,57,31.75
62064,2,2,12.12
62065,54,255,14.43
62066,1,1,29.41
62067,9,9,15.87
62068,4,4,12.27
62069,9,11,36.07
62070,4,5,18.87
62071,9,11,26.96
62072,3,3,13.82
62073,24,27,18.88
62074,7,7,30.43
62075,17,23,17.5
62076,4,5,23.26
62077,7,9,25.0
62078,15,18,14.69
62079,2,2,23.53
62080,52,127,34.02
62081,18,26,57.91
62082,3,3,9.35
62083,41,114,15.48
62084,2,2,9.85
62085,4,5,37.88
62086,9,10,24.51
62087,11,14,13.85
62088,7,7,20.77
62089,6,9,22.33
62090,1,1,7.94
62091,1,1,10.64
62092,6,6,14.81
62093,4,4,18.02
62094,9,9,22.96
62095,2,2,8.51
62096,7,9,16.42
62097,18,29,29.06
62099,47,126,22.85
62100,30,60,29.27
62101,1,1,7.52
62102,7,8,28.99
62103,6,6,47.24
62104,6,8,18.18
62105,6,6,11.03
62106,4,5,23.81
62107,8,9,26.24
62108,76,418,31.43
62109,1,1,4.61
62111,8,9,32.61
62112,6,9,17.21
62113,10,11,22.36
62114,2,2,11.83
62115,10,10,21.51
62116,1,1,5.85
62117,20,22,24.04
62118,4,4,27.78
62119,82,725,29.01
62120,9,10,21.55
62121,2,3,16.48
62122,4,4,11.14
62123,8,8,14.79
62124,8,9,20.5
62125,7,9,19.61
62126,47,175,19.21
62127,4,4,10.55
62128,37,81,18.08
62129,1,1,10.53
62130,15,21,31.87
62131,4,4,12.01
62132,32,86,17.0
62133,46,154,18.97
62134,2,2,19.05
62135,1,1,3.27
62137,1,1,10.99
62138,16,18,25.57
62139,31,74,15.08
62140,6,6,12.32
62141,9,11,12.21
62142,2,2,12.66
62143,1,1,20.83
62144,8,9,19.19
62145,9,10,22.88
62146,8,8,30.42
62147,9,9,22.84
62148,14,17,20.56
62149,6,6,24.0
62150,6,6,12.05
62151,7,9,17.51
62152,3,3,11.9
62153,10,13,20.31
62154,9,9,13.33
62155,7,10,15.92
62156,9,9,15.38
62157,1,1,13.7
62158,12,18,31.3
62160,83,891,21.78
62161,10,12,15.19
62162,8,8,13.75
62163,3,3,12.1
62164,14,17,14.91
62165,4,4,17.47
62166,12,17,28.33
62167,5,5,20.16
62168,15,25,29.69
