CODGEO,variete_equip,nb_equip_total,densite_equip_1000hab
77172,14,22,24.77
77173,11,14,17.03
77174,14,15,26.32
77175,22,60,19.05
77176,33,69,22.9
77177,8,14,11.3
77178,10,11,22.09
77179,9,13,21.67
77180,13,23,18.33
77181,33,93,24.21
77182,54,157,32.57
77183,65,260,26.77
77184,9,11,18.27
77185,7,7,10.67
77186,74,542,33.99
77187,10,16,27.59
77188,15,18,17.95
77190,10,12,45.11
77191,15,22,20.56
77192,53,179,31.09
77193,6,6,25.1
77194,6,9,21.38
77195,12,15,24.71
77196,16,20,20.92
77197,3,3,17.44
77198,5,5,21.19
77199,14,18,12.94
77200,2,2,16.39
77201,7,8,11.38
77202,11,18,22.11
77203,11,20,14.87
77204,4,4,19.51
77205,5,5,34.25
77206,4,5,26.74
77207,8,9,57.32
77208,22,35,26.22
77209,14,24,20.37
77210,26,50,17.4
77211,11,18,17.75
77212,6,6,37.27
77214,11,13,16.25
77215,49,214,25.01
77216,22,36,25.07
77217,23,79,28.74
77218,3,5,46.73
77219,21,49,18.46
77220,6,6,22.73
77221,13,21,18.29
77222,31,84,19.03
77223,6,8,14.18
77224,11,12,47.24
77225,3,5,14.88
77226,24,43,17.12
77227,12,19,30.55
77228,3,3,11.58
77229,19,54,32.24
77230,3,3,18.87
77231,13,17,21.28
77232,11,16,14.04
77233,7,9,14.93
77234,13,19,27.82
77235,5,5,15.72
77236,7,8,23.19
77237,16,29,45.24
77238,28,78,18.12
77239,24,41,26.87
77240,21,44,19.89
77241,23,39,19.31
77242,7,9,16.76
77243,68,532,25.1
77244,13,19,26.65
77245,6,9,22.78
77246,7,10,17.27
77247,6,9,20.69
77248,7,12,15.54
77249,43,133,18.73
77250,5,7,42.42
77251,66,429,31.07
77252,12,22,38.39
77253,4,4,12.12
77254,12,18,13.78
77255,19,39,17.61
77256,2,2,10.93
77257,35,104,29.55
77258,52,240,16.38
77259,20,42,15.74
77260,24,33,18.33
77261,19,28,23.08
77262,10,13,26.37
77263,5,6,26.09
77264,14,36,24.05
77265,14,18,16.82
77266,13,16,20.36
77267,6,10,28.57
77268,32,130,14.34
77269,20,41,22.37
77270,15,23,24.01
77271,3,3,21.9
77272,15,20,23.31
77273,5,5,8.28
77274,7,9,19.61
77275,3,3,19.74
77276,38,101,30.57
77277,19,52,28.21
77278,7,8,19.42
77279,20,33,18.21
77280,14,15,13.46
77281,7,9,18.75
77282,15,26,72.63
77283,12,19,21.02
77284,82,1222,21.97
77285,59,344,17.02
77286,3,3,12.88
77287,6,7,13.94
77288,81,1092,25.77
77289,5,6,17.29
77290,7,12,17.24
77291,26,62,61.02
77292,16,19,15.66
77293,14,23,26.5
77294,59,454,22.01
77295,17,24,17.51
77296,56,287,15.73
77297,3,4,12.31
77298,6,6,13.54
77300,8,12,19.23
77301,6,8,24.84
77302,24,38,19.74
77303,2,2,8.55
77304,2,2,76.92
77305,71,526,23.63
77306,14,21,42.42
77307,58,262,18.8
77308,12,19,26.39
77309,23,41,23.44
77310,7,9,29.8
77311,21,32,23.12
77312,27,66,25.18
77313,4,4,16.39
77314,7,8,32.65
77315,29,83,21.85
77316,63,265,21.06
77317,37,92,17.62
77318,20,33,23.31
77319,4,4,28.57
77320,39,133,22.44
77321,6,9,13.62
77322,32,64,19.57
77323,16,25,16.94
77325,5,6,16.57
77326,32,78,12.39
77327,58,201,22.59
77328,5,5,12.29
77329,15,19,27.58
77330,48,170,25.0
77331,5,6,14.29
77332,7,7,23.81
77333,70,364,27.6
77335,42,101,27.63
77336,12,21,17.27
77337,60,233,15.07
77338,10,14,23.53
77339,15,26,14.27
77340,10,13,21.63
77341,7,8,20.83
77342,1,1,8.7
77343,14,18,47.62
77344,22,35,14.23
77345,13,21,31.82
77347,13,21,24.56
77348,3,4,16.6
77349,35,93,13.8
77350,67,517,24.99
77352,22,43,21.83
77353,4,5,10.82
77354,15,30,31.58
77355,5,6,34.09
77356,1,1,22.73
77357,16,21,24.82
77358,14,25,18.46
77359,26,51,25.0
77360,11,16,40.2
77361,12,15,32.12
77363,28,53,34.24
77364,4,5,19.38
77365,10,12,19.51
77366,2,2,6.85
77367,6,6,20.83
77368,11,11,21.83
77369,9,14,18.32
77370,9,16,20.57
77371,21,72,23.88
77372,27,69,16.59
77373,72,948,24.78
77374,20,46,21.34
77376,11,14,17.97
77377,27,39,16.86
77378,27,87,24.45
77379,82,385,32.2
77380,5,5,15.67
77381,8,20,30.49
77382,30,110,20.24
77383,14,20,24.07
