code_epci,libepci,n_communes,n_ecoles_c108,n_equipements,n_carreaux,pop_insee,pct_habitat_zone_ecole_15,pct_equipements_zone_ecole_15
247100639,CC de Marcigny,12,5,78,840,5448,48.72,57.69
247100647,CC Bresse Nord Intercom,16,2,84,979,5914,27.67,39.29
247103765,CC Entre Saône et Grosne,23,3,116,680,10274,20.82,31.9
247103864,CC du Canton de Semur-en-Brionnais,14,4,57,918,4562,25.81,33.33
247104094,CC Sud Côte Chalonnaise,36,6,142,889,10591,35.01,38.03
247200090,CC de Sablé-sur-Sarthe,17,24,212,1599,25488,86.44,92.45
247200132,CU Le Mans Métropole,19,40,1069,2691,187533,89.22,85.31
247200348,CC du Pays Fléchois,14,20,201,1918,25254,81.84,93.53
247200421,CC du Sud Est du Pays Manceau,5,2,101,1264,17174,15.78,22.77
247200447,CC Orée de Bercé - Belinois,8,7,135,1295,18214,60.38,79.26
247200629,CC du Val de Sarthe,16,17,190,1939,28828,57.12,63.68
247200686,CC du Pays de l'huisne Sarthoise,33,17,228,2122,25448,69.89,78.07
247300015,CC des Vallées d'Aigueblanche,3,10,46,321,6988,91.7,84.78
247300254,CC de Haute-Tarentaise,8,8,178,521,14302,55.79,47.19
247300262,CC de Yenne,13,4,60,586,6858,25.01,21.67
247300361,CC du Canton de la Chambre,12,8,77,354,5947,88.82,74.03
247300452,CC Maurienne Galibier,6,4,54,230,4535,41.6,37.04
247300528,CC Val Guiers,11,5,106,818,10380,63.44,66.04
247300668,CC du Lac d'Aiguebelette (Ccla),10,6,47,559,5683,56.32,61.7
247300676,CC Porte de Maurienne,11,5,60,436,6028,70.32,70.0
247300817,CC Les Versants d'Aime,4,13,109,412,9362,91.61,89.91
247400047,CC de la Vallée Verte,8,5,49,520,7310,79.1,91.84
247400112,CC du Pays de Cruseilles,13,10,98,731,15524,82.84,91.84
247400567,CC Fier et Usses,7,10,97,499,15362,92.97,93.81
247400583,CC Arve et Salève,8,12,90,852,16460,85.1,84.44
247400617,CC des Vallées de Thônes,12,12,156,1193,18431,67.28,80.13
247400666,CC des Quatre Rivières,11,10,112,915,16567,69.17,83.93
247400682,CC du Haut-Chablais,15,13,141,893,11642,61.04,75.18
247400690,CC du Genevois,17,21,208,980,37967,78.03,80.29
247400724,CC du Pays Rochois,9,8,152,856,25416,73.88,86.18
247400740,CC Rumilly Terre de Savoie,17,19,172,1239,28647,84.12,91.28
247400773,CC des Sources du Lac d'Annecy,7,9,104,503,14182,89.54,97.12
247600497,CC du Canton de Criquetot-l'Esneval,21,10,131,952,14946,64.23,69.47
247600505,CC Campagne-De-Caux,22,10,126,886,13529,52.22,47.62
247600539,CC Caux Estuaire,16,13,121,856,16794,64.29,56.2
247600588,CC des Villes Soeurs,28,20,267,1054,31880,84.06,89.89
247600596,CA Havraise (Co.D.A.H.),17,26,1026,1775,210502,73.7,76.12
247600604,CC de Londinières,16,2,53,486,4850,17.14,16.98
247600620,CC de la Région d'Yvetot,19,13,186,1000,22696,82.18,83.33
247600646,CC Caux - Austreberthe,9,10,165,636,21814,80.38,80.61
247600729,CC Falaises du Talou,24,10,158,1209,22711,42.98,48.73
247600786,CA de la Région Dieppoise,16,8,308,866,40684,62.92,70.13
247700032,CC Moret Seine et Loing,18,9,205,989,35942,64.18,63.41
247700057,CA Melun Val de Seine,20,16,616,1020,110428,83.49,80.03
247700065,CC du Pays de l'Ourcq,22,11,135,455,16118,54.88,54.81
247700107,CC Pays de Montereau,21,6,273,778,37766,57.78,58.97
247700339,CA Val d'Europe Agglomération,7,12,170,294,33722,97.28,97.06
247700438,CC Pays Créçois,19,8,178,667,32021,54.48,62.36
247700594,CA Marne et Gondoire,20,16,465,722,91946,81.83,75.7
247700644,CC l'Orée de la Brie,4,4,195,284,26941,77.03,82.05
247700701,CC Brie Nangissienne,20,6,171,618,26812,46.42,50.88
247800550,CC du Pays Houdanais (C.C.P.H.),36,16,221,1219,26117,55.63,64.71
247800584,CA Versailles Grand Parc (C.A.V.G.P.),18,35,1050,1026,224624,89.62,86.38
247800618,CC Coeur d'Yvelines,31,15,306,1255,42301,37.65,39.22
247900798,CC du Thouarsais,24,25,245,2010,33101,67.85,83.27
248000499,CC du Val de Somme,33,10,210,626,23927,50.08,54.76
248000531,CA Amiens Métropole,39,49,891,1551,145812,90.95,81.82
248000747,CC du Pays du Coquelicot,65,14,249,1072,25342,59.91,54.22
248100158,CC du Sor et de l'Agout,26,18,192,1943,21268,73.26,85.94
248100430,CA de Castres Mazamet,14,40,525,2531,71561,85.5,88.19
248100497,CC Val 81,19,4,66,858,4415,30.15,43.94
248100737,CA de l'Albigeois (C2a),16,32,595,2350,73494,85.11,90.08
248100745,CC Thoré Montagne Noire,9,4,59,326,3911,66.45,84.75
248200016,CC des Deux Rives,28,11,172,1767,16243,66.37,74.42
248200057,CC du Quercy Caussadais,19,6,199,2284,18976,41.62,59.3
248200065,CC de la Lomagne Tarn-et-Garonnaise,31,5,113,1318,8686,47.57,44.25
248200099,CA Grand Montauban,10,26,545,3162,75336,75.47,77.43
248200107,CC du Quercy Rouergue et des Gorges de l'Aveyron,17,4,106,1423,6880,19.67,45.28
248300394,CA Sud Sainte-Baume,9,5,397,2372,65866,38.58,38.54
248300410,CC de la Vallée du Gapeau,5,2,198,794,27962,39.84,43.94
248300493,CA Dracénoise,23,23,703,4826,104318,53.63,59.6
248300543,Métropole Toulon-Provence-Méditerranée,12,30,2235,4334,399486,68.88,67.87
248300550,CC Coeur du Var,11,5,289,2232,40998,25.59,32.18
248400053,CA Ventoux-Comtat-Venaissin (Cove),25,11,481,3415,67355,44.75,48.23
248400160,CC Aygues-Ouvèze en Provence (Ccaop),8,6,134,1039,19564,52.01,50.75
248400236,CC du Pays Réuni d'Orange,5,9,298,1606,43306,77.57,71.81
248400251,CA du Grand Avignon (Coga),16,21,1157,2959,181828,70.75,70.7
248400285,CC Territoriale Sud-Luberon,16,10,188,1723,22754,39.61,45.21
248400293,CC des Sorgues du Comtat,5,11,336,1812,48880,78.09,80.36
248400319,CC du Pays des Sorgues et des Monts de Vaucluse,5,5,199,1357,32082,66.7,74.87
248400335,CC Vaison Ventoux,19,14,179,1482,15870,52.49,53.63
248500191,CC de l'Ile de Noirmoutier,4,7,80,467,9587,79.91,93.75
248500258,CC Océan Marais de Monts,5,10,131,1571,21120,62.75,83.97
248500340,CC Pays de Chantonnay,10,21,170,1322,21927,75.06,94.12
248500415,CC du Pays de la Châtaigneraie,14,19,157,1071,12304,76.83,84.71
248500464,CC du Pays de Pouzauges,10,19,175,1384,22016,70.81,90.86
248500530,CC du Pays des Achards,9,18,142,1073,19224,85.18,92.96
248500563,"CC Vendée, Sèvre, Autise",15,17,138,1120,15066,64.64,83.33
248500589,CA La Roche-sur-Yon Agglomération,13,27,564,2891,93042,84.14,87.06
248500621,CC du Pays des Herbiers,8,15,201,1291,29974,77.12,85.07
248500662,CC du Pays de Mortagne,11,18,184,1215,25722,89.92,96.2
248600413,CA Grand Châtellerault,47,37,605,4789,76922,65.96,69.75
248600447,CC du Pays Loudunais,45,13,245,2094,21916,44.57,54.69
248700189,CC du Pays de Saint-Yrieix,9,7,109,1647,10940,55.5,81.65
248719262,CC Gartempe - Saint-Pardoux,6,4,57,700,4800,43.31,68.42
248719288,CC du Val de Vienne,9,5,96,1137,14308,43.75,57.29
248719312,CA Limoges Métropole,20,28,1016,4580,179573,60.99,61.32
248719338,CC Briance Combade,10,2,58,882,4885,12.86,22.41
248719353,CC des Portes de Vassivière,12,3,81,830,4846,25.94,40.74
248719361,CC de Noblat,12,7,105,1322,10498,27.32,50.48
248900334,CA du Grand Sénonais,27,17,438,1449,55554,70.02,74.2
248900383,CC de l'Agglomération Migennoise,8,4,96,316,13137,65.03,70.83
248900524,CC de l'Aillantais,13,7,82,759,9688,46.93,58.54
248900664,CC de la Vanne et du Pays d'Othe,22,5,88,637,7964,28.23,34.09
248900748,CC du Gâtinais en Bourgogne,26,9,136,1376,16450,29.15,39.71
248900896,CC Yonne Nord,23,11,186,939,24046,43.89,49.46
248900938,CC du Jovinien,19,9,165,917,18634,49.77,55.76
249000241,CC du Sud Territoire,27,9,180,688,21602,53.37,56.11
249100074,CC du Pays de Limours (Ccpl),14,8,160,556,24458,32.08,33.12
249100157,CC des Deux Vallées,15,4,129,613,17761,19.13,16.28
249100546,CC du Val d'Essonne (Ccve),21,8,302,901,56573,52.01,53.31
249100553,CC Entre Juine et Renarde (Ccejr),16,7,134,571,25739,66.15,67.16
249100595,CC Le Dourdannais en Hurepoix (Ccdh),11,6,153,540,25534,61.34,65.36
249500109,CA de Cergy-Pontoise,13,40,901,961,181266,98.1,96.34
249500430,CC Sausseron Impressionnistes,15,8,130,447,16874,65.85,60.77
249500455,CC de la Vallée de l'Oise et des Trois Forêts,9,9,191,480,35550,80.34,74.87
249500489,CC du Haut Val d'Oise,9,13,190,324,34674,97.82,96.84
249500513,CC du Vexin-Val de Seine,26,11,152,569,14623,71.34,73.68
249710047,CC de Marie-Galante,3,2,117,0,0,,38.46
249710062,CA du Nord Basse-Terre,6,21,488,0,0,,70.9
249710070,CA Grand Sud Caraïbe,11,16,584,0,0,,61.82
249720053,CA de l'Espace Sud de la Martinique,12,31,707,0,0,,52.05
249720061,CA du Centre de la Martinique,4,41,1045,0,0,,84.4
249730037,CC de l'Ouest Guyanais,8,32,240,0,0,,79.58
249730045,CA du Centre Littoral,6,31,848,0,0,,90.92
249730052,CC de l'Est Guyanais,4,8,42,0,0,,97.62
249740077,CA Civis (Communauté Intercommunale des Villes Solidaires),6,41,967,0,0,,79.21
249740085,CA du Sud,4,46,619,0,0,,83.84
249740093,CA Intercommunale de la Réunion Est (Cirest),6,45,745,0,0,,84.43
249740101,CA Territoire de la Côte Ouest (Tco),5,67,1111,0,0,,85.51
249740119,CA Intercommunale du Nord de la Réunion (Cinor),3,44,1061,0,0,,93.5
EPTPC,EPT Plaine Commune,8,27,1840,597,294176,96.27,94.62
ZZZZZZZZZ,Sans objet,4,5,69,467,5926,79.14,91.3
