code_epci,libepci,n_communes,n_ecoles_c108,n_equipements,n_carreaux,pop_insee,pct_habitat_zone_ecole_15,pct_equipements_zone_ecole_15
242900835,CA Morlaix Communauté,26,43,474,4352,57072,72.87,81.43
243000270,CC du Pays Viganais,21,6,108,744,8612,56.44,62.96
243000296,CC du Pays de Sommières,18,10,167,761,23274,65.07,68.26
243000569,"CC Rhony, Vistre, Vidourle",10,5,166,554,26582,46.02,49.4
243000585,CC Beaucaire Terre d'Argence,5,5,187,1018,31504,69.07,70.05
243000593,CC de Petite Camargue,5,4,147,767,27818,51.54,53.06
243000643,CA de Nîmes Métropole,39,37,1561,4132,246346,71.73,71.81
243000650,CC Terre de Camargue,3,2,146,535,22705,38.13,36.99
243000684,CC du Pont du Gard,17,11,200,906,25049,41.91,36.5
243100518,Toulouse Métropole,37,87,3677,5979,684008,85.57,85.91
243100567,CC Lauragais Revel Sorezois,28,12,170,1556,19763,64.94,77.65
243100633,CA du Sicoval,36,21,445,2124,71688,59.76,65.62
243100732,CC des Coteaux du Girou,18,8,144,1521,21450,53.05,65.28
243100773,CC Val'Aïgo,8,5,106,896,14513,59.08,63.21
243100781,CC de la Save au Touch,7,7,196,866,38943,71.02,79.08
243100815,CC des Coteaux Bellevue,7,3,117,536,18708,44.8,36.75
243200391,CC de la Lomagne Gersoise,43,11,192,2525,17496,50.61,57.29
243200409,CC du Bas Armagnac,26,3,114,1281,7396,9.52,15.79
243200417,CC de la Tenarèze,26,5,142,1965,13239,47.06,50.7
243200425,CC Coeur d'Astarac en Gascogne,19,5,106,1039,6920,64.54,69.81
243200458,CC du Grand Armagnac,25,6,161,2098,11930,41.67,52.8
243200508,CC Bastides et Vallons du Gers,30,4,107,1127,6224,46.74,52.34
243200599,CC du Saves,32,5,112,1493,8602,29.55,40.18
243200607,CC Artagnan de Fezensac,25,3,94,1144,6044,11.12,20.21
243300316,Bordeaux Métropole,28,86,3295,5896,696156,77.85,79.51
243300563,CA Bassin d'Arcachon Sud-Pôle Atlantique (Cobas),4,9,343,1273,69903,69.39,62.68
243300811,CC de l'Estuaire - Canton de Saint-Ciers-sur-Gironde,14,6,119,1214,14156,36.39,43.7
243301165,CC Jalle-Eau-Bourde,3,3,181,721,30584,36.99,24.86
243301181,CC Latitude Nord Gironde,11,10,143,1388,18698,59.19,67.83
243301215,CC du Créonnais,15,6,108,882,16643,56.51,63.89
243301223,CC Grand Cubzaguais,16,15,262,1563,34572,77.42,79.01
243301249,CC du Secteur de Saint-Loubès,6,3,166,973,26956,34.22,30.72
243301264,CC de Montesquieu,13,9,256,1622,46256,49.4,53.52
243301355,CC des Coteaux Bordelais,8,6,116,769,20142,49.23,55.17
243301371,CC du Pays Foyen,20,6,150,1302,13005,56.9,69.33
243301389,CC Médullienne,10,7,130,1180,21750,56.42,72.31
243301397,CC du Fronsadais,18,10,116,1047,15112,54.17,56.9
243301405,CC du Val de l'Eyre,5,6,115,1160,22394,45.85,65.22
243301439,CC des Portes de l'Entre-deux-Mers,11,10,146,962,19208,55.44,59.59
243301447,CC Médoc Estuaire,10,7,154,1019,29104,37.34,32.47
243301454,CC Castillon/Pujols,31,9,175,1588,15756,35.85,49.71
243301504,CA du Bassin Nord,8,11,393,2181,74596,41.31,41.22
243400017,Montpellier Méditerranée Métropole,31,68,2232,3780,420424,82.1,79.79
243400355,CC du Clermontais,21,13,233,813,27570,67.36,60.94
243400470,CA du Pays de l'Or,8,6,316,850,48209,46.54,46.2
243400488,CC La Domitienne,8,5,195,613,28288,58.93,56.41
243400520,CC du Pays de Lunel,14,9,345,929,49458,79.16,75.07
243400694,CC Vallée de l'Hérault,28,16,301,1205,41181,64.79,69.77
243400736,CC des Cévennes Gangeoises et Suménoises,13,8,120,603,11516,80.36,89.17
