codgeo,libgeo,revenu_median,taux_pauvrete,rapport_interdecile,decile1,decile9,part_imposes,nb_menages,nb_personnes,nb_uc,part_rev_activite,part_salaires,part_chomage,part_non_salaries,part_retraites,part_patrimoine,part_presta_sociales,part_presta_familiales,part_presta_logement,part_minima_sociaux,part_impots
56169,,24450,9,2.7,14410,38600,56,2579,5566,3945.9,59.3,50.7,2.8,5.8,41.4,11,3.1,1.2,0.6,1.3,-14.8
56170,,19410,,,,,,484,961,701.6,,,,,,,,,,,
56171,,22130,,,,,,697,1499,1054.3,,,,,,,,,,,
56172,,21540,13,2.7,13000,34870,46,1179,2638,1825.5,67.2,57.4,2.7,7.1,33.2,7.4,5.1,2.3,0.8,2,-12.9
56173,,22010,10,2.5,13790,34400,45,1949,4303,2998.4,68.3,58.3,2.4,7.6,31.7,8.7,4.3,1.8,0.6,1.9,-13
56174,,22570,,2.4,14590,34390,48,986,2506,1648.1,80.9,73.5,2.2,5.2,22.7,4.8,4.6,2.6,0.6,1.4,-13
56175,,23830,8,2.5,15170,37330,54,1655,4271,2798.7,78.7,68.4,2.8,7.5,24.3,7.4,4.2,2.2,0.6,1.4,-14.6
56176,,23930,8,2.5,14940,36930,55,2749,6410,4368.3,71.8,64.2,2.7,4.9,30.7,7.9,4.2,1.9,0.7,1.6,-14.6
56177,,22820,9,2.4,14220,34670,48,3369,7900,5367.4,70.6,62,3.2,5.4,31.6,7.1,4.3,2.1,0.6,1.6,-13.6
56178,,21630,16,3.1,12040,37020,47,6350,12539,9081,63.8,57.1,2.3,4.4,33.3,10.4,7.2,2,1.5,3.7,-14.7
56179,,23570,8,2.4,14880,35860,54,1665,4071,2711.9,77,69.3,2.8,4.9,26.3,5.8,4.7,2.2,0.7,1.8,-13.8
56180,,22350,,,,,,305,677,469.6,,,,,,,,,,,
56181,,23780,12,3.1,12660,39760,51,1395,2638,1962.5,52.7,44.8,3.1,4.8,49.1,8.7,4.3,1,0.9,2.4,-14.8
56182,,20010,,,,,,484,954,698.2,,,,,,,,,,,
56184,,22830,10,2.5,13780,34860,51,3512,7830,5444.2,66,56.9,2.8,6.3,35.6,7.3,4.6,1.9,0.8,1.9,-13.5
56185,,24240,7,2.4,15280,37320,57,3871,8720,6050.7,64.5,58.1,2.3,4.1,39.1,7.3,3.7,1.6,0.6,1.5,-14.6
56186,,25010,9,3.2,14030,44230,57,2888,5154,3943.8,42.5,33.9,3.5,5.1,56.9,14.9,2.4,0.6,0.4,1.4,-16.7
56188,,21690,,,,,,702,1510,1061.4,,,,,,,,,,,
56189,,21840,,,,,,421,955,654.1,,,,,,,,,,,
56190,,21480,,,,,,801,1841,1261.3,,,,,,,,,,,
56191,,20930,,,,,,176,380,265.5,,,,,,,,,,,
56193,,23230,10,2.6,14060,36410,52,2760,5874,4153.6,61.1,54.8,2.9,3.4,42.9,6,3.9,1.4,0.8,1.7,-13.9
56194,,21940,10,2.3,13840,32250,46,1252,2840,1961,63.7,57.7,2.8,3.2,36.6,7.8,4.9,2.1,0.8,2,-13
56195,,22000,,,,,,402,684,527,,,,,,,,,,,
56196,,23070,,,,,,267,474,362.8,,,,,,,,,,,
56197,,22600,10,2.5,13800,34700,44,1179,2668,1837.7,69.9,62.6,2.3,5,30.1,7.9,4.8,2.3,0.7,1.8,-12.7
56198,,21680,,,,,,709,1575,1097.6,,,,,,,,,,,
56199,,19720,,,,,,335,709,503.8,,,,,,,,,,,
56200,,21310,,,,,,630,1366,959.3,,,,,,,,,,,
56201,,20570,,,,,,290,591,421.7,,,,,,,,,,,
56202,,23640,,,,,,214,525,354.6,,,,,,,,,,,
56203,,20690,,,,,,290,577,420,,,,,,,,,,,
56204,,22340,,,,,,263,599,412.7,,,,,,,,,,,
56205,,26910,,,,,,459,944,684.3,,,,,,,,,,,
56206,,24360,8,2.7,14500,39500,58,5106,11747,8049.9,69.6,62.2,2.4,5,33.4,7.7,4.6,1.8,0.9,1.9,-15.3
56207,,20960,,,,,,527,1148,802.1,,,,,,,,,,,
56208,,18140,,,,,,137,291,206.5,,,,,,,,,,,
56209,,21190,,,,,,80,164,118.6,,,,,,,,,,,
56210,,20020,,,,,,223,458,327.9,,,,,,,,,,,
56211,,22070,,,,,,348,796,545.1,,,,,,,,,,,
56212,,21420,11,2.3,13570,31880,46,1148,2649,1806.6,68.5,59.3,3.3,5.9,32.6,6.3,4.9,2.3,0.6,2,-12.3
56213,,22530,,,,,,532,1289,863.9,,,,,,,,,,,
56214,,28000,,3,15380,46200,65,1137,2157,1617.6,38.5,32,2.7,3.8,66,12.3,1.8,0.6,0.3,0.9,-18.6
56215,,23750,,,,,,442,1032,700.3,,,,,,,,,,,
56216,,20810,,,,,,184,399,276.2,,,,,,,,,,,
56218,,20040,,,,,,348,742,523.9,,,,,,,,,,,
56219,,23020,,,,,,538,1382,898.2,,,,,,,,,,,
56220,,23830,,,,,,587,1323,919.5,,,,,,,,,,,
56221,,20980,,,,,,680,1524,1057.7,,,,,,,,,,,
56222,,22450,8,2.3,14430,32550,50,1199,2793,1907.5,70.9,63.7,2.4,4.8,30.7,5.8,4.9,2.1,0.8,2,-12.3
56223,,22090,,,,,,674,1518,1057.3,,,,,,,,,,,
56224,,22000,,,,,,177,385,268.7,,,,,,,,,,,
56225,,21290,,,,,,77,190,125.9,,,,,,,,,,,
56226,,22300,,,,,,199,470,319.2,,,,,,,,,,,
56227,,20650,,,,,,212,444,316,,,,,,,,,,,
56228,,23210,,,,,,473,1059,736,,,,,,,,,,,
56229,,20320,,,,,,604,1223,883,,,,,,,,,,,
56230,,21560,,,,,,207,429,306.3,,,,,,,,,,,
56231,,25200,7,2.5,15590,39280,60,1646,4008,2705.1,70,62.3,2.5,5.2,34.2,7.6,3.8,1.8,0.7,1.3,-15.6
56232,,22900,,,,,,498,1144,793.2,,,,,,,,,,,
56233,,25680,,,,,,829,1681,1226,,,,,,,,,,,
56234,,24330,10,3.1,14020,44020,57,1352,2582,1920.4,48.3,37.3,3.3,7.7,51.3,14.7,2.5,0.8,0.4,1.3,-16.8
56236,,22070,,,,,,368,776,551.8,,,,,,,,,,,
56237,,24060,,,,,,793,1870,1276.6,,,,,,,,,,,
56238,,20130,,,,,,183,375,268.3,,,,,,,,,,,
56239,,22120,,,,,,690,1644,1116.4,,,,,,,,,,,
56240,,26370,8,3,15050,45430,62,4826,9285,6893.9,43,35,2.4,5.6,59.2,13.4,2.4,0.7,0.5,1.2,-18
56241,,22190,,,,,,467,977,697.4,,,,,,,,,,,
56242,,20710,,,,,,297,678,467.8,,,,,,,,,,,
56243,,25460,8,3,14380,43120,59,4526,9213,6659.1,61.4,53.5,2.5,5.4,42.4,9.9,3.6,1.1,0.8,1.7,-17.3
56244,,21460,11,2.4,13580,32590,41,1308,2927,2012.7,67.9,58.5,2.3,7.1,32.6,7.2,4.9,2.5,0.7,1.7,-12.6
56245,,20060,,,,,,204,418,300.6,,,,,,,,,,,
56246,,23480,,2.3,15320,35560,53,911,2094,1444.5,65.9,58,2,5.9,35.7,8.6,3.9,1.8,0.5,1.6,-14.1
56247,,23640,8,2.3,15400,35850,53,1544,3735,2498.5,76.8,68.6,2.4,5.8,27.1,5.9,4.2,2.1,0.7,1.4,-14
56248,,24930,7,2.6,15230,39000,59,2096,5132,3439.6,69.4,60.2,2.7,6.5,33.9,8.5,3.5,1.8,0.5,1.2,-15.3
56249,,23620,,2.4,15180,36840,53,954,2200,1513.9,67.1,57,2.2,7.9,32.7,10.9,3.7,1.6,0.6,1.5,-14.4
56250,,21250,,,,,,252,591,399.4,,,,,,,,,,,
56251,,24910,7,2.7,15130,40610,59,3745,8663,5951.9,70.3,62.8,2.6,4.9,33.1,9.1,3.7,1.5,0.7,1.5,-16.2
56252,,26060,,,,,,657,1384,994.9,,,,,,,,,,,
56253,,20170,,,,,,302,648,454.1,,,,,,,,,,,
56254,,22330,,,,,,541,1303,872.7,,,,,,,,,,,
56255,,23380,9,2.4,14950,36340,57,984,2506,1643.2,79.2,70.1,2.2,6.9,25.8,5.9,4.1,2.3,0.5,1.3,-15
56256,,20890,,,,,,58,104,78.4,,,,,,,,,,,
56257,,19430,,,,,,306,633,454.1,,,,,,,,,,,
56258,,29180,,,,,,961,1780,1343.1,,,,,,,,,,,
56259,,23010,,,,,,674,1649,1099,,,,,,,,,,,
56260,,24070,15,3.7,12070,44640,54,27877,52713,38947.3,63.6,54.3,2.8,6.5,37.4,11.3,5.4,1.4,1.2,2.8,-17.7
56261,,22780,,,,,,609,1486,994.3,,,,,,,,,,,
56262,,25000,9,2.9,14320,41690,57,1274,2758,1932.3,63.5,53.3,3.4,6.8,38.6,11.4,3.2,1.4,0.5,1.3,-16.7
56263,,23730,8,2.5,14770,37520,53,1140,2742,1850.2,71.2,63.4,2.7,5.1,30.8,7.7,4.7,2.1,0.8,1.8,-14.4
56264,,19600,,,,,,171,365,257.6,,,,,,,,,,,
57001,,22860,,,,,,126,328,216.5,,,,,,,,,,,
57003,,22990,,,,,,586,1273,896.1,,,,,,,,,,,
57006,,24380,,,,,,395,948,649.3,,,,,,,,,,,
57007,,24880,,,,,,50,135,86.7,,,,,,,,,,,
57008,,24730,,,,,,92,216,147.8,,,,,,,,,,,
57009,,25120,,,,,,45,104,70.9,,,,,,,,,,,
57010,,24300,,,,,,66,162,106.4,,,,,,,,,,,
57011,,21800,,,,,,221,494,344.3,,,,,,,,,,,
57012,,20970,23,4.3,8950,38890,30,2596,5250,3760.7,49.6,44.4,3.5,1.7,24.8,29.1,5.3,1.4,1.3,2.6,-8.8
57013,,25770,9,3.3,14770,49090,62,1102,2405,1699.8,83.1,77.5,2.1,3.5,26.4,7.6,1.4,0.5,0.3,0.6,-18.5
57014,,24260,,,,,,145,377,251.3,,,,,,,,,,,
57015,,24190,,,,,,223,534,363.3,,,,,,,,,,,
57016,,23560,,,,,,176,428,290,,,,,,,,,,,
57017,,25870,,2.5,15780,40210,60,884,2199,1475,72.7,64.4,2.9,5.4,27.1,11.6,3.3,1.4,0.6,1.3,-14.7
57018,,24140,,,,,,54,140,93.6,,,,,,,,,,,
57019,,22440,14,3.2,11990,38240,42,4762,10333,7229.4,62.6,56.7,3.1,2.8,25.2,18.4,4.9,1.5,1,2.4,-11.1
57020,,24450,,,,,,117,298,198.1,,,,,,,,,,,
57021,,27120,,,,,,690,1502,1057.8,,,,,,,,,,,
57022,,27550,,,,,,544,1306,874.7,,,,,,,,,,,
57024,,31550,,,,,,67,190,117.3,,,,,,,,,,,
57025,,25690,,,,,,194,484,324.3,,,,,,,,,,,
57026,,28940,,,,,,415,930,640.9,,,,,,,,,,,
57027,,21370,,,,,,53,129,87.4,,,,,,,,,,,
57028,,29600,,,,,,569,1365,923.9,,,,,,,,,,,
57029,,25520,,,,,,93,201,141.3,,,,,,,,,,,
57030,,25920,,,,,,211,532,353.8,,,,,,,,,,,
57031,,30860,,,,,,331,828,560,,,,,,,,,,,
57032,,21290,17,3,11670,34900,47,2168,4378,3155.2,67.6,62.5,3.1,2,30.3,8.2,6.4,1.7,1.3,3.4,-12.5
57033,,24220,,,,,,209,523,349.2,,,,,,,,,,,
57035,,21960,,,,,,48,123,81.1,,,,,,,,,,,
57036,,23070,,,,,,41,104,69.7,,,,,,,,,,,
57037,,24700,,,,,,108,284,185.7,,,,,,,,,,,
57038,,25580,19,5.6,8620,48400,21,2628,5298,3812.2,34.5,31.5,2.1,0.9,15.9,53,2.7,0.5,0.7,1.5,-6.1
57039,,28100,,2.9,16240,46960,65,871,2028,1382.6,76.4,68.6,1.7,6.1,25.1,11.5,3.2,1.2,0.6,1.4,-16.2
57040,,24980,,,,,,118,300,193.4,,,,,,,,,,,
57041,,24260,20,5.1,9190,47090,26,968,2062,1453.4,37.5,32.9,1.9,2.7,21,46.5,2.6,0.7,0.6,1.3,-7.6
57042,,19900,,,,,,272,578,408.7,,,,,,,,,,,
57043,,27860,,,,,,680,1539,1070,,,,,,,,,,,
57045,,24480,,,,,,43,111,72.8,,,,,,,,,,,
57046,,22660,,,,,,363,722,525.6,,,,,,,,,,,
57047,,23550,,,,,,446,1052,713.3,,,,,,,,,,,
57049,,23500,15,3.9,12280,48230,56,2067,4370,3074.5,74.1,65.3,2.7,6.1,24.2,14,4.8,1.6,1.1,2.1,-17.1
57051,,20770,,,,,,144,345,235.3,,,,,,,,,,,
57052,,25380,,,,,,229,542,370.3,,,,,,,,,,,
57053,,21850,,,,,,53,124,86,,,,,,,,,,,
