code_epci,gare_nat,gare_reg,gare_loc,points_gare
200067965,1,0,2,10
246000129,0,2,0,7
246000772,0,0,4,4
246000921,0,2,0,7
246000913,0,0,1,4
200035442,0,0,2,4
200069672,0,1,1,7
200072478,0,0,3,4
200033579,1,0,5,10
200069482,0,0,4,4
200044030,0,0,7,4
246200844,0,1,2,7
246200364,0,3,11,7
200072460,0,3,9,7
200044048,0,0,4,4
246200729,0,2,4,7
246201149,1,1,2,10
200069029,0,2,2,7
246200299,0,4,0,7
200069037,0,1,1,7
246200380,0,1,1,7
200070993,0,2,0,7
200070969,0,2,3,7
200071223,0,1,2,7
248000747,0,1,2,7
248000531,1,1,4,10
248000499,0,2,4,7
200070928,1,1,1,10
200070977,0,1,0,7
200070985,0,1,1,7
200071181,0,1,1,7
200070936,0,1,2,7
240800821,0,1,7,7
200067759,0,1,4,7
240800847,0,0,1,4
200041630,0,2,6,7
240800862,0,0,2,4
200043156,0,1,0,7
241000405,0,0,1,4
200006716,0,1,0,7
200000545,0,1,0,7
200069250,1,0,0,10
200066892,0,0,1,4
245100615,0,0,3,4
200067213,2,2,12,10
200066876,0,1,1,7
200066850,0,1,0,7
200067684,0,1,0,7
200034718,0,1,0,7
200068658,0,1,3,7
200068666,0,1,1,7
200070332,0,0,1,4
200044253,0,0,2,4
200072999,0,0,1,4
200070845,0,1,5,7
200070290,0,0,1,4
200069433,0,0,1,4
200070324,0,2,6,7
200041515,0,3,2,7
245400601,0,0,5,4
200067643,0,2,2,7
245400189,0,3,0,7
200070563,0,1,2,7
245400676,1,0,4,10
200043693,0,0,1,4
245400262,0,1,0,7
245400171,0,0,3,4
200070738,0,1,2,7
200033025,0,1,1,7
200066157,0,1,2,7
200066173,0,0,1,4
245501242,0,0,1,4
200066140,1,0,0,10
245501259,0,0,1,4
245501184,0,0,1,4
200049187,0,1,0,7
245701271,0,0,3,4
200067486,0,0,2,4
200039865,1,2,2,10
245701206,0,0,1,4
245700398,0,1,2,7
200068146,0,1,2,7
200067957,0,0,2,4
245700372,0,1,1,7
245700133,0,1,2,7
200039949,0,2,1,7
245701362,1,0,1,10
245701222,0,1,1,7
245700695,0,1,0,7
200070746,0,1,2,7
245701354,0,0,2,4
200039907,1,1,0,10
245700950,0,0,1,4
200067502,0,1,1,7
200034270,0,1,5,7
200041283,0,0,5,4
200067924,0,2,3,7
246700744,0,2,1,7
200067874,0,4,3,7
246700306,0,5,6,7
246701064,0,6,1,7
200068112,0,2,1,7
200067841,0,1,1,7
200041325,0,3,4,7
246700967,0,1,2,7
246700488,1,4,8,10
246701098,0,2,2,7
246700959,0,1,2,7
246700843,0,2,1,7
200040178,0,1,2,7
200067783,0,3,1,7
246701080,0,1,0,7
246700926,0,1,1,7
200013050,0,0,1,4
200066041,0,1,2,7
200066009,1,4,6,10
200066058,0,3,1,7
200036465,0,4,4,7
246800585,0,1,7,7
246800726,1,0,8,10
200066033,0,0,2,4
246800205,0,0,7,4
246800569,0,0,2,4
246800494,0,1,0,7
200068757,0,4,6,7
200042000,0,0,1,4
200068682,0,0,2,4
200068377,0,1,2,7
200071066,0,2,3,7
200068559,0,0,1,4
244400537,0,0,1,4
244400552,0,2,3,7
244400610,1,1,3,10
200067346,0,1,5,7
244400404,1,3,12,10
200071546,0,0,2,4
200067635,0,2,2,7
200072726,0,0,2,4
200072734,0,1,2,7
244400644,1,1,4,10
200000438,0,1,3,7
243500741,0,1,3,7
244400503,0,2,0,7
200067866,0,1,0,7
244900015,1,0,6,10
200071553,0,2,1,7
200060010,0,1,1,7
200071678,0,1,0,7
200068955,0,1,2,7
244900882,0,1,0,7
200071876,0,1,2,7
200033298,0,1,3,7
245300306,0,0,3,4
245300330,1,0,0,10
247200132,1,1,2,10
200073112,0,0,3,4
247200686,0,2,1,7
200070373,0,1,0,7
200072718,0,1,2,7
247200447,0,1,1,7
200072700,0,0,2,4
200068963,0,0,4,4
200040475,0,0,1,4
200072684,0,0,2,4
247200090,0,1,0,7
247200629,0,1,1,7
200072882,0,0,1,4
248500340,0,0,2,4
248500589,0,1,2,7
200071629,0,1,0,7
200070233,0,1,2,7
200073260,0,0,1,4
248500464,0,0,1,4
248500530,0,0,1,4
200071165,0,1,1,7
200023778,0,0,2,4
200067981,0,1,17,7
200068989,0,0,6,4
200069391,0,1,2,7
200065928,0,1,2,7
242200715,0,0,1,4
200069409,1,0,2,10
200069086,0,0,2,4
242900694,0,1,1,7
242900314,1,0,1,10
242900744,0,0,1,4
200067247,0,0,1,4
242900801,0,1,3,7
242900751,0,1,1,7
242900835,1,0,3,10
200068120,1,0,0,10
242900769,0,1,0,7
200066868,0,0,1,4
243500139,1,3,9,10
243500733,0,1,2,7
243500550,0,1,1,7
200039022,0,2,1,7
200070670,0,1,0,7
243500782,1,0,4,10
200043990,0,2,2,7
243500634,0,1,3,7
200038990,0,1,2,7
243500667,0,1,2,7
243500659,0,1,1,7
200070662,0,0,1,4
200043123,1,0,11,10
200042174,1,1,2,10
245614383,0,1,1,7
200067932,1,0,0,10
200071827,1,0,1,10
200070282,0,0,2,4
200070514,0,1,2,7
200072023,0,0,1,4
200043016,0,0,1,4
241700434,1,0,5,10
200041689,0,0,6,4
200041523,0,1,4,7
200041762,0,1,2,7
241700640,0,1,1,7
200036473,0,1,1,7
200041614,0,1,1,7
200043172,1,0,7,10
200066603,0,0,2,4
200066744,0,0,5,4
241927201,0,1,3,7
241900133,0,0,2,4
200066645,0,0,1,4
241927243,0,0,3,4
200067189,0,0,1,4
200044014,0,0,2,4
200034825,0,0,2,4
200067544,0,0,2,4
200067593,0,0,1,4
200067510,0,1,3,7
200040392,0,1,8,7
200041051,0,0,3,4
200070647,0,1,2,7
200041168,0,0,2,4
200034833,0,0,4,4
242400752,0,1,2,7
200034197,0,0,3,4
200041150,0,0,3,4
200041440,0,0,1,4
200040384,0,1,0,7
200069094,0,1,0,7
200040095,0,1,2,7
200027217,0,0,1,4
243300316,1,4,10,10
200069581,0,1,5,7
243300563,0,5,0,7
243301223,0,1,3,7
243301264,0,1,2,7
243301504,0,2,0,7
243301454,0,1,0,7
200044394,0,1,4,7
243301181,0,1,1,7
243301165,0,1,0,7
200070092,0,3,4,7
200043974,0,1,1,7
200069995,0,0,2,4
243301447,0,0,3,4
243301389,0,0,1,4
200035533,0,0,1,4
243301249,0,0,3,4
243301371,0,1,0,7
200070720,0,0,3,4
244000691,0,1,2,7
244000865,0,1,4,7
244000675,1,0,0,10
200069656,0,0,1,4
244000808,0,1,1,7
244000659,0,0,1,4
200069417,0,0,1,4
244000873,0,1,0,7
200035459,1,0,0,10
200068922,0,0,2,4
200023307,0,0,1,4
200030674,0,2,1,7
200068930,0,0,3,4
200039204,0,1,2,7
246401756,0,0,3,4
200067106,2,2,12,10
200067262,0,0,6,4
246400337,0,0,1,4
200067254,1,0,2,10
200041317,1,0,6,10
200041994,0,1,3,7
200040244,0,0,2,4
247900798,0,0,1,4
200070035,0,0,3,4
200069854,1,1,8,10
248600413,0,1,5,7
200043628,0,0,2,4
200070043,0,0,3,4
248719288,0,0,2,4
200066512,0,0,9,4
200071942,0,0,2,4
200070506,0,0,3,4
248700189,0,0,3,4
248719353,0,0,1,4
248719312,1,0,3,10
248719338,0,0,1,4
200040814,0,0,4,4
248719361,0,0,3,4
200059400,0,0,4,4
200066363,0,0,5,4
200067791,0,1,2,7
200066231,0,2,1,7
240900431,0,0,1,4
200035707,0,0,1,4
200035715,1,0,2,10
200035855,0,1,0,7
241100593,1,0,3,10
200035863,0,0,1,4
200071926,0,0,3,4
200067064,0,0,3,4
200068484,0,0,2,4
200067361,0,1,3,7
